n,annee,mois
300640,2000,10
2571241,2000,11
2308762,2000,12
2648002,2001,1
2553737,2001,2
2525856,2001,3
1933901,2001,4
2268872,2001,5
2117130,2001,6
2170205,2001,7
1857466,2001,8
2379286,2001,9
2764895,2001,10
2641690,2001,11
2529578,2001,12
2525009,2002,1
2417257,2002,2
2678900,2002,3
2426660,2002,4
2685385,2002,5
2620157,2002,6
2315633,2002,7
1850907,2002,8
2574011,2002,9
2739538,2002,10
2322666,2002,11
2235762,2002,12
2364050,2003,1
2255725,2003,2
2565360,2003,3
2253844,2003,4
2341925,2003,5
2138022,2003,6
1980734,2003,7
1844425,2003,8
2150694,2003,9
2462208,2003,10
2308793,2003,11
2257666,2003,12
2206913,2004,1
2285144,2004,2
2482525,2004,3
2215897,2004,4
2308356,2004,5
2139868,2004,6
1879004,2004,7
1835083,2004,8
2122248,2004,9
2270025,2004,10
2384193,2004,11
2238571,2004,12
2314711,2005,1
2136800,2005,2
2340652,2005,3
2461265,2005,4
2431760,2005,5
2265871,2005,6
2057192,2005,7
1828915,2005,8
2400607,2005,9
2381906,2005,10
2397326,2005,11
2286967,2005,12
2449067,2006,1
2218519,2006,2
2353794,2006,3
2115071,2006,4
2469527,2006,5
2255718,2006,6
1892728,2006,7
1727598,2006,8
2268702,2006,9
2406508,2006,10
2401482,2006,11
2112073,2006,12
2589694,2007,1
2333938,2007,2
2551960,2007,3
2342176,2007,4
2493311,2007,5
2262793,2007,6
2051189,2007,7
687658,2007,8
2392180,2007,9
947608,2007,10
382764,2007,11
370189,2007,12
397202,2008,1
366505,2008,2
391045,2008,3
370488,2008,4
385560,2008,5
378023,2008,6
1770992,2008,7
2347784,2008,8
2735442,2008,9
2866443,2008,10
2837576,2008,11
2726393,2008,12
2535031,2009,1
2372355,2009,2
2556545,2009,3
2521358,2009,4
2437891,2009,5
2386413,2009,6
2147540,2009,7
1882171,2009,8
2523519,2009,9
2536873,2009,10
2418190,2009,11
2375490,2009,12
2533200,2010,1
2355021,2010,2
2672047,2010,3
2483419,2010,4
2551453,2010,5
2568126,2010,6
2257034,2010,7
2002105,2010,8
2533038,2010,9
2546192,2010,10
2695482,2010,11
2558041,2010,12
2720159,2011,1
2546089,2011,2
2875892,2011,3
2520851,2011,4
2241765,2011,5
2103315,2011,6
2104994,2011,7
2274600,2011,8
2907676,2011,9
2879218,2011,10
2948753,2011,11
2999985,2011,12
3025209,2012,1
2895967,2012,2
3264410,2012,3
3247050,2012,4
3241193,2012,5
3171783,2012,6
2581532,2012,7
2471882,2012,8
2845675,2012,9
2982661,2012,10
2962471,2012,11
2713653,2012,12
2804511,2013,1
2621078,2013,2
2839375,2013,3
2707484,2013,4
2625395,2013,5
2734270,2013,6
2714107,2013,7
2643448,2013,8
2804480,2013,9
2882177,2013,10
2820960,2013,11
2784369,2013,12
1201932,2014,1
1229343,2014,2
1921618,2014,3
1873715,2014,4
2257144,2014,5
2515965,2014,6
2362261,2014,7
2293683,2014,8
2177916,2014,9
2343214,2014,10
2222980,2014,11
2405274,2014,12
3000530,2015,1
2147066,2015,2
2544121,2015,3
2289269,2015,4
2758758,2015,5
2461573,2015,6
2422631,2015,7
2646962,2015,8
2499937,2015,9
2368594,2015,10
2601714,2015,11
2664441,2015,12
2566878,2016,1
2234518,2016,2
1847461,2016,3
1658591,2016,4
1925314,2016,5
2555354,2016,6
2589862,2016,7
2311993,2016,8
2291363,2016,9
2116352,2016,10
2694523,2016,11
2607051,2016,12
2069039,2017,1
2403585,2017,2
2559648,2017,3
2476398,2017,4
2687052,2017,5
2802395,2017,6
2265612,2017,7
2007735,2017,8
2384219,2017,9
2694176,2017,10
2668827,2017,11
2406016,2017,12
2697456,2018,1
2520214,2018,2
2806411,2018,3
2669812,2018,4
2936955,2018,5
3055152,2018,6
2816325,2018,7
2261966,2018,8
2729751,2018,9
2868641,2018,10
2977393,2018,11
2655700,2018,12
2974897,2019,1
2791425,2019,2
2904154,2019,3
2797924,2019,4
3059553,2019,5
3001749,2019,6
2719804,2019,7
2274451,2019,8
2986019,2019,9
3015603,2019,10
3090915,2019,11
2995605,2019,12
3452341,2020,1
3184043,2020,2
3812753,2020,3
3241523,2020,4
3376141,2020,5
3302619,2020,6
2987099,2020,7
2645333,2020,8
3322842,2020,9
3226840,2020,10
3150874,2020,11
3027023,2020,12
3321369,2021,1
3047386,2021,2
3508507,2021,3
3299306,2021,4
3545826,2021,5
3822131,2021,6
3363622,2021,7
2962525,2021,8
3450520,2021,9
3603629,2021,10
3249966,2021,11
3021789,2021,12
3319706,2022,1
3239564,2022,2
3391726,2022,3
3221429,2022,4
3170373,2022,5
3384051,2022,6
2941743,2022,7
2537991,2022,8
3055434,2022,9
3078580,2022,10
3160250,2022,11
2960316,2022,12
3079632,2023,1
2794494,2023,2
3144015,2023,3
2875151,2023,4
3171070,2023,5
3422612,2023,6
3034100,2023,7
5292743,2023,8
6458366,2023,9
6947402,2023,10
6749918,2023,11
6323344,2023,12
7172030,2024,1
7105289,2024,2
7808142,2024,3
7438344,2024,4
8085612,2024,5
8085924,2024,6
2725166,2024,7
