val,count,base
0.879120879120879,4,455
22.508038585209,70,311
21.9858156028369,124,564
0,0,9
43.1095406360424,122,283
0,0,1
43.8564317526854,1674,3817
11.4035087719298,65,570
47.0833333333333,226,480
44.874715261959,2167,4829
14.1556811048336,451,3186
53.4411085450346,1157,2165
49.2307692307692,2048,4160
44.9741961095673,11329,25190
56.145251396648,603,1074
19.7530864197531,32,162
39.970802919708,2738,6850
48.3152827918171,803,1662
0,0,14
5.65173116089613,111,1964
0,0,7
46.4223385689354,532,1146
56.8247126436782,791,1392
1.04166666666667,2,192
45.9395376407825,1550,3374
19.8564593301435,83,418
40.9252669039146,115,281
31.5706476030278,3003,9512
2.56410256410256,2,78
0,0,37
0,0,0
0,0,0
32.404181184669,93,287
44.7407096367835,2131,4763
40.7911001236094,660,1618
42.0747422680412,653,1552
17.7177177177177,59,333
53.1672983216026,982,1847
43.2900432900433,200,462
0,0,14
33.3333333333333,13,39
26.8292682926829,132,492
7.45721271393643,61,818
35.8933161953727,1117,3112
44.7397563676633,1616,3612
38.9830508474576,598,1534
39.0265331224741,2221,5691
3.41880341880342,8,234
27.6150627615063,66,239
39.3608377719599,47960,121847
39.4793926247288,1638,4149
46.0830860534125,1553,3370
41.2935323383085,83,201
15.3846153846154,4,26
2.8735632183908,20,696
10.752688172043,60,558
18.0327868852459,99,549
25,60,240
6.52173913043478,3,46
6.318449873631,75,1187
27.8061224489796,218,784
51.7699437997227,7093,13701
8.06451612903226,10,124
0,0,13
7.63138948884089,212,2778
19.3430656934307,53,274
44.8769888037714,12185,27152
56.0975609756098,1035,1845
44.8515126283653,1616,3603
8.26740506329114,209,2528
42.7175430432759,2754,6447
11.3610798650169,101,889
42.3715819064656,1658,3913
0,0,14
0.353356890459364,1,283
26.3684913217623,395,1498
48.489932885906,578,1192
35.207423580786,1290,3664
57.1769194086791,1199,2097
36.7586206896552,1599,4350
4.76190476190476,1,21
8.58505564387917,54,629
5.12820512820513,2,39
21.8571428571429,153,700
4.93827160493827,4,81
45.8761708933059,2008,4377
51.5738498789346,426,826
37.1152154793316,422,1137
1.63934426229508,1,61
13.3333333333333,6,45
30.3474903474903,393,1295
6.2807881773399,51,812
51.564266867697,2736,5306
23.5714285714286,33,140
2.87769784172662,4,139
3.57142857142857,1,28
