n,annee
501062,1899
1239722,1900
1215460,1901
1213555,1902
1461606,1903
1816775,1904
1808334,1905
1842424,1906
1944495,1907
1956953,1908
1938161,1909
1925117,1910
1939606,1911
1977964,1912
1992086,1913
2334472,1914
1242121,1915
1371157,1916
1242018,1917
1323496,1918
1738209,1919
1879253,1920
2140882,1921
2548904,1922
2772524,1923
3003036,1924
3127066,1925
3183507,1926
3139089,1927
3508637,1928
3695634,1929
3778120,1930
4418993,1931
4490247,1932
4507906,1933
4851331,1934
4631268,1935
4649512,1936
4603858,1937
4732258,1938
3865358,1939
1597852,1940
1578162,1941
937252,1942
829811,1943
963487,1944
585001,1945
429952,1948
2103105,1949
2742156,1950
2580921,1951
3058444,1952
3492813,1953
3769772,1954
3954437,1955
3784877,1956
3334820,1957
3940428,1958
4166242,1959
4669169,1960
4733619,1961
1702105,1968
2065752,1985
816,1996
5439270,2004
6193262,2005
6445244,2006
6741309,2007
6031671,2008
2559742,2009
3957969,2010
4829905,2011
5655595,2012
13232208,2013
14325089,2014
14807492,2015
14086369,2016
13452394,2017
12607363,2018
11746861,2019
14047416,2020
14354288,2021
14734267,2022
13470519,2023
12942368,2024
9493841,2025
