,n
1792,17134642.0
1911,98004462.0
1844,94002615.0
1847,104554873.0
1928,39910085.0
1804,21491102.0
1851,80534473.0
1940,4822529.0
1833,59364527.0
1834,87244180.0
1921,42988545.0
1838,90567853.0
1910,91705799.0
1931,47243609.0
1933,24488821.0
1879,136108990.0
1908,88420320.0
1840,82529800.0
1884,139300503.0
1923,45290652.0
1853,133721094.0
1882,122623090.0
1839,98621329.0
1885,150121207.0
1835,75903818.0
1878,132598706.0
1855,102692534.0
1836,83253596.0
1935,41083557.0
1875,140378890.0
1854,113715011.0
1841,71216286.0
1864,120102830.0
1920,53030298.0
1860,114249682.0
1845,131063774.0
1880,142159293.0
1800,15834355.0
1801,18220711.0
1877,144841675.0
1881,137146106.0
1922,59546051.0
1859,97250373.0
1896,110484934.0
1802,25539060.0
1862,170548527.0
1883,137324449.0
1856,118650886.0
1894,132368867.0
1897,109447733.0
1863,122266091.0
1858,117023466.0
1892,124758792.0
1857,100017249.0
1871,64671869.0
1861,120234996.0
1887,142813356.0
1893,123063156.0
1872,118453774.0
1868,110724265.0
1886,196888913.0
1906,107815977.0
1895,124085851.0
1870,96341489.0
1904,94454102.0
1867,145217604.0
1874,130473045.0
1899,98477333.0
1905,102367070.0
1869,150397184.0
1907,78432586.0
1873,121577114.0
2000,1702290.0
1606,603819.0
1603,851365.0
1937,21890594.0
1938,23697730.0
1936,33929573.0
1888,74333145.0
1924,35689682.0
1902,99832312.0
1901,112331678.0
1900,129501772.0
1903,96931427.0
1939,13480824.0
1934,27099405.0
1932,29003844.0
1929,38371783.0
1930,39067400.0
1925,42375271.0
1837,83480390.0
1912,85985432.0
1891,106365281.0
1926,43986935.0
1865,117535975.0
1898,110095356.0
1876,145463767.0
1890,141711397.0
1866,133471622.0
1889,165583089.0
