"date","rights","n"
"1770","accès dans Retronews",120
"1771","accès dans Gallica",245
"1771","accès dans Retronews",167
"1772","accès dans Gallica",133
"1772","accès dans Retronews",170
"1773","accès dans Gallica",321
"1773","accès dans Retronews",170
"1774","accès dans Gallica",387
"1774","accès dans Retronews",273
"1775","accès dans Gallica",360
"1775","accès dans Retronews",271
"1776","accès dans Gallica",306
"1776","accès dans Retronews",174
"1777","accès dans Gallica",360
"1777","accès dans Retronews",531
"1777","autre accès restreint",4
"1778","accès dans Gallica",357
"1778","accès dans Retronews",547
"1779","accès dans Gallica",380
"1779","accès dans Retronews",563
"1780","accès dans Gallica",254
"1780","accès dans Retronews",576
"1781","accès dans Gallica",297
"1781","accès dans Retronews",573
"1782","accès dans Gallica",178
"1782","accès dans Retronews",471
"1783","accès dans Gallica",240
"1783","accès dans Retronews",563
"1784","accès dans Gallica",124
"1784","accès dans Retronews",458
"1784","autre accès restreint",1
"1785","accès dans Gallica",144
"1785","accès dans Retronews",468
"1785","autre accès restreint",1
"1786","accès dans Gallica",168
"1786","accès dans Retronews",466
"1787","accès dans Gallica",176
"1787","accès dans Retronews",495
"1788","accès dans Gallica",220
"1788","accès dans Retronews",572
"1788","autre accès restreint",2
"1789","accès dans Gallica",150
"1789","accès dans Retronews",2285
"1789","autre accès restreint",3
"1790","accès dans Gallica",220
"1790","accès dans Retronews",4203
"1791","accès dans Gallica",392
"1791","accès dans Retronews",5642
"1791","autre accès restreint",2
"1792","accès dans Gallica",410
"1792","accès dans Retronews",4281
"1793","accès dans Gallica",226
"1793","accès dans Retronews",3974
"1794","accès dans Gallica",336
"1794","accès dans Retronews",3367
"1795","accès dans Gallica",255
"1795","accès dans Retronews",2322
"1796","accès dans Gallica",99
"1796","accès dans Retronews",3445
"1797","accès dans Gallica",88
"1797","accès dans Retronews",3905
"1797","autre accès restreint",3
"1798","accès dans Gallica",147
"1798","accès dans Retronews",2928
"1799","accès dans Gallica",222
"1799","accès dans Retronews",2540
"1800","accès dans Gallica",202
"1800","accès dans Retronews",1984
"1801","accès dans Gallica",545
"1801","accès dans Retronews",1408
"1801","autre accès restreint",2
"1802","accès dans Gallica",1187
"1802","accès dans Retronews",1513
"1803","accès dans Gallica",854
"1803","accès dans Retronews",1533
"1804","accès dans Gallica",1090
"1804","accès dans Retronews",1506
"1805","accès dans Gallica",913
"1805","accès dans Retronews",1372
"1806","accès dans Gallica",829
"1806","accès dans Retronews",1499
"1807","accès dans Gallica",1126
"1807","accès dans Retronews",1292
"1808","accès dans Gallica",1008
"1808","accès dans Retronews",1148
"1809","accès dans Gallica",1193
"1809","accès dans Retronews",1258
"1810","accès dans Gallica",954
"1810","accès dans Retronews",1205
"1811","accès dans Gallica",965
"1811","accès dans Retronews",1213
"1812","accès dans Gallica",926
"1812","accès dans Retronews",1201
"1813","accès dans Gallica",917
"1813","accès dans Retronews",1301
"1814","accès dans Gallica",867
"1814","accès dans Retronews",1698
"1814","autre accès restreint",7
"1815","accès dans Gallica",546
"1815","accès dans Retronews",2090
"1815","autre accès restreint",1
"1816","accès dans Gallica",969
"1816","accès dans Retronews",2080
"1816","autre accès restreint",1
"1817","accès dans Gallica",1084
"1817","accès dans Retronews",1951
"1818","accès dans Gallica",1203
"1818","accès dans Retronews",1898
"1819","accès dans Gallica",1384
"1819","accès dans Retronews",2320
