"ark","titre"
"cb32691441g","
Ami des sciences (L')"
"cb34351011c","
Annales agronomiques"
"cb343481563","
Annales de chimie"
"cb32693668j","
Annales de l'Institut national agronomique"
"cb34349289k","
Annales de la Société entomologique de France"
"cb343504237","
Annales des sciences naturelles"
"cb34350424k","
Annales des sciences naturelles. Botanique"
"cb34350425x","
Annales des sciences naturelles. Zoologie"
"cb32694956m","
Année biologique (L')"
"cb326950838","
Année scientifique et industrielle (L')"
"cb34348221q","
Archives de zoologie expérimentale et générale"
"cb34383098c","
Bulletin astronomique"
"cb32718329j","
Bulletin d'insectologie agricole"
"cb34411293f","
Bulletin de la Société chimique de Paris"
"cb343816945","
Bulletin de la Société de pathologie végétale de France"
"cb34349299w","
Bulletin de la Société mathématique de France"
"cb34350455v","
Bulletin de la Société minéralogique de France"
"cb34508432f","
Bulletin de la Société nationale d'acclimatation de France"
"cb34349304n","
Bulletin de la Société zoologique de France"
"cb34348304d","
Bulletin des sciences mathématiques"
"cb34444944h","
Bulletin des sciences mathématiques et astronomiques"
"cb328701284","
Bulletin des séances de la Société entomologique de France"
"cb34349272v","
Comptes rendus des séances de la Société de biologie et de ses filiales"
"cb343481087","
Comptes rendus hebdomadaires des séances de l'Académie des sciences"
"cb32797179z","
Journal de botanique"
"cb343487782","
Journal de conchyliologie"
"cb343487840","
Journal de mathématiques pures et appliquées"
"cb34439888v","
Mémoires de la Société zoologique de France"
"cb32818252z","
Monde des plantes (Le)"
"cb34437522m","
Moniteur scientifique (Le)"
"cb34411109f","
Revue des cours scientifiques de la France et de l'étranger"
"cb32858805x","
Revue des sciences naturelles appliquées"
"cb32858832t","
Revue des sociétés savantes. Sciences mathématiques, physiques et naturelles"
"cb32858898r","
Revue des travaux scientifiques"
"cb343495077","
Revue générale de botanique"
"cb34350518x","
Revue scientifique de la France et de l'étranger (La) : revue des cours scientifiques"
"cb32861734r","
Revue zoologique"
"cb328658898","
Science et la vie (La)"
"cb328659030","
Science française : revue populaire illustrée (La)"
