n,annee,mois
11252,1780,1
12456,1780,2
13689,1780,3
12969,1780,4
14842,1780,5
12419,1780,6
12992,1780,7
13970,1780,8
13531,1780,9
13108,1780,10
6319,1780,11
3473,1780,12
13370,1781,1
9939,1781,2
12054,1781,3
11916,1781,4
14376,1781,5
12010,1781,6
12640,1781,7
11938,1781,8
10985,1781,9
10928,1781,10
10422,1781,11
10578,1781,12
4172,1782,1
3037,1782,2
5090,1782,3
5168,1782,4
4354,1782,5
3557,1782,6
4704,1782,7
4183,1782,8
3212,1782,9
3550,1782,10
3483,1782,11
4315,1782,12
3986,1783,1
3775,1783,2
4053,1783,3
5629,1783,4
4179,1783,5
3790,1783,6
5836,1783,7
4696,1783,8
3962,1783,9
3765,1783,10
3807,1783,11
3678,1783,12
12136,1784,1
12508,1784,2
17103,1784,3
12207,1784,4
12356,1784,5
14192,1784,6
16394,1784,7
12975,1784,8
14068,1784,9
12766,1784,10
17198,1784,11
17192,1784,12
28107,1785,1
24717,1785,2
28307,1785,3
26898,1785,4
29759,1785,5
25949,1785,6
28695,1785,7
29412,1785,8
28743,1785,9
32367,1785,10
40312,1785,11
47364,1785,12
28801,1786,1
27858,1786,2
33175,1786,3
29237,1786,4
32053,1786,5
29618,1786,6
31742,1786,7
34691,1786,8
39738,1786,9
32819,1786,10
28565,1786,11
29125,1786,12
32204,1787,1
30765,1787,2
45221,1787,3
39878,1787,4
46840,1787,5
40984,1787,6
44617,1787,7
43421,1787,8
41376,1787,9
49863,1787,10
40941,1787,11
46809,1787,12
38657,1788,1
36823,1788,2
39369,1788,3
41534,1788,4
41661,1788,5
40456,1788,6
47350,1788,7
40821,1788,8
46082,1788,9
40487,1788,10
39037,1788,11
42336,1788,12
29048,1789,1
24819,1789,2
31911,1789,3
31955,1789,4
32302,1789,5
28587,1789,6
27563,1789,7
29047,1789,8
32289,1789,9
32519,1789,10
31832,1789,11
32673,1789,12
27548,1790,1
26678,1790,2
40741,1790,3
31794,1790,4
33446,1790,5
35227,1790,6
30818,1790,7
33836,1790,8
32016,1790,9
29366,1790,10
35449,1790,11
34127,1790,12
43374,1791,1
32123,1791,2
45222,1791,3
45223,1791,4
50682,1791,5
43468,1791,6
