"ark","titre"
"cb32708262w","
Avenir de l'Ouest (L')"
"cb32743499d","
Cloche d'argent (La )"
"cb32751245n","
Courrier du Havre"
"cb32760988t","
Écho de Rouen illustré (L')"
"cb32776237n","
Follet du Havre (Le)"
"cb327797879","
Gars normands de Paris, de la Duché, de partout (Les)"
"cb327905483","
Indicateur des ventes et locations rouennaises (L')"
"cb32800934t","
Journal du Havre illustré"
"cb32837403g","
Petit Rouennais (Le)"
"cb32843821r","
Progrès anti-clérical (Le)"
"cb328706422","
Soirée normande (La)"
