n,annee
18399,1914
19236,1915
12450,1916
4293,1917
5325,1918
7086,1919
8190,1920
10692,1921
7398,1922
15057,1923
34155,1924
39201,1925
15771,1926
31728,1927
36132,1928
78090,1929
188430,1930
273344,1931
306850,1932
165581,1933
151651,1934
208725,1935
237384,1936
215345,1937
135914,1938
202931,1939
289421,1940
288914,1941
280394,1942
236743,1943
248071,1944
241040,1945
284332,1946
338442,1947
348422,1948
311648,1949
394833,1950
359391,1951
301824,1952
343379,1953
358815,1954
417954,1955
369743,1956
414928,1957
377975,1958
313898,1959
286488,1960
254092,1961
270259,1962
246437,1963
287095,1964
298468,1965
274922,1966
251315,1967
314534,1968
232036,1969
260010,1970
331658,1971
309362,1972
319481,1973
293159,1974
239332,1975
234280,1976
247880,1977
299752,1978
276849,1979
274197,1980
276951,1981
319977,1982
311003,1983
326096,1984
357068,1985
315013,1986
404982,1987
432681,1988
405029,1989
485404,1990
429899,1991
422849,1992
449518,1993
458320,1994
533735,1995
609579,1996
619131,1997
629854,1998
626968,1999
765667,2000
859256,2001
922461,2002
887277,2003
1022428,2004
1098187,2005
1355380,2006
1500421,2007
1494185,2008
1529794,2009
1326933,2010
1419741,2011
1411759,2012
1372791,2013
1531590,2014
1369284,2015
1566231,2016
1551768,2017
1420639,2018
1390870,2019
768631,2020
