"","annee","count","date"
"1996/08",1996,4166,"1996/08"
"1996/09",1996,4482,"1996/09"
"1996/10",1996,4604,"1996/10"
"1996/11",1996,4383,"1996/11"
"1996/12",1996,4351,"1996/12"
"1997/01",1997,4386,"1997/01"
"1997/02",1997,4016,"1997/02"
"1997/03",1997,4579,"1997/03"
"1997/04",1997,4292,"1997/04"
"1997/05",1997,4404,"1997/05"
"1997/06",1997,4481,"1997/06"
"1997/07",1997,4289,"1997/07"
"1997/08",1997,4301,"1997/08"
"1997/09",1997,4523,"1997/09"
"1997/10",1997,5039,"1997/10"
"1997/11",1997,4959,"1997/11"
"1997/12",1997,4629,"1997/12"
"1998/01",1998,4794,"1998/01"
"1998/02",1998,4474,"1998/02"
"1998/03",1998,5127,"1998/03"
"1998/04",1998,4724,"1998/04"
"1998/05",1998,4949,"1998/05"
"1998/06",1998,4758,"1998/06"
"1998/07",1998,4771,"1998/07"
"1998/08",1998,4791,"1998/08"
"1998/09",1998,4996,"1998/09"
"1998/10",1998,5270,"1998/10"
"1998/11",1998,5221,"1998/11"
"1998/12",1998,5037,"1998/12"
"1999/01",1999,5204,"1999/01"
"1999/02",1999,4652,"1999/02"
"1999/03",1999,5177,"1999/03"
"1999/04",1999,4972,"1999/04"
"1999/05",1999,5161,"1999/05"
"1999/06",1999,4983,"1999/06"
"1999/07",1999,4818,"1999/07"
"1999/08",1999,4782,"1999/08"
"1999/09",1999,4901,"1999/09"
"1999/10",1999,5526,"1999/10"
"1999/11",1999,5019,"1999/11"
"1999/12",1999,5005,"1999/12"
"2000/01",2000,5296,"2000/01"
"2000/02",2000,4924,"2000/02"
"2000/03",2000,5462,"2000/03"
"2000/04",2000,5209,"2000/04"
"2000/05",2000,5265,"2000/05"
"2000/06",2000,5323,"2000/06"
"2000/07",2000,5307,"2000/07"
"2000/08",2000,5228,"2000/08"
"2000/09",2000,6232,"2000/09"
"2000/10",2000,6383,"2000/10"
"2000/11",2000,5578,"2000/11"
"2000/12",2000,5417,"2000/12"
"2001/01",2001,5888,"2001/01"
"2001/02",2001,5303,"2001/02"
"2001/03",2001,5887,"2001/03"
"2001/04",2001,5689,"2001/04"
"2001/05",2001,5956,"2001/05"
"2001/06",2001,5745,"2001/06"
"2001/07",2001,5715,"2001/07"
"2001/08",2001,5541,"2001/08"
"2001/09",2001,6076,"2001/09"
"2001/10",2001,6580,"2001/10"
"2001/11",2001,6097,"2001/11"
"2001/12",2001,6150,"2001/12"
"2002/01",2002,5575,"2002/01"
"2002/02",2002,5478,"2002/02"
"2002/03",2002,5547,"2002/03"
"2002/04",2002,6392,"2002/04"
"2002/05",2002,5748,"2002/05"
"2002/06",2002,5996,"2002/06"
"2002/07",2002,5567,"2002/07"
"2002/08",2002,5301,"2002/08"
"2002/09",2002,5931,"2002/09"
"2002/10",2002,6355,"2002/10"
"2002/11",2002,5831,"2002/11"
"2002/12",2002,5799,"2002/12"
"2003/01",2003,5913,"2003/01"
"2003/02",2003,5629,"2003/02"
"2003/03",2003,6653,"2003/03"
"2003/04",2003,6172,"2003/04"
"2003/05",2003,5854,"2003/05"
"2003/06",2003,5894,"2003/06"
"2003/07",2003,5483,"2003/07"
"2003/08",2003,5420,"2003/08"
"2003/09",2003,5408,"2003/09"
"2003/10",2003,6004,"2003/10"
"2003/11",2003,5807,"2003/11"
"2003/12",2003,5577,"2003/12"
"2004/01",2004,5608,"2004/01"
"2004/02",2004,5340,"2004/02"
"2004/03",2004,5899,"2004/03"
"2004/04",2004,5491,"2004/04"
"2004/05",2004,5795,"2004/05"
"2004/06",2004,5614,"2004/06"
"2004/07",2004,5776,"2004/07"
"2004/08",2004,5732,"2004/08"
"2004/09",2004,5652,"2004/09"
"2004/10",2004,6838,"2004/10"
"2004/11",2004,5541,"2004/11"
"2004/12",2004,5658,"2004/12"
"2005/01",2005,6599,"2005/01"
"2005/02",2005,5844,"2005/02"
"2005/03",2005,6493,"2005/03"
"2005/04",2005,6509,"2005/04"
"2005/05",2005,6770,"2005/05"
"2005/06",2005,6606,"2005/06"
"2005/07",2005,6669,"2005/07"
"2005/08",2005,6391,"2005/08"
"2005/09",2005,6803,"2005/09"
"2005/10",2005,6790,"2005/10"
"2005/11",2005,6562,"2005/11"
"2005/12",2005,6502,"2005/12"
"2006/01",2006,7800,"2006/01"
"2006/02",2006,7146,"2006/02"
"2006/03",2006,8336,"2006/03"
"2006/04",2006,8427,"2006/04"
"2006/05",2006,12086,"2006/05"
"2006/06",2006,12713,"2006/06"
"2006/07",2006,11999,"2006/07"
"2006/08",2006,11954,"2006/08"
"2006/09",2006,12355,"2006/09"
"2006/10",2006,14097,"2006/10"
"2006/11",2006,11857,"2006/11"
"2006/12",2006,11711,"2006/12"
"2007/01",2007,7870,"2007/01"
"2007/02",2007,7098,"2007/02"
"2007/03",2007,8311,"2007/03"
"2007/04",2007,7810,"2007/04"
"2007/05",2007,7801,"2007/05"
"2007/06",2007,7838,"2007/06"
"2007/07",2007,8205,"2007/07"
"2007/08",2007,8092,"2007/08"
"2007/09",2007,8613,"2007/09"
"2007/10",2007,8956,"2007/10"
"2007/11",2007,9030,"2007/11"
"2007/12",2007,7043,"2007/12"
"2008/01",2008,9206,"2008/01"
"2008/02",2008,8297,"2008/02"
"2008/03",2008,9287,"2008/03"
"2008/04",2008,9192,"2008/04"
"2008/05",2008,9360,"2008/05"
"2008/06",2008,9314,"2008/06"
"2008/07",2008,9307,"2008/07"
"2008/08",2008,9995,"2008/08"
"2008/09",2008,10254,"2008/09"
"2008/10",2008,12383,"2008/10"
"2008/11",2008,10409,"2008/11"
"2008/12",2008,9011,"2008/12"
"2009/01",2009,9997,"2009/01"
"2009/02",2009,9226,"2009/02"
"2009/03",2009,9184,"2009/03"
"2009/04",2009,8114,"2009/04"
"2009/05",2009,10228,"2009/05"
"2009/06",2009,10163,"2009/06"
"2009/07",2009,9482,"2009/07"
"2009/08",2009,8997,"2009/08"
"2009/09",2009,10025,"2009/09"
"2009/10",2009,10806,"2009/10"
"2009/11",2009,7504,"2009/11"
"2009/12",2009,7335,"2009/12"
"2010/01",2010,6958,"2010/01"
"2010/02",2010,6529,"2010/02"
"2010/03",2010,7331,"2010/03"
"2010/04",2010,6876,"2010/04"
"2010/05",2010,6911,"2010/05"
"2010/06",2010,6960,"2010/06"
"2010/07",2010,6498,"2010/07"
"2010/08",2010,6087,"2010/08"
"2010/09",2010,6731,"2010/09"
"2010/10",2010,6947,"2010/10"
"2010/11",2010,6509,"2010/11"
"2010/12",2010,6112,"2010/12"
"2011/01",2011,6316,"2011/01"
"2011/02",2011,5729,"2011/02"
"2011/03",2011,6714,"2011/03"
"2011/04",2011,6127,"2011/04"
"2011/05",2011,6173,"2011/05"
"2011/06",2011,6138,"2011/06"
"2011/07",2011,5674,"2011/07"
"2011/08",2011,5604,"2011/08"
"2011/09",2011,6346,"2011/09"
"2011/10",2011,6408,"2011/10"
"2011/11",2011,6381,"2011/11"
"2011/12",2011,6242,"2011/12"
"2012/01",2012,6470,"2012/01"
"2012/02",2012,6068,"2012/02"
"2012/03",2012,6792,"2012/03"
"2012/04",2012,5960,"2012/04"
"2012/05",2012,6562,"2012/05"
"2012/06",2012,6308,"2012/06"
"2012/07",2012,5755,"2012/07"
"2012/08",2012,5911,"2012/08"
"2012/09",2012,5864,"2012/09"
"2012/10",2012,6428,"2012/10"
"2012/11",2012,5948,"2012/11"
"2012/12",2012,5259,"2012/12"
"2013/01",2013,5902,"2013/01"
"2013/02",2013,5409,"2013/02"
"2013/03",2013,5911,"2013/03"
"2013/04",2013,5658,"2013/04"
"2013/05",2013,5884,"2013/05"
"2013/06",2013,5339,"2013/06"
"2013/07",2013,5030,"2013/07"
"2013/08",2013,4853,"2013/08"
"2013/09",2013,5135,"2013/09"
"2013/10",2013,5603,"2013/10"
"2013/11",2013,5141,"2013/11"
"2013/12",2013,4870,"2013/12"
"2014/01",2014,5320,"2014/01"
"2014/02",2014,4894,"2014/02"
"2014/03",2014,5250,"2014/03"
"2014/04",2014,5249,"2014/04"
"2014/05",2014,5541,"2014/05"
"2014/06",2014,5366,"2014/06"
"2014/07",2014,5031,"2014/07"
"2014/08",2014,4803,"2014/08"
"2014/09",2014,5337,"2014/09"
"2014/10",2014,5759,"2014/10"
"2014/11",2014,4951,"2014/11"
"2014/12",2014,4884,"2014/12"
"2015/01",2015,4782,"2015/01"
"2015/02",2015,4315,"2015/02"
"2015/03",2015,4956,"2015/03"
"2015/04",2015,4713,"2015/04"
"2015/05",2015,4760,"2015/05"
"2015/06",2015,4796,"2015/06"
"2015/07",2015,4656,"2015/07"
"2015/08",2015,4276,"2015/08"
"2015/09",2015,4728,"2015/09"
"2015/10",2015,5231,"2015/10"
"2015/11",2015,4585,"2015/11"
"2015/12",2015,4659,"2015/12"
"2016/01",2016,4563,"2016/01"
"2016/02",2016,4333,"2016/02"
"2016/03",2016,4836,"2016/03"
"2016/04",2016,4433,"2016/04"
"2016/05",2016,4358,"2016/05"
"2016/06",2016,4302,"2016/06"
"2016/07",2016,4061,"2016/07"
"2016/08",2016,3902,"2016/08"
"2016/09",2016,4220,"2016/09"
"2016/10",2016,4202,"2016/10"
"2016/11",2016,4074,"2016/11"
"2016/12",2016,3811,"2016/12"
"2017/01",2017,3866,"2017/01"
"2017/02",2017,3675,"2017/02"
"2017/03",2017,4344,"2017/03"
"2017/04",2017,3835,"2017/04"
"2017/05",2017,4245,"2017/05"
"2017/06",2017,4127,"2017/06"
"2017/07",2017,3755,"2017/07"
"2017/08",2017,3827,"2017/08"
"2017/09",2017,3970,"2017/09"
"2017/10",2017,4177,"2017/10"
"2017/11",2017,3989,"2017/11"
"2017/12",2017,3619,"2017/12"
"2018/01",2018,3823,"2018/01"
"2018/02",2018,3601,"2018/02"
"2018/03",2018,4199,"2018/03"
"2018/04",2018,3834,"2018/04"
"2018/05",2018,4210,"2018/05"
"2018/06",2018,4004,"2018/06"
"2018/07",2018,3653,"2018/07"
"2018/08",2018,3733,"2018/08"
"2018/09",2018,3829,"2018/09"
"2018/10",2018,4177,"2018/10"
"2018/11",2018,3983,"2018/11"
"2018/12",2018,3509,"2018/12"
"2019/01",2019,3768,"2019/01"
"2019/02",2019,3490,"2019/02"
"2019/03",2019,4035,"2019/03"
"2019/04",2019,3761,"2019/04"
"2019/05",2019,4001,"2019/05"
"2019/06",2019,3703,"2019/06"
"2019/07",2019,3641,"2019/07"
"2019/08",2019,3455,"2019/08"
"2019/09",2019,3741,"2019/09"
"2019/10",2019,4240,"2019/10"
"2019/11",2019,3795,"2019/11"
"2019/12",2019,3336,"2019/12"
"2020/01",2020,3802,"2020/01"
"2020/02",2020,3486,"2020/02"
"2020/03",2020,4315,"2020/03"
"2020/04",2020,4419,"2020/04"
"2020/05",2020,3802,"2020/05"
"2020/06",2020,3776,"2020/06"
"2020/07",2020,3761,"2020/07"
"2020/08",2020,3631,"2020/08"
"2020/09",2020,3862,"2020/09"
"2020/10",2020,4309,"2020/10"
"2020/11",2020,3761,"2020/11"
"2020/12",2020,3537,"2020/12"
"2021/01",2021,3750,"2021/01"
"2021/02",2021,3461,"2021/02"
"2021/03",2021,3891,"2021/03"
"2021/04",2021,3730,"2021/04"
"2021/05",2021,3609,"2021/05"
"2021/06",2021,3560,"2021/06"
"2021/07",2021,3518,"2021/07"
"2021/08",2021,3383,"2021/08"
"2021/09",2021,3610,"2021/09"
"2021/10",2021,3629,"2021/10"
"2021/11",2021,3411,"2021/11"
"2021/12",2021,3294,"2021/12"
"2022/01",2022,3190,"2022/01"
"2022/02",2022,3330,"2022/02"
"2022/03",2022,3722,"2022/03"
"2022/04",2022,3361,"2022/04"
"2022/05",2022,3426,"2022/05"
"2022/06",2022,3473,"2022/06"
"2022/07",2022,3247,"2022/07"
"2022/08",2022,3179,"2022/08"
"2022/09",2022,3435,"2022/09"
"2022/10",2022,3379,"2022/10"
"2022/11",2022,3342,"2022/11"
"2022/12",2022,3043,"2022/12"
"2023/01",2023,3014,"2023/01"
"2023/02",2023,2824,"2023/02"
"2023/03",2023,3445,"2023/03"
"2023/04",2023,3201,"2023/04"
"2023/05",2023,3361,"2023/05"
"2023/06",2023,3167,"2023/06"
"2023/07",2023,0,"2023/07"
"2023/08",2023,0,"2023/08"
"2023/09",2023,0,"2023/09"
"2023/10",2023,0,"2023/10"
"2023/11",2023,0,"2023/11"
"2023/12",2023,0,"2023/12"
