"ark","titre"
"cb34374507n","
Annales d'immunologie"
"cb32693505c","
Annales de gynécologie : maladies des femmes, accouchements"
"cb34348753q","
Annales de l'Institut Pasteur : journal de microbiologie"
"cb32694102g","
Annales de médecine légale, de criminologie et de police scientifique"
"cb34374509b","
Annales de microbiologie"
"cb326941583","
Annales de psychiatrie et d'hypnologie"
"cb343745843","
Archives d'anatomie microscopique"
"cb34350446w","
Archives d'électricité médicale"
"cb34404027m","
Archives de physiologie normale et pathologique"
"cb34400614z","
Archives de tocologie, des maladies des femmes et des enfants nouveau-nés"
"cb34348109k","
Bulletin de l'Académie nationale de médecine"
"cb34359823h","
Bulletins de la Société anatomique de Paris"
"cb34378153p","
Bulletins et mémoires de la Société médicale des hôpitaux de Paris"
"cb327660116","
Électrothérapie (L') : journal d'électricité médicale"
"cb32766926q","
Encéphale (L'). Journal des maladies mentales et nerveuses"
"cb34348614j","
Évolution psychiatrique (L')"
"cb34350166p","
Gazette médicale de France et des pays de langue française (La)"
"cb32796762n","
Journal complémentaire du Dictionnaire des sciences médicales"
"cb32798306j","
Journal de la Société phrénologique de Paris"
"cb327981823","
Journal de la physiologie de l'homme et des animaux"
"cb34348793z","
Journal de médecine et de chirurgie pratiques"
"cb34378294j","
Journal de pharmacie et des sciences accessoires"
"cb34378292v","
Journal de physiologie et de pathologie générale"
"cb327994360","
Journal des connaissances médicales pratiques"
"cb32812703p","
Médecine internationale (La)"
"cb34428663h","
Mémoires de l'Académie de médecine"
"cb32814464j","
Mère et l'enfant (La) : journal illustré de la première enfance"
"cb328258910","
Nouveaux remèdes (Les) : journal bi-mensuel de pharmacologie, de thérapeutique, de chimie médicale et d'hydrologie "
"cb32826388z","
Nouvelles archives d'obstétrique et de gynécologie"
"cb32827966j","
Obstétrique (L')"
"cb32834751f","
Pédiatrie pratique (La)"
"cb375835704","
Recueil de médecine vétérinaire"
"cb328569240","
Revue d'hygiène thérapeutique"
"cb32856925b","
Revue d'hypnologie théorique et pratique dans ses rapports avec la psychologie, les maladies mentales et nerveuses"
"cb41949199b","
Revue de psychiatrie : médecine mentale, neurologie, psychologie"
"cb328600666","
Revue illustrée de polytechnique médicale et de chirurgie orthopédique"
"cb32866896s","
Semaine gynécologique (La)"
