n,annee
389,1915
606,1916
5421,1919
1081,1921
415,1924
189,1925
306,1926
2749,1928
2162,1929
9541,1930
15686,1931
25327,1932
13270,1933
32669,1934
29134,1935
78397,1936
59898,1937
79057,1938
35344,1939
13617,1940
33071,1941
55046,1942
55360,1943
28182,1944
63607,1945
39313,1946
58781,1947
29357,1948
37572,1949
51383,1950
90766,1951
87366,1952
79598,1953
46899,1954
95707,1955
94034,1956
82947,1957
129167,1958
92425,1959
63877,1960
77238,1961
113596,1962
134797,1963
124768,1964
100208,1965
67400,1966
112681,1967
71187,1968
87130,1969
100572,1970
93733,1971
106801,1972
94099,1973
101762,1974
104606,1975
128804,1976
97337,1977
113088,1978
101645,1979
94192,1980
143349,1981
97717,1982
125409,1983
111457,1984
91326,1985
103534,1986
69167,1987
84691,1988
58048,1989
91336,1990
83226,1991
80421,1992
78544,1993
84560,1994
83433,1995
82056,1996
100844,1997
127026,1998
114935,1999
100656,2000
157702,2001
146581,2002
220163,2003
258069,2004
258380,2005
272368,2006
237286,2007
331930,2008
319545,2009
271485,2010
323396,2011
349415,2012
432652,2013
372589,2014
322267,2015
390043,2016
287755,2017
310741,2018
315594,2019
147533,2020
