n,annee,mois,jour
2634,1777,10,13
2457,1777,10,14
2608,1777,10,15
2531,1777,10,16
2457,1777,10,17
2557,1777,10,18
2323,1777,10,19
1689,1777,10,20
2307,1777,10,21
2607,1777,10,22
4250,1777,10,23
4465,1777,10,24
4233,1777,10,25
4126,1777,10,26
2108,1777,10,27
4291,1777,10,28
4148,1777,10,29
2731,1777,10,30
2796,1777,10,31
2527,1777,11,1
1983,1777,11,2
2743,1777,11,3
1962,1777,11,4
2599,1777,11,5
2484,1777,11,6
2656,1777,11,7
2466,1777,11,8
3976,1777,11,9
4363,1777,11,10
2712,1777,11,11
2496,1777,11,12
2471,1777,11,13
2622,1777,11,14
2459,1777,11,15
2641,1777,11,16
2253,1777,11,17
2462,1777,11,18
2590,1777,11,19
2707,1777,11,20
2480,1777,11,21
2472,1777,11,22
2003,1777,11,23
2412,1777,11,24
2548,1777,11,25
2605,1777,11,26
2361,1777,11,27
2515,1777,11,28
2406,1777,11,29
2466,1777,11,30
1697,1777,12,1
2429,1777,12,2
2394,1777,12,3
2264,1777,12,4
2424,1777,12,5
2481,1777,12,6
2370,1777,12,7
1803,1777,12,8
2522,1777,12,9
2625,1777,12,10
2464,1777,12,11
2555,1777,12,12
2522,1777,12,13
2669,1777,12,14
2083,1777,12,15
2465,1777,12,16
2339,1777,12,17
2506,1777,12,18
2580,1777,12,19
2505,1777,12,20
2362,1777,12,21
2047,1777,12,22
2390,1777,12,23
2495,1777,12,24
2413,1777,12,25
2541,1777,12,26
2454,1777,12,27
2457,1777,12,28
2562,1777,12,29
2629,1777,12,30
2598,1777,12,31
2538,1778,1,1
2708,1778,1,2
2420,1778,1,3
2440,1778,1,4
2489,1778,1,5
2025,1778,1,6
2609,1778,1,7
2516,1778,1,8
2414,1778,1,9
2559,1778,1,10
2467,1778,1,11
2759,1778,1,12
2401,1778,1,13
2397,1778,1,14
2497,1778,1,15
2440,1778,1,16
2399,1778,1,17
2402,1778,1,18
2292,1778,1,19
2485,1778,1,20
2513,1778,1,21
2589,1778,1,22
2253,1778,1,23
2424,1778,1,24
2615,1778,1,25
1908,1778,1,26
2072,1778,1,27
2659,1778,1,28
2213,1778,1,29
2490,1778,1,30
2556,1778,1,31
2980,1778,2,1
2379,1778,2,2
2761,1778,2,3
2512,1778,2,4
2456,1778,2,5
2512,1778,2,6
2493,1778,2,7
2649,1778,2,8
2157,1778,2,9
2427,1778,2,10
2546,1778,2,11
2577,1778,2,12
2200,1778,2,13
2489,1778,2,14
2490,1778,2,15
2464,1778,2,16
2291,1778,2,17
2296,1778,2,18
2503,1778,2,19
2669,1778,2,20
2280,1778,2,21
2312,1778,2,22
2143,1778,2,23
