annee,mois,jour,total_n
1998,1,1,32953
1998,1,2,33848
1998,1,3,29378
1998,1,5,37799
1998,1,6,39933
1998,1,7,40040
1998,1,8,45281
1998,1,9,42637
1998,1,10,40804
1998,1,12,54563
1998,1,13,44560
1998,1,14,40390
1998,1,15,45897
1998,1,16,41041
1998,1,17,37119
1998,1,19,41435
1998,1,20,42314
1998,1,21,42509
1998,1,22,44032
1998,1,23,43313
1998,1,24,40399
1998,1,26,45712
1998,1,27,51092
1998,1,28,41559
1998,1,29,49795
1998,1,30,42609
1998,1,31,37016
1998,2,2,37851
1998,2,3,41086
1998,2,4,38589
1998,2,5,49823
1998,2,6,49421
1998,2,7,39639
1998,2,9,46042
1998,2,10,46271
1998,2,11,39427
1998,2,12,50025
1998,2,13,42243
1998,2,14,38864
1998,2,16,41443
1998,2,17,45808
1998,2,18,41130
1998,2,19,47617
1998,2,20,40923
1998,2,21,38062
1998,2,23,39532
1998,2,24,45901
1998,2,25,41726
1998,2,26,43480
1998,2,27,42659
1998,2,28,40029
1998,3,2,44901
1998,3,3,42042
1998,3,4,40266
1998,3,5,44274
1998,3,6,47857
1998,3,7,47405
1998,3,9,43805
1998,3,10,43055
1998,3,11,44324
1998,3,12,50644
1998,3,13,43767
1998,3,14,32888
1998,3,16,35140
1998,3,17,42341
1998,3,18,39707
1998,3,19,62590
1998,3,20,38500
1998,3,21,38467
1998,3,23,45537
1998,3,24,43867
1998,3,25,45828
1998,3,26,51061
1998,3,27,43519
1998,3,28,41956
1998,3,30,44621
1998,3,31,47433
1998,4,1,36856
1998,4,2,49440
1998,4,3,45909
1998,4,5,38295
1998,4,6,46222
1998,4,7,41379
1998,4,8,48974
1998,4,9,38925
1998,4,10,34879
1998,4,12,31443
1998,4,13,37521
1998,4,14,37092
1998,4,15,666
1998,4,16,41413
1998,4,17,38271
1998,4,18,32815
1998,4,19,1602
1998,4,20,38672
1998,4,21,39647
1998,4,22,42330
1998,4,23,41629
1998,4,24,38846
1998,4,25,42660
1998,4,27,41254
1998,4,28,40451
1998,4,29,53357
1998,4,30,54588
1998,5,2,32059
1998,5,4,51932
1998,5,5,41226
1998,5,6,43518
1998,5,7,53385
1998,5,8,39199
1998,5,9,43115
1998,5,11,33362
1998,5,12,41311
1998,5,13,67224
1998,5,14,51161
1998,5,15,49490
1998,5,17,50505
1998,5,18,45670
1998,5,19,38244
1998,5,20,47696
1998,5,21,38102
1998,5,22,31021
1998,5,23,16032
1998,5,24,5770
1998,5,25,38368
1998,5,26,37624
1998,5,27,40979
1998,5,28,45148
1998,5,29,53162
1998,5,30,32565
1998,6,1,32151
1998,6,2,36700
1998,6,3,36521
1998,6,4,43083
1998,6,5,41679
1998,6,6,36447
1998,6,8,38343
1998,6,9,61222
1998,6,10,37975
1998,6,11,48790
1998,6,12,40132
1998,6,13,35004
1998,6,15,45507
1998,6,16,42125
1998,6,17,43389
1998,6,18,42131
1998,6,19,40467
1998,6,20,35178
1998,6,22,38790
1998,6,23,43157
1998,6,24,40566
1998,6,25,46480
1998,6,26,42816
1998,6,27,40636
1998,6,29,42697
1998,6,30,46311
1998,7,1,38538
1998,7,2,43262
1998,7,3,43232
1998,7,4,35829
1998,7,6,40144
1998,7,7,35262
1998,7,8,37399
1998,7,9,44919
1998,7,10,38225
1998,7,11,33005
1998,7,13,40988
1998,7,14,40712
1998,7,15,35819
1998,7,16,35175
1998,7,17,34695
1998,7,18,33760
1998,7,20,40645
1998,7,21,33696
1998,7,22,36872
1998,7,23,30805
1998,7,24,34465
1998,7,25,28466
1998,7,27,32160
1998,7,28,35323
1998,7,29,33826
1998,7,30,31876
1998,7,31,35695
1998,8,1,28895
1998,8,3,28599
1998,8,4,24746
1998,8,5,26806
1998,8,6,28071
1998,8,7,25130
1998,8,8,27076
1998,8,10,29249
1998,8,11,25207
1998,8,12,27971
1998,8,13,23493
1998,8,14,26803
1998,8,15,25864
1998,8,17,30250
1998,8,18,26141
1998,8,19,27461
1998,8,20,28293
1998,8,21,27685
1998,8,22,22488
1998,8,24,28788
1998,8,25,30291
1998,8,26,30760
1998,8,27,40018
1998,8,28,30867
1998,8,29,36109
1998,8,31,30642
1998,9,1,32173
1998,9,2,33745
1998,9,3,47844
1998,9,4,30011
1998,9,5,35678
1998,9,7,40136
1998,9,8,38482
1998,9,9,36435
1998,9,10,43371
1998,9,11,34755
1998,9,12,39964
1998,9,14,45062
1998,9,15,42161
1998,9,16,41899
1998,9,17,46696
1998,9,18,39653
1998,9,19,38886
1998,9,21,42640
1998,9,22,40700
1998,9,23,38487
1998,9,24,46627
1998,9,25,34117
1998,9,26,43416
1998,9,28,35850
1998,9,29,47719
1998,9,30,41287
1998,10,1,46382
1998,10,2,40381
1998,10,3,44726
1998,10,5,41511
1998,10,6,41491
1998,10,7,45959
1998,10,8,42910
1998,10,10,37991
1998,10,12,35543
1998,10,13,41113
1998,10,14,37688
1998,10,15,44231
1998,10,16,36680
1998,10,17,36703
1998,10,19,37694
1998,10,20,41007
1998,10,21,36653
1998,10,22,42283
1998,10,23,34377
1998,10,24,27642
1998,10,26,30877
1998,10,27,31412
1998,10,28,32956
1998,10,29,41685
1998,10,30,32130
1998,10,31,35310
1998,11,2,34063
1998,11,3,35124
1998,11,4,37706
1998,11,5,40524
1998,11,6,39642
1998,11,7,31524
1998,11,9,37610
1998,11,10,32692
1998,11,11,28153
1998,11,12,42291
1998,11,13,36502
1998,11,14,40865
1998,11,16,39485
1998,11,17,38778
1998,11,18,35770
1998,11,19,42185
1998,11,20,36081
1998,11,21,31811
1998,11,23,40303
1998,11,24,40112
1998,11,25,34717
1998,11,26,41957
1998,11,27,39890
1998,11,28,30830
1998,11,30,39969
1998,12,1,32749
1998,12,2,39468
1998,12,3,46140
1998,12,4,38321
1998,12,5,33565
1998,12,7,43140
1998,12,8,41906
1998,12,9,42605
1998,12,10,43973
1998,12,11,38875
1998,12,12,40766
1998,12,14,46626
1998,12,15,40322
1998,12,16,38182
1998,12,17,43036
1998,12,18,40360
1998,12,19,34704
1998,12,21,39272
1998,12,22,33218
1998,12,23,32396
1998,12,24,34317
1998,12,25,28323
1998,12,26,24349
1998,12,28,31906
1998,12,29,28649
1998,12,30,34317
1998,12,31,37847
1999,1,1,29034
1999,1,2,23415
1999,1,4,39757
1999,1,5,35070
1999,1,6,37681
1999,1,7,40972
1999,1,8,36551
1999,1,9,31974
1999,1,11,36530
1999,1,12,43534
1999,1,13,36107
1999,1,14,46214
1999,1,15,39086
1999,1,16,33335
1999,1,18,40983
1999,1,19,41204
1999,1,20,35113
1999,1,21,46804
1999,1,22,39490
1999,1,23,37513
1999,1,25,48508
1999,1,26,53464
1999,1,27,43292
1999,1,28,36322
1999,1,29,45007
1999,1,30,32370
1999,2,1,41012
1999,2,2,41193
1999,2,3,39438
1999,2,4,42868
1999,2,5,40155
1999,2,6,35314
1999,2,8,47915
1999,2,9,94441
1999,2,10,42085
1999,2,11,45737
1999,2,12,38583
1999,2,13,37221
1999,2,15,44940
1999,2,16,38149
1999,2,17,40541
1999,2,18,41271
1999,2,19,41326
1999,2,20,40715
1999,2,22,40992
1999,2,23,35569
1999,2,24,42414
1999,2,25,49295
1999,2,26,41978
1999,2,27,34590
1999,3,1,39696
1999,3,2,40082
1999,3,3,53484
1999,3,4,44180
1999,3,5,36723
1999,3,6,2589
1999,3,7,33717
1999,3,8,44854
1999,3,9,42480
1999,3,10,43045
1999,3,11,38836
1999,3,12,39385
1999,3,14,28092
1999,3,15,52976
1999,3,16,37138
1999,3,17,48939
1999,3,18,44134
1999,3,19,34409
1999,3,20,848
1999,3,21,41439
1999,3,22,31403
1999,3,23,52671
1999,3,24,49971
1999,3,25,36393
1999,3,26,40469
1999,3,28,42169
1999,3,29,35740
1999,3,30,35960
1999,3,31,56225
1999,4,1,39622
1999,4,2,37240
1999,4,4,31717
1999,4,5,39770
1999,4,6,39375
1999,4,7,41474
1999,4,8,42487
1999,4,9,36945
1999,4,11,47205
1999,4,12,47677
1999,4,13,39568
1999,4,14,44057
1999,4,15,43500
1999,4,16,38229
1999,4,18,38681
1999,4,19,40764
1999,4,20,38395
1999,4,21,43534
1999,4,22,41557
1999,4,23,38133
1999,4,25,39608
1999,4,26,40653
1999,4,27,39823
1999,4,28,46342
1999,4,29,40071
1999,5,2,44076
1999,5,3,39975
1999,5,4,43501
1999,5,5,41405
1999,5,6,43294
1999,5,7,37946
1999,5,9,42048
1999,5,10,34927
1999,5,11,41890
1999,5,12,37924
1999,5,13,44539
1999,5,14,36258
1999,5,16,49496
1999,5,17,45495
1999,5,18,38705
1999,5,19,45508
1999,5,20,40060
1999,5,21,35857
1999,5,23,32986
1999,5,24,45920
1999,5,25,40978
1999,5,26,41658
1999,5,27,39630
1999,5,28,39221
1999,5,30,43751
1999,6,1,34307
1999,6,2,46318
1999,6,3,41903
1999,6,4,46810
1999,6,5,44259
1999,6,7,45489
1999,6,8,42820
1999,6,9,43099
1999,6,10,48315
1999,6,11,48558
1999,6,12,35392
1999,6,14,41321
1999,6,15,47925
1999,6,16,40250
1999,6,17,49703
1999,6,18,43967
1999,6,19,33863
1999,6,21,46530
1999,6,22,39029
1999,6,23,36790
1999,6,24,45007
1999,6,25,37988
1999,6,26,39091
1999,6,28,45014
1999,6,29,43839
1999,6,30,39989
1999,7,1,38585
1999,7,2,43550
1999,7,3,37870
1999,7,4,170
1999,7,5,43649
1999,7,6,39328
1999,7,7,44652
1999,7,8,44708
1999,7,9,41721
1999,7,10,40509
1999,7,12,47593
1999,7,13,39262
1999,7,14,33216
1999,7,15,34036
1999,7,16,38763
1999,7,17,34040
1999,7,19,36033
1999,7,20,32503
1999,7,21,51802
1999,7,22,38524
1999,7,23,31741
1999,7,25,34970
1999,7,26,28604
1999,7,27,24981
1999,7,28,27885
1999,7,29,29660
1999,7,30,22814
1999,7,31,12421
1999,8,1,31738
1999,8,2,33625
1999,8,3,30668
1999,8,4,29096
1999,8,5,30919
1999,8,6,24691
1999,8,8,36715
1999,8,9,31014
1999,8,10,35592
1999,8,11,31487
1999,8,12,29719
1999,8,13,29142
1999,8,15,39181
1999,8,16,31788
1999,8,17,30880
1999,8,18,31802
1999,8,19,31139
1999,8,20,30337
1999,8,22,39462
1999,8,23,36854
1999,8,24,35489
1999,8,25,43567
1999,8,26,42077
1999,8,27,38495
1999,8,29,43336
1999,8,30,28050
1999,8,31,34115
1999,9,1,40676
1999,9,2,32163
1999,9,3,39090
1999,9,5,39285
1999,9,6,39836
1999,9,7,35598
1999,9,8,47948
1999,9,9,35303
1999,9,10,43482
1999,9,12,43011
1999,9,13,41463
1999,9,14,41935
1999,9,15,46285
1999,9,16,41427
1999,9,17,42421
1999,9,19,44847
1999,9,20,42966
1999,9,21,38719
1999,9,22,48417
1999,9,23,40468
1999,9,24,42018
1999,9,26,38650
1999,9,27,38560
1999,9,28,42228
1999,9,29,49412
1999,9,30,53479
1999,10,1,45473
1999,10,3,29196
1999,10,4,48379
1999,10,5,46660
1999,10,6,43449
1999,10,7,47179
1999,10,8,43162
1999,10,10,45326
1999,10,11,44339
1999,10,12,42200
1999,10,13,51099
1999,10,14,45891
1999,10,15,42870
1999,10,17,47813
1999,10,18,40845
1999,10,19,38785
1999,10,20,51478
1999,10,21,38639
1999,10,22,43277
1999,10,24,43992
1999,10,25,41846
1999,10,26,41941
1999,10,27,48852
1999,10,28,38412
1999,10,29,44679
1999,11,1,36293
1999,11,2,41331
1999,11,3,40066
1999,11,4,45712
1999,11,5,36947
1999,11,6,54792
1999,11,8,41634
1999,11,9,41235
1999,11,10,37115
1999,11,11,41207
1999,11,12,40557
1999,11,13,37367
1999,11,15,41205
1999,11,16,39546
1999,11,17,39420
1999,11,18,45938
1999,11,19,42309
1999,11,20,45714
1999,11,22,45166
1999,11,23,39055
1999,11,24,66818
1999,11,25,48091
1999,11,26,39564
1999,11,27,50717
1999,11,29,41346
1999,11,30,52145
1999,12,1,42446
1999,12,2,48459
1999,12,3,42197
1999,12,4,42336
1999,12,6,48466
1999,12,7,41425
1999,12,8,38335
1999,12,9,52914
1999,12,10,45981
1999,12,11,42049
1999,12,13,39068
1999,12,14,39080
1999,12,15,39767
1999,12,16,42702
1999,12,17,38263
1999,12,18,43309
1999,12,20,43473
1999,12,21,39275
1999,12,22,36448
1999,12,23,38465
1999,12,24,35344
1999,12,25,31791
1999,12,27,35268
1999,12,28,33342
1999,12,29,33760
1999,12,30,38608
1999,12,31,30211
2000,1,1,9554
2000,1,3,36612
2000,1,4,34046
2000,1,5,34482
2000,1,6,46243
2000,1,7,35689
2000,1,8,35306
2000,1,10,38587
2000,1,11,38681
2000,1,12,43281
2000,1,13,47811
2000,1,14,50729
2000,1,15,41100
2000,1,17,45849
2000,1,18,46429
2000,1,19,40283
2000,1,20,51942
2000,1,21,37832
2000,1,22,41841
2000,1,24,48144
2000,1,25,40784
2000,1,26,42154
2000,1,27,43847
2000,1,28,43385
2000,1,29,51033
2000,1,31,47567
2000,2,1,40651
2000,2,2,40538
2000,2,3,45326
2000,2,4,42301
2000,2,5,39960
2000,2,7,49146
2000,2,8,38326
2000,2,9,40600
2000,2,10,46314
2000,2,11,37524
2000,2,12,36469
2000,2,14,34482
2000,2,15,35325
2000,2,16,35588
2000,2,17,48342
2000,2,18,39437
2000,2,19,42714
2000,2,21,42672
2000,2,22,35185
2000,2,23,44892
2000,2,24,49978
2000,2,25,38599
2000,2,26,39525
2000,2,28,42908
2000,3,1,36817
2000,3,2,48107
2000,3,3,40739
2000,3,4,44190
2000,3,6,45250
2000,3,7,38221
2000,3,8,39627
2000,3,9,47556
2000,3,10,51991
2000,3,11,45146
2000,3,13,45440
2000,3,14,35183
2000,3,15,46921
2000,3,16,50969
2000,3,17,39600
2000,3,18,44834
2000,3,20,46251
2000,3,21,38336
2000,3,22,53337
2000,3,23,48681
2000,3,24,47320
2000,3,25,44558
2000,3,27,47256
2000,3,28,38168
2000,3,29,42523
2000,3,30,50343
2000,3,31,44870
2000,4,2,48563
2000,4,3,34658
2000,4,4,33873
2000,4,5,47972
2000,4,6,48263
2000,4,7,41602
2000,4,9,42358
2000,4,10,32003
2000,4,11,35367
2000,4,12,53577
2000,4,13,42908
2000,4,14,42050
2000,4,16,44618
2000,4,17,29200
2000,4,18,12948
2000,4,19,38164
2000,4,20,45721
2000,4,21,39380
2000,4,22,45482
2000,4,24,30574
2000,4,25,41376
2000,4,26,35992
2000,4,27,47546
2000,4,28,42636
2000,4,29,45341
2000,5,1,46327
2000,5,2,46624
2000,5,3,48390
2000,5,4,45521
2000,5,5,42850
