n,annee
1285,1989
4889,1990
12562,1991
6457,1992
17272,1993
12243,1994
46449,1995
22525,1996
53074,1997
100227,1998
81762,1999
75727,2000
86156,2001
94405,2002
87741,2003
123520,2004
158021,2005
194122,2006
213601,2007
190652,2008
153106,2009
179174,2010
234074,2011
302118,2012
290023,2013
359223,2014
480207,2015
493046,2016
532215,2017
553344,2018
518325,2019
486227,2020
497703,2021
367820,2022
327998,2023
31896,2024
