"date","principales_villes","n"
"1636","Lyon",1
"1636","N/A",10
"1636","Paris",124
"1636","Rouen",4
"1637","Autre",7
"1637","N/A",7
"1637","Paris",44
"1637","Rouen",1
"1638","Autre",3
"1638","N/A",8
"1638","Paris",45
"1638","Rouen",1
"1639","Autre",4
"1639","N/A",11
"1639","Paris",69
"1639","Rouen",1
"1640","Autre",2
"1640","N/A",11
"1640","Paris",54
"1640","Rouen",3
"1641","Autre",5
"1641","Bordeaux",1
"1641","N/A",4
"1641","Paris",38
"1641","Rouen",1
"1642","Autre",2
"1642","N/A",14
"1642","Paris",33
"1642","Rouen",1
"1643","Autre",3
"1643","Lyon",4
"1643","N/A",24
"1643","Paris",49
"1643","Rouen",1
"1644","Autre",5
"1644","Lyon",1
"1644","N/A",13
"1644","Paris",30
"1644","Rouen",1
"1645","Autre",1
"1645","Montpellier",1
"1645","N/A",17
"1645","Paris",37
"1646","Autre",3
"1646","Bordeaux",1
"1646","N/A",10
"1646","Paris",21
"1647","Autre",5
"1647","N/A",9
"1647","Paris",28
"1648","Autre",3
"1648","N/A",11
"1648","Paris",26
"1648","Rouen",1
"1649","Autre",3
"1649","Lyon",9
"1649","Montpellier",1
"1649","N/A",195
"1649","Paris",102
"1649","Rouen",1
"1650","Autre",6
"1650","Lyon",5
"1650","N/A",36
"1650","Paris",36
"1650","Rouen",1
"1651","Autre",2
"1651","Lille",1
"1651","Lyon",1
"1651","N/A",44
"1651","Paris",29
"1651","Rouen",3
"1652","Autre",4
"1652","Bruxelles",1
"1652","Lyon",1
"1652","N/A",52
"1652","Paris",42
"1652","Rouen",2
"1653","Autre",7
"1653","N/A",8
"1653","Paris",24
"1653","Rouen",2
"1654","Autre",4
"1654","N/A",8
"1654","Paris",38
"1655","Autre",6
"1655","Lyon",1
"1655","N/A",8
"1655","Paris",17
"1655","Rouen",6
"1656","Autre",3
"1656","Lyon",1
"1656","N/A",15
"1656","Paris",21
"1657","Autre",3
"1657","N/A",12
"1657","Paris",28
"1657","Rouen",1
"1658","Autre",6
"1658","Lyon",2
"1658","N/A",7
"1658","Paris",11
"1659","Autre",7
"1659","Lyon",1
"1659","N/A",14
"1659","Paris",21
"1660","Autre",7
"1660","Lyon",4
"1660","N/A",17
"1660","Paris",39
"1661","Autre",8
"1661","Bruxelles",1
"1661","Lyon",1
"1661","N/A",21
"1661","Paris",24
"1662","Autre",7
"1662","Bruxelles",1
"1662","Lyon",1
"1662","N/A",9
"1662","Paris",21
"1663","Autre",9
"1663","N/A",11
"1663","Paris",31
"1664","Autre",7
"1664","Lyon",1
"1664","N/A",16
