n,annee,mois
7915,2004,12
450,2005,4
965,2005,5
564,2005,6
606,2005,7
1192,2005,8
8991,2005,9
35633,2005,10
42635,2005,11
52855,2005,12
123610,2006,1
1324733,2006,2
1192062,2006,3
1162994,2006,4
1293714,2006,5
1321153,2006,6
1032461,2006,7
899000,2006,8
1231427,2006,9
1291716,2006,10
1323791,2006,11
1206884,2006,12
1464676,2007,1
1231972,2007,2
1654594,2007,3
1584822,2007,4
2067195,2007,5
1963653,2007,6
1571405,2007,7
1742814,2007,8
2657831,2007,9
2469017,2007,10
2364175,2007,11
1950255,2007,12
2242428,2008,1
2358249,2008,2
2358162,2008,3
2286760,2008,4
2238296,2008,5
2338010,2008,6
2050928,2008,7
2094585,2008,8
2299740,2008,9
2727439,2008,10
2523715,2008,11
2259735,2008,12
2722182,2009,1
2566651,2009,2
2820652,2009,3
2729865,2009,4
2513136,2009,5
2755613,2009,6
2441804,2009,7
2051512,2009,8
2460038,2009,9
2636456,2009,10
2486966,2009,11
2528667,2009,12
2911026,2010,1
2896939,2010,2
3071833,2010,3
2953897,2010,4
2654618,2010,5
2726583,2010,6
2425425,2010,7
2282006,2010,8
2597245,2010,9
2671807,2010,10
2636529,2010,11
2448447,2010,12
2765418,2011,1
2516137,2011,2
3007707,2011,3
2548554,2011,4
2846688,2011,5
2611401,2011,6
2555724,2011,7
2317906,2011,8
2766661,2011,9
2790987,2011,10
2769761,2011,11
2405063,2011,12
2746748,2012,1
2523335,2012,2
2862619,2012,3
2690310,2012,4
2719668,2012,5
2716628,2012,6
2504052,2012,7
2151859,2012,8
2481027,2012,9
2827714,2012,10
2670098,2012,11
2395194,2012,12
2597790,2013,1
2582305,2013,2
2640776,2013,3
2681102,2013,4
2611357,2013,5
2555624,2013,6
2347831,2013,7
2159275,2013,8
2534340,2013,9
2749306,2013,10
2628507,2013,11
2402188,2013,12
2617835,2014,1
2487062,2014,2
2759011,2014,3
2694878,2014,4
2552581,2014,5
2683571,2014,6
2637353,2014,7
2302423,2014,8
2700849,2014,9
2907772,2014,10
2778450,2014,11
2728243,2014,12
2894074,2015,1
2678617,2015,2
2996243,2015,3
2767479,2015,4
2743287,2015,5
2955867,2015,6
2503397,2015,7
2321314,2015,8
2937354,2015,9
2818136,2015,10
2721456,2015,11
2527876,2015,12
2718446,2016,1
2821050,2016,2
2872962,2016,3
2810861,2016,4
2816309,2016,5
3056112,2016,6
2552786,2016,7
2570902,2016,8
3002554,2016,9
2930759,2016,10
3043824,2016,11
2751441,2016,12
2984263,2017,1
2660030,2017,2
3170205,2017,3
2812791,2017,4
3001937,2017,5
3045313,2017,6
2698897,2017,7
2453554,2017,8
2831912,2017,9
3060935,2017,10
2958053,2017,11
2626623,2017,12
3020996,2018,1
2834618,2018,2
3105490,2018,3
2857851,2018,4
3004803,2018,5
3220726,2018,6
2970841,2018,7
2465161,2018,8
3005643,2018,9
3258313,2018,10
3151948,2018,11
2676445,2018,12
3228160,2019,1
3136182,2019,2
3453944,2019,3
3279617,2019,4
3356033,2019,5
3203810,2019,6
2859086,2019,7
2315079,2019,8
3195343,2019,9
3321117,2019,10
3054470,2019,11
2678678,2019,12
3102595,2020,1
2912100,2020,2
3099328,2020,3
3045758,2020,4
3051197,2020,5
3189695,2020,6
2996231,2020,7
2400215,2020,8
3333710,2020,9
3441833,2020,10
3409982,2020,11
3190510,2020,12
3180881,2021,1
2943795,2021,2
3413776,2021,3
3235436,2021,4
3167909,2021,5
3327985,2021,6
2925672,2021,7
2451391,2021,8
3288049,2021,9
3412954,2021,10
3285845,2021,11
2991150,2021,12
3315864,2022,1
3215726,2022,2
3537699,2022,3
3164870,2022,4
3234108,2022,5
3182761,2022,6
2833522,2022,7
2586253,2022,8
3283073,2022,9
3214831,2022,10
3131580,2022,11
2820104,2022,12
3142351,2023,1
3128142,2023,2
3459184,2023,3
2975359,2023,4
3197046,2023,5
3198885,2023,6
2680562,2023,7
2537414,2023,8
3185635,2023,9
3270324,2023,10
3162881,2023,11
2871319,2023,12
3249211,2024,1
3193115,2024,2
