"title","ark"
"Revue du notariat et de l'enregistrement  ","cb32859248s"
"Procès verbaux du Conseil colonial ","cb34445399c"
"Plus loin ","cb32840411m"
"Les Romans d'amour ","cb32862650z"
"Les Conférences","cb327467660"
"Les Beaux voyages ","cb327106492"
"Le Peuple ","cb32838764r"
"Le Peuple ","cb32838761q"
"Le Nord illustré ","cb32824064n"
"Le Libre penseur du Centre ","cb328071093"
"Le Franc Parleur ","cb32777119p"
"Le Fermier des Flandres ","cb327741894"
"Le Cri sportif ","cb327526094"
"Le Courrier du notariat","cb32751299k"
"Le Coureur des spectacles","cb327499381"
"Le Cheminot du P","cb32740731w"
"La Semaine gynécologique ","cb32866896s"
"La Pédale touristique ","cb328347476"
"La Méditerranée ","cb34458935q"
"La Gazette des escholiers ","cb32780806s"
"La Femme ","cb327739773"
"La Boîte à ouvrage ","cb34444568d"
"La Bibliothèque populaire ","cb327123669"
"L'Énigme ","cb32767206d"
"L'Écho du Bon conseil ","cb32761984p"
"L'Écho de Lavaur et l'Avenir vauréen réunis ","cb327607392"
"L'Avion ","cb32709243v"
"Journal des femmes ","cb32799711g"
"Journal des chemins de fer et des progrès industriels ","cb32799360k"
"Direction générale de l'agriculture","cb32757727j"
"Die Vereinigten Staaten von Europa ","cb32887413t"
"Deutsche Blätter ","cb32756523c"
"Bulletin paroissial ","cb427371863"
"Bulletin paroissial ","cb427466288"
"Bulletin paroissial ","cb42747222b"
"Bulletin paroissial ","cb427480868"
"Bulletin paroissial ","cb42742903s"
"Bulletin paroissial ","cb42767300q"
"Bulletin paroissial ","cb427465834"
"Bulletin paroissial ","cb328152109"
"Bulletin du Syndicat des employés du commerce et de l'industrie  ","cb32728215s"
"Bulletin de la Confédération des travailleurs intellectuels","cb344160081"
"Bulletin   Amis du vieux Chinon ","cb34405881v"
"Archives historiques du département de la Gironde","cb32701447v"
"Annales typographiques","cb32694763b"
"Annales sedanaises d'histoire et d'archéologie ","cb34417431w"
"Guide indicateur illustré des chemins de fer de Paris à Lyon et à la Méditerranée","cb327851438"
"Tableau général du commerce de la France avec ses colonies et les puissances étrangères","cb41277765m"
"Séance publique annuelle ","cb32792546w"
"Revue du monde musulman","cb328592223"
"Revue du Midi ","cb328592014"
"Rapports et délibérations   Haut","cb345224792"
"Paris pour tous ","cb328328230"
"Nos annales de guerre ","cb328244204"
"Le Rhône socialiste ","cb32861854n"
"Le National de la Vienne","cb32822335d"
"Le Moniteur médical ","cb32819497q"
"Le Douanier ","cb32758739s"
"La Vie future","cb32889032g"
"La Vie ","cb32888581t"
"La Rénovation esthétique ","cb34430362m"
"La Manche illustrée","cb32811213c"
"La France internationale ","cb32777856t"
"La France apicole ","cb32777396p"
"L'Union des dames de la Poste","cb328835610"
"L'Encéphale ","cb343485713"
"L'Echo des sports indochinois","cb327618325"
"L'Armée coloniale ","cb327021687"
"L'Architecte constructeur ","cb327008947"
"L'Académie culinaire ","cb32681022w"
"Journal of physical chemistry ","cb328017397"
"Journal de la Société d'archéologie et du Comité du Musée lorrain","cb327982575"
"Italia ","cb32794246j"
"Demain ","cb327550781"
"Colette et Francinet ","cb46701104d"
"Bulletin trimestriel ","cb32738731m"
"Bulletin paroissial ","cb421588332"
"Bulletin paroissial ","cb42459917v"
"Bulletin paroissial ","cb427714958"
"Bulletin paroissial ","cb42744128d"
"Bulletin paroissial ","cb427799649"
"Bulletin officiel du Commissariat régional de la République à Marseille","cb327323839"
"Bulletin de l'Asecourfi","cb32719041t"
"Annuaire de législation française ","cb344592998"
"Annales de l'Office national des combustibles liquides","cb34378081n"
"Annales de l'Observatoire impérial de Paris","cb32693720t"
"Toilettes parisiennes","cb328779370"
"Société d'histoire moderne ","cb34417332z"
"Séance solennelle ","cb34417467w"
"Roubaix radical","cb32862872t"
"Revue de l'histoire des colonies françaises ","cb32857372f"
"Recueil de la Gazette des tribunaux ","cb328492597"
"Rapport à l'Empereur sur la situation des sociétés de secours mutuels ","cb412901917"
"Procès verbaux ","cb32870398v"
"Pivot","cb36948346n"
"Nouvelle collection les Patrons favoris","cb457366185"
"Le Relèvement social ","cb34432409x"
"Le Moniteur scientifique du Docteur Quesneville ","cb34437525n"
"Le Matériel typo litho ","cb328122635"
"Le Front républicain ","cb327789779"
"Le Coup de Bambou","cb327498362"
"Le Contrat social ","cb344560781"
"Le Conseiller du peuple ","cb41072099f"
"La Voix populaire","cb32891846n"
"La Vie théâtrale ","cb32889426n"
"La Revue Mame ","cb32860476m"
"La Mutualité algérienne","cb328214730"
"La Défense de la petite propriété française ","cb32754597f"
"L'Écho du Raincy ","cb32762472j"
"L'Architecture","cb32700910n"
"L'Anthropologie ","cb343482075"
"L'Amérique ","cb326910583"
"Journal de Lagny ","cb32798351c"
"Comptes rendus et mémoires ","cb34445838j"
"Compte administratif ","cb401221700"
"Bulletin périodique de la presse tchécoslovaque","cb32732732h"
"Bulletin paroissial ","cb42592509f"
"Bulletin paroissial ","cb42737154g"
"Bulletin paroissial ","cb42746557k"
"Bulletin paroissial ","cb42771701x"
"Bulletin paroissial ","cb42777828p"
"Bulletin officiel du Ministère de la guerre","cb32732422c"
"Bulletin du Tribunal criminel","cb42371011m"
"Bulletin du Comité des travaux historiques et scientifiques","cb32729175m"
"Bulletin des travaux de l'association ","cb327044405"
"Bulletin de la Société médico chirurgicale de la Drôme et de l'Ardèche","cb327247663"
"Bulletin de la Société française de minéralogie","cb34378164b"
"Bulletin de la Société d'agriculture","cb343786176"
"Bulletin ","cb32870310m"
"Budget local de la Guinée française ","cb412692498"
"Budget local   Polynésie française ","cb344454044"
"Art du coiffeur ","cb32702497n"
"Annales de la Société d'agriculture","cb32693936r"
"Annales de l'Institut national agronomique ","cb32693668j"
"Actes de l'Académie nationale des sciences","cb34363194v"
"The Boulogne times and visitors' list","cb327153948"
"Scapin ","cb34427820j"
"Revue vétérinaire ","cb32861707v"
"Revue française de gynécologie et d'obstétrique","cb343491790"
"Revue de l'Institut catholique de Paris ","cb34371507x"
"Revue comtadine","cb32856683p"
"Revue biblio iconographique ","cb32856433k"
"Recueil de lois","cb32849279v"
"Mémoires de la société des sciences naturelles et archéologiques de la Creuse","cb328133432"
"Lyon revue ","cb32810113v"
"Liberté","cb32806719t"
"Le Travailleur socialiste ","cb32880358t"
"Le Travailleur de l'Indre ","cb32880156k"
"Le Réveil artésien ","cb32853781j"
"Le Ralliement","cb328477296"
"Le Propagateur haïtien ","cb32844820n"
"Le Pilote de Port en","cb328398888"
"Le Petit montagnard ","cb32837010n"
"Le Gutenberg ","cb32785357h"
"Le Guide du Togo","cb327850539"
"Le Dentiste de France ","cb327557001"
"Le Comique annonces","cb32744929v"
"La Vérité","cb328875880"
"La Jeunesse étudiante féminine ","cb375882141"
"La Gazette du village ","cb344447141"
"La Cravache oranaise","cb32751984g"
"La Cordonnerie française ","cb32748445p"
"L'Outillage national ","cb344478590"
"L'Élève ingénieur ","cb32766138h"
"Journal des couturières et des modistes","cb32799486j"
"Journal de la Société des américanistes","cb343492856"
"Foi et vie","cb32776099n"
"Entretiens politiques ","cb32767944w"
"Comptes rendus de l'Académie des sciences","cb344988416"
"Compte administratif","cb41273763z"
"Bulletin périodique de la presse austro allemande","cb32732706z"
"Bulletin paroissial ","cb42743629w"
"Bulletin paroissial ","cb42742702w"
"Bulletin paroissial ","cb42767404c"
"Bulletin paroissial ","cb427743575"
"Bulletin paroissial ","cb42777551c"
"Bulletin des jeunes ","cb327262279"
"Bulletin de la Société chimique de Paris","cb34411293f"
"Bulletin cynégétique du Maroc","cb327174821"
"Bulletin ","cb32745661r"
"Budget des recettes et des dépenses pour l'exercice","cb344370703"
"Belles lettres","cb32711058m"
"Aviation ","cb34415554b"
"Archives de médecine et de pharmacie militaires","cb34423336k"
"Revue militaire française ","cb328607513"
"Recueil des bulletins","cb328495848"
"Recherches ","cb32848964h"
"Rapport du préfet et procès verbaux des délibérations ","cb41497144r"
"Province ","cb32845287h"
"Progrès constantinois","cb328438552"
"Les Sports comtois ","cb32872062h"
"Les Annales de la régie directe ","cb32693909v"
"Le Petit mémorial du dimanche ","cb328368380"
"Le Nouveau siècle ","cb32825779v"
"Le Nord sténographique ","cb328241460"
"Le Miroir de la beauté ","cb32816710x"
"Le Journal juif ","cb32801522z"
"La Voix du Sud","cb328917184"
"La Revue de statistique ","cb328580527"
"La Réforme sociale et démocratique ","cb32850092j"
"La Médecine sociale  ","cb32812734z"
"La Lutte sociale charentaise ","cb32809876n"
"La Gazette lyrique ","cb32781324k"
"L'Indépendant de St Claude","cb32789695v"
"L'Expérience ","cb327719946"
"Journal politique national","cb32802249d"
"Journal du droit international privé ","cb344442139"
"Fontaine ","cb32776331v"
"Công baò Viêt","cb32746915n"
"Bulletin paroissial ","cb427438012"
"Bulletin paroissial ","cb427681232"
"Bulletin paroissial ","cb42778332s"
"Bulletin paroissial ","cb42780751f"
"Bulletin mensuel ","cb32745101h"
"Bulletin du Comité des travaux historiques et scientifiques","cb32727273q"
"Bulletin de la Société philomatique vosgienne","cb34454426d"
"Bulletin de la Société des sciences","cb34424038p"
"Bulletin de la Société bourguignonne d'apiculture ","cb327236130"
"Bulletin de la participation aux bénéfices ","cb32723251f"
"Annales de la Société historique et archéologique de Château Thierry","cb326940297"
"Union des instituteurs et des institutrices des Pyrénées Orientales ","cb328837141"
"Société agricole","cb328691132"
"Santé pour tous ","cb32864899b"
"Romanische Bibliographie","cb344706074"
"Revue européenne ","cb328595207"
"Revue critique de médecine et de chirurgie ","cb328567233"
"Rapports et délibérations   Conseil général des Hautes","cb34438930k"
"Pandectes françaises périodiques ","cb34419864f"
"Notre journal ","cb32825210h"
"Mon rêve ","cb32818002v"
"Mémoires de l'Académie royale des sciences","cb344401790"
"Mémoires de l'Académie des sciences","cb344027481"
"Libération","cb32806584q"
"Les Petits gars ","cb328386665"
"Le Vieux Saint Maur ","cb343715982"
"Le Vengeur ","cb328872912"
"Le Travailleur de Seine et","cb32880213k"
"Le Provincial ","cb328453435"
"Le Moniteur des pianistes ","cb328191538"
"Le Mois littéraire et pittoresque","cb32817762d"
"Le Mercure parisien  ","cb328143888"
"Le Lutin ","cb32809780m"
"Le Cap incomparable d'Antibes","cb32737217f"
"La Vie du Parti ","cb361385171"
"La Côte d'Armor ","cb327494259"
"L'Illustration algérienne","cb327884503"
"L'Européen ","cb327713231"
"L'Egyptienne ","cb32765607c"
"L'Éclaireur ","cb327638183"
"L'Ami des arts ","cb32691292t"
"Journal des dessins piqués pour la broderie","cb327995488"
"Journal de la Société contre l'abus du tabac","cb32798243g"
"Foyer magazine ","cb327769754"
"Die Somme Wacht ","cb43614799x"
"Cahiers de l'animation ","cb34482436v"
"Bulletin trimestriel ","cb439041580"
"Bulletin paroissial ","cb427444972"
"Bulletin paroissial ","cb427493959"
"Bulletin officiel   Automobile","cb34437813g"
"Bulletin du Comité national de l'organisation française ","cb34416821f"
"Bulletin du Comité de l'art chrétien ","cb34459761z"
"Bulletin des jugemens du Tribunal de cassation rendus en matière civile","cb344885415"
"Bulletin des Facultés catholiques de Lyon","cb34353981h"
"Bulletin archéologique et historique de la Société archéologique de Tarn et","cb34430001k"
"Annuaire statistique de la France ","cb34349577d"
"Annuaire de la Société d'histoire sundgovienne  ","cb32696582j"
"Achats et ventes","cb326813472"
"Statistique des grèves et des recours à la conciliation et à l'arbitrage survenus pendant l'année ","cb32872718z"
"Revue générale de droit international public ","cb34378576f"
"Revue des questions coloniales et maritimes ","cb32858753h"
"Revue de la jeunesse ","cb32857609h"
"New York tribune","cb32823464h"
"Mémoires de l'Académie des sciences","cb32813132v"
"Les Écrits nouveaux ","cb32764964s"
"Les Annales algériennes ","cb32693379c"
"Le Vingtième artistique et littéraire","cb32890176d"
"Le Réveil des cuisiniers et pâtissiers ","cb32854425g"
"Le Glaneur littéraire","cb32782721w"
"Le Droit maritime français","cb327590393"
"Le Bulletin PLM ","cb327326040"
"La Revue des journaux et des livres ","cb32858582j"
"La Gerbe ","cb32782092g"
"La Gazette du Vésinet ","cb32781174k"
"L'Université catholique ","cb32885655t"
"L'Union littéraire des poètes et des prosateurs ","cb34429289b"
"L'Imagerie d'art ","cb327887591"
"L'Illustré de l'Est","cb32788572p"
"L'Écho des patronages de Provins","cb32761722k"
"L'Avant garde ","cb327076277"
"L'Ambulance ","cb34457768w"
"Indo revue","cb327909633"
"Écho de la littérature et des beaux arts en France et à l'étranger","cb32760459v"
"Défense de la France ","cb34419180r"
"Bulletin paroissial ","cb42747550d"
"Bulletin paroissial ","cb427481945"
"Bulletin paroissial ","cb42772360k"
"Bulletin de la Société historique de Compiègne","cb34364468c"
"Bulletin de la Société centrale de médecine vétérinaire","cb37583593s"
"Bulletin de la Société belfortaine d'émulation","cb34363031p"
"Bulletin de la Société archéologique du Midi de la France","cb32723569b"
"Bulletin de la Chambre de commerce de Chalon sur","cb327220880"
"Bulletin de l'Amicale des mutilés du département d'Alger","cb32718873d"
"Bulletin archéologique du Comité des travaux historiques et scientifiques","cb327170958"
"Bulletin ","cb34395336b"
"Annales de la Société d'histoire et d'archéologie de l'arrondissement de Saint Malo ","cb343878480"
"A Corsica ","cb32749278b"
"Revue contemporaine ","cb32856688d"
"Néo ","cb32822813g"
"Mercure ","cb328142958"
"Mémorial de jurisprudence commerciale et maritime","cb32813816j"
"Mélanges d'archéologie et d'histoire ","cb328129695"
"Lumen ","cb328095895"
"Les Sports de l'Est ","cb375881978"
"Le Trait d'union des travailleurs du livre ","cb32879432c"
"Le Supplément illustré de la Revue hebdomadaire ","cb390971891"
"Le Démocrate du Loiret ","cb327553018"
"Le Cri Cri ","cb32752196h"
"Le Citoyen ","cb327430174"
"Le Cidre ","cb32742140p"
"La Revue méridionale ","cb32860719m"
"La Pâtisserie française illustrée ","cb343639404"
"La Paix ","cb32831373x"
"La Grisette ","cb327840710"
"La Gazette du palais ","cb343631340"
"La France municipale ","cb32778002x"
"La Feuille du village ","cb327747037"
"L'Ouvrier du bâtiment ","cb328307775"
"L'Océanie française ","cb32828039d"
"L'Ennemi des oppresseurs de tous les tems","cb450932787"
"L'Écho salonais ","cb32763126s"
"L'Echo des communes ","cb34422478j"
"L'Écho de Châtel ","cb32759909n"
"L'Avenir de l'Est","cb32708239c"
"L'Art libre  ","cb32702619d"
"L'Année scientifique et industrielle ","cb326950838"
"L'Ami du peuple ","cb32691556s"
"L'Alliance internationale","cb343873478"
"L'Action syndicale ","cb326823208"
"Journal officiel de l'Indo Chine française","cb32802048h"
"Journal des haras ","cb42444446n"
"Bulletin paroissial ","cb36137733k"
"Bulletin paroissial ","cb42746635j"
"Bulletin paroissial ","cb427793650"
"Bulletin mensuel   Société française de prophylaxie sanitaire et morale ","cb344249939"
"Bulletin des matières grasses","cb343781510"
"Bulletin de Notre Dame de Maylis ","cb42771721j"
"Bulletin de la Société zoologique d'acclimatation","cb345084433"
"Bulletin de la Section départementale de la Seine ","cb32875043z"
"Bulletin de la Commission des antiquités de la Seine  Maritime","cb37583599v"
"Archives italiennes de biologie","cb32701467g"
"Annales du commerce ","cb326943877"
"Annales de médecine ","cb34378114s"
"Affiches des Trois Évêchés ","cb32683240v"
"A l'air libre ","cb34442774d"
"Revue des vins et liqueurs et des produits alimentaires pour l'exportation","cb410434488"
"Revue des loyers et des fermages","cb343630728"
"Revue de synthèse ","cb34414150m"
"Revue de Lille ","cb32857845x"
"Revue de l'art français ancien et moderne","cb344130205"
"Revue clinique médico chirurgicale ","cb32856608x"
"Revue artistique ","cb328563668"
"Répertoire des travaux de la Société de statistique de Marseille","cb34427589p"
"Recueil ","cb32869487f"
"Portraits de femmes ","cb32841450r"
"Les Chansons illustrées","cb42075827n"
"Les Cahiers de l'échiquier français ","cb32735354f"
"Le Volontaire ","cb328921161"
"Le Train de plaisir ","cb32878858x"
"Le Traducteur ","cb43514729k"
"Le Rayon de soleil laïque ","cb32848692x"
"Le Nouvelliste des concerts ","cb32827089q"
"Le Messager ","cb34438549w"
"Le Grelot ","cb32783936q"
"Le Flambeau d'Annam ","cb32775731q"
"Le Droit monarchique ","cb32759043b"
"Le Domaine ","cb32758475t"
"La Raison","cb328476455"
"La Mode du jour ","cb328174690"
"La Mélodie ","cb32813029p"
"La France littéraire ","cb32777921f"
"La Femme coloniale ","cb327739982"
"La Démocratie charollaise","cb32896127n"
"La Chronique amusante ","cb327414977"
"L'Esprit sportif ","cb32769158v"
"L'Ami du bon agriculteur de l'Ouest ","cb32691465g"
"Juventud","cb328030133"
"Journal hebdomadaire des contributions indirectes","cb32801415d"
"Journal des machines à coudre et vélocipèdes","cb32800002q"
"Heures claires des femmes françaises","cb344021936"
"Gesetzblatt für Elsass Lothringen","cb345430470"
"Extrait de la correspondance de la Maréchaussée de l'Isle de","cb327724288"
"Die Frau als Kämpferin ","cb32778582s"
"Compte définitif des recettes et des dépenses du Service local ","cb344370676"
"Comic finance","cb32744850d"
"Bulletin paroissial ","cb423921795"
"Bulletin paroissial ","cb42746588v"
"Bulletin paroissial ","cb42772170b"
"Bulletin officiel du Commissariat de la République française pour l'Annam","cb32732374b"
"Bulletin de la Société historique de Suresnes","cb344295775"
"Bulletin de la Société archéologique du Finistère","cb34368111j"
"Bulletin de l'Office d'information des oeuvres de secours aux prisonniers de guerre","cb32721275z"
"Bulletin de correspondance hellénique","cb343482958"
"Bulletin   Union Faulconnier ","cb343772662"
"Bulletin   Société des amis du Vieux Chambéry ","cb34397858h"
"Belle jeunesse ","cb327110338"
"Annuaire historique du département de l'Yonne ","cb326981400"
"Amitié et nature ","cb344427732"
"Ambassades et consulats ","cb32690680p"
"Al muik al","cb458325361"
"Unser Landsturm im Hennegau","cb436147450"
"Tout et tout","cb32878577c"
"The Nice gazette ","cb328236402"
"Revue pratique de droit français ","cb32861214r"
"Revue internationale de sociologie ","cb328602375"
"Revue générale de botanique ","cb343495077"
"Revue celtique ","cb34418441f"
"Phare de l'Est","cb32839044f"
"Paramé journal ","cb328320302"
"Mémoires de la Société historique et archéologique de l'arrondissement de Pontoise et du Vexin","cb34427056b"
"Lou Gal ","cb32841653b"
"Liste de MM","cb34536107j"
"Lice chansonnière ","cb34508403v"
"Les Parisiennes","cb32833196h"
"Le Pierrot ","cb32839773z"
"Le Nouvel organe ","cb328260199"
"Le Défi ","cb32754928q"
"Le Courrier commercial ","cb32750078t"
"Le Cétéiste ","cb34416009c"
"Le Billard français ","cb327126784"
"La Revue vinicole internationale ","cb34349235n"
"La Revue occidentale","cb32860965b"
"La République","cb32852826f"
"La Mutualité nouvelle ","cb328215184"
"L'Ordre naturel ","cb328297952"
"L'Éveil de l'A","cb32771524x"
"L'Écho du commerce ou Guide universel ","cb32762087g"
"Journal des chasseurs ","cb327993539"
"Journal de politique et de littérature  ","cb344724208"
"Gil Blas illustré","cb34429834q"
"Diogène ","cb32757647w"
"Deutsche Freiheit ","cb32756557p"
"Compte définitif des recettes et des dépenses du budget local ","cb41270064n"
"Bulletins de la Société dauphinoise d'ethnologie et d'anthropologie  ","cb32734280g"
"Bulletin paroissial ","cb42744487r"
"Bulletin paroissial ","cb42778394b"
"Bulletin paroissial ","cb42748543c"
"Bulletin paroissial ","cb42778888s"
"Bulletin de la Société Les Amis des sciences et arts ","cb32724690p"
"Bulletin de la Société d'étude des sciences naturelles de la Haute Marne","cb34428903g"
"Bulletin de l'Institut Pasteur ","cb343487542"
"Budget des recettes et des dépenses de l'exercice","cb34437066v"
"Aujourd'hui ","cb32706768v"
"Archives de l'Institut Pasteur de Tunis","cb327012599"
"Annuaire Mathieu de la Drôme ","cb32698307q"
"Annales de l'Université de Grenoble","cb34398218v"
"Affaires étrangères ","cb32682976j"
"Revue générale des sciences pures et appliquées","cb343784049"
"Revue de l'histoire de Versailles et de Seine et","cb34442726j"
"Recueil de l'Association des amis du vieux Havre  ","cb344266422"
"Recueil agronomique ","cb328491578"
"Noir et blanc ","cb32823917c"
"Mémoires de la Société de l'histoire de Paris et de l'Ile de","cb32813297q"
"Les Petits gars ","cb32838665t"
"Les Ardennes françaises ","cb32701734b"
"Le Véloceman ","cb328871986"
"Le Vélo algérien et tunisien ","cb328871715"
"Le Robinson des bois ","cb32862382r"
"Le Petit semeur ","cb32837463b"
"Le Nouvelliste de La Fère","cb32827032r"
"Le Journal des chasseurs ","cb32799356b"
"Le Jeune ouvrier ","cb327958751"
"Le Cabinet historique ","cb327349138"
"Le Billard moderne","cb32712680p"
"La Semaine religieuse du diocèse de Meaux ","cb32867077j"
"La Question du jour ","cb32846653j"
"La Libre parole de l'île de La Réunion ","cb32807066n"
"L'Ouvrier mineur ","cb328308287"
"L'Étude académique ","cb32770741t"
"L'Echo des sports nord africains","cb328961478"
"L'Écho des écoles ","cb32761480x"
"L'Écho de Jemmapes ","cb32760007h"
"L'Auxiliaire des postes ","cb32707523k"
"L'Algérie musicale","cb32685488w"
"L'Agent dramatique du Midi ","cb326841117"
"Jurisprudence de la Cour royale de Lyon","cb32802860k"
"Journal des faillites et des liquidations judiciaires françaises et étrangères ","cb327996863"
"Journal des beaux arts ","cb391783647"
"Journal de l'anatomie et de la physiologie normales et pathologiques de l'homme et des animaux","cb34378291h"
"Germinal ","cb327821933"
"France d'abord ","cb345193151"
"Feuille d'affiches","cb327743452"
"Entretien ","cb45186482q"
"Encyclopédie populaire  ","cb32767003t"
"Critique socialiste","cb34349428x"
"Bulletin paroissial ","cb427437729"
"Bulletin paroissial ","cb42743799b"
"Bulletin paroissial ","cb42746536m"
"Bulletin paroissial ","cb427793561"
"Bulletin du Secrétariat du gouvernement de la Cochinchine","cb32727796r"
"Bulletin de la Société de géographie de Lyon","cb34447912m"
"Bordeaux étudiant ","cb344005678"
"Bibliotheque britannique","cb327122619"
"Archives historiques de la Saintonge et de l'Aunis ","cb32701443g"
"Tú Dàn tap chí","cb32882191k"
"Travaux de l'Académie impériale de Reims","cb34398529b"
"Supplément au Journal universel de Toulouse","cb32874000f"
"Science","cb34420757x"
"Revue des sociétés savantes de la France et de l'étranger ","cb32858835v"
"Revue de la marine marchande ","cb328576321"
"Projet de budget des recettes et des dépenses","cb34437068j"
"Musée français anglais ","cb328209734"
"Mémoires de la Société éduenne ","cb34410760m"
"Mémoires de la Société des sciences et lettres de Loir et","cb344401101"
"Mémoires de la Société des antiquaires du Centre","cb343872846"
"Mémoires de l'Institut national de France ","cb39235283v"
"Les Sports modernes ","cb32872168v"
"Les Patrons favoris","cb457367320"
"Le Succès automobile","cb328735206"
"Le Semeur de Nanterre ","cb32867300s"
"Le Petit populaire du Tonkin","cb32837218z"
"Le Petit libéral du dimanche ","cb32836730z"
"Le Français moderne ","cb34348639w"
"Le Foyer Moulinois ","cb32776980q"
"Le Bon citoyen de Malakoff ","cb32714515f"
"La Voix ouvrière ","cb34425016m"
"La Mandoline","cb32811251x"
"La Jeunesse militaire ","cb327963151"
"La Côte Ouest de Madagascar ","cb327496564"
"L'Union démocratique du Rhône et du Sud Est ","cb32883389t"
"L'Observateur hollandois ou premiere ","cb328278381"
"Journal général des théâtres ","cb32801384z"
"Journal des chasseurs ","cb32799352z"
"Gazette du bâtiment ","cb32781009v"
"Dunkerque l'été ","cb32759227n"
"Dai Viet tap chi","cb32753871b"
"Cyclette revue ","cb344592816"
"Cri Cri ","cb328961160"
"Bulletin financier et économique de l'Indochine","cb32728837r"
"Bulletin et mémoires de la Société archéologique et historique de la Charente","cb391213666"
"Bulletin de la Société gersoise des études locales dans l'enseignement public","cb32724593f"
"Bulletin de la Société d'études historiques et géographiques de la région parisienne","cb327238784"
"Bulletin de la Société d'études d'Avallon","cb34426508m"
"Bulletin de l'Ordre de l'Étoile d'Orient","cb327213308"
"Budget du service local pour l'exercice","cb420576600"
"Budget des recettes et des dépenses de l'exercice","cb412715241"
"Association des surintendantes d'usines et de services sociaux","cb43750608j"
"Annales de la Société des sciences naturelles de la Charente Maritime","cb326940177"
"Annales de droit commercial français","cb326934936"
"Alger soir","cb32685398x"
"Affiches patriotiques du département des Deux Sèvres ","cb43847739r"
"Houa kong tsa tche","cb32787575g"
"Vouloir ","cb32892448g"
"Transversalités ","cb36141400j"
"The Cannes advertiser ","cb327370961"
"Syndicalisme chrétien ","cb328745402"
"Rapport général présenté ","cb42580552w"
"Procès verbaux des séances de l'année ","cb43648913h"
"Mémoires de la Société des antiquaires de Picardie ","cb32813317h"
"Mémoires de l'Académie nationale des sciences","cb34438671b"
"Mémoires ","cb34438647g"
"Les Petits gars de la Lys","cb32838673f"
"Les Petits gars de Flandre ","cb328386723"
"Le Vélo ","cb32887170t"
"Le Socialiste de la Manche ","cb32868966m"
"Le Rhin ","cb328618074"
"Le Réveil républicain socialiste","cb45309558j"
"Le Mot d'ordre ","cb36140714t"
"Le Moniteur hôtelier ","cb32819452r"
"Le Journal des pâtissiers biscuitiers","cb442990263"
"Le Canard déchaîné ","cb327369681"
"La Tribune dramatique ","cb32881231r"
"La Propriété ","cb32844911z"
"La France intérieure","cb32777855g"
"La France active ","cb327773255"
"La Défense des victimes de la guerre ","cb327546920"
"L'Indicateur du notariat","cb32790600c"
"L'Européen ","cb327713262"
"L'Echo de Gambetta cyclo touriste ","cb45715343w"
"L'Algérie illustrée ","cb326854746"
"Journal de voyages ","cb43685478t"
"Journal de Mâcon ","cb32798433q"
"Journal de commerce ","cb32797331h"
"Journal d'Aix les","cb327968309"
"Feuille hebdomadaire de la généralité de Limoges","cb32774716k"
"Dunkerque l'hiver ","cb327592280"
"Compte définitif des recettes et des dépenses de l'exercice","cb344348592"
"Circulaires du Secrétariat général ","cb327053613"
"Bulletin périodique de la presse portugaise","cb327327257"
"Bulletin paroissial ","cb42742543x"
"Bulletin paroissial ","cb42744002f"
"Bulletin paroissial ","cb427466524"
"Bulletin paroissial ","cb42743649h"
"Bulletin paroissial ","cb42748068b"
"Bulletin paroissial ","cb427466702"
"Bulletin paroissial ","cb42749419g"
"Bulletin paroissial ","cb42779440x"
"Bulletin officiel du Ministère de l'éducation nationale ","cb34529169m"
"Bulletin mensuel   Banque de France ","cb361346149"
"Bulletin de la Société des antiquaires de Normandie","cb345348597"
"Bulletin de la Société de géographie de Rochefort","cb344456218"
"Bulletin de la Société centrale d'horticulture de l'Yonne","cb327236479"
"Bulletin de la Société archéologique de Tarn et","cb344300069"
"Bulletin de l'Association professionnelle des sténographes français ","cb32720467n"
"Bulletin bi mensuel des Loges de la région parisienne ","cb43832095w"
"Bibliothèque ancienne et moderne ","cb327122541"
"Annales du doyenné de Pontailler sur","cb42778752h"
"Annales des contributions indirectes et des octrois","cb32694226r"
"Sports d'hiver ","cb32872066w"
"Scharfschützen Warte","cb43614871t"
"Revue technique des industries du cuir ","cb32861557v"
"Revue internationale du travail","cb34470464d"
"Revue des jeunes poètes ","cb344292869"
"Revue de l'enseignement des sciences","cb32857306n"
"Revue belge ","cb32856413z"
"Rapports au Conseil de gouvernement","cb32783212s"
"Paris musical et dramatique ","cb328327211"
"Notre étoile ","cb32825148x"
"Mémoires de l'Académie de médecine ","cb34428663h"
"Les Saisons ","cb32864381w"
"Les Primaires ","cb435912848"
"Le Sappel","cb34379846k"
"Le Progrès du Var ","cb32844225q"
"Le Petit Mascareen","cb32836816p"
"Le Petit Douarneniste ","cb328361905"
"Le Petit bulletin","cb32835801d"
"Le Courrier de l'étudiant ","cb32750372k"
"Le Concours des muses ","cb32746639t"
"Le Bien du terrien ","cb32712436n"
"La Voix des femmes ","cb32891185m"
"La Vendée historique ","cb328872347"
"La Revue des tribunaux ","cb328589056"
"La Radio africaine et la T","cb32847313q"
"La Musette ","cb32821052x"
"La Grand'goule ","cb32783492t"
"L'Union catholique des Basses Pyrénées ","cb32883151k"
"L'Écho de la Sorbonne ","cb32760677b"
"L'Avenir républicain de Brive ","cb32708980r"
"L'Avant garde de la banlieue Rive","cb32707680p"
