"title","ark"
"Le Courrier du Maroc","cb32751276x"
"Le Petit colon algérien","cb328359935"
"Le Petit républicain de l'Aube ","cb328373543"
"L'Écho des sports ","cb327618267"
"L'Aquitaine ","cb34400560v"
"Journal général de l'Algérie et de la Tunisie ","cb450221219"
"L'Avenir de la Mayenne ","cb345228048"
"L'Indépendant du Cher ","cb32789788v"
"La Bourgogne républicaine  ","cb32715503p"
"Echo de Sélestat","cb32761155w"
"Le Ménestrel ","cb344939836"
"Journal officiel de la République française","cb34363182v"
"Journal de Beaune ","cb327971329"
"Le Tell ","cb32876600k"
"Le Midi ","cb32815741z"
"Le Petit courrier de Bar sur","cb328360661"
"Le Yacht ","cb34411139c"
"Gazette du Languedoc","cb32781090j"
"Le Public ","cb32845548f"
"La Dépêche d'Eure et","cb32755942h"
"Journal de Roanne ","cb32798781d"
"Journal officiel de la Guyane française","cb32802075d"
"Le Spectateur ","cb344022041"
"L'Union libérale ","cb32884267g"
"La Vérité ","cb32887582x"
"L'Aurore ","cb34371852k"
"Le Morvan républicain","cb32820185x"
"La Démocratie du Cher ","cb34400507d"
"Le Vélo ","cb32887169m"
"La Gazette provençale ","cb327814883"
"La Dépêche algérienne ","cb32755912k"
"L'Aube ","cb327065925"
"Strassburger neue Zeitung  ","cb32873085d"
"La Vigie algérienne","cb328896595"
"Journal de Montélimar et de l'arrondissement","cb327985826"
"Le Courrier","cb327499590"
"Le Petit Nord ","cb32837080t"
"Le Peuple ","cb328387773"
"Unterländer Kurier ","cb32886381s"
"La Politique coloniale ","cb32840893w"
"L'Informateur de Seine ","cb32791513p"
"Le Temps ","cb32876687g"
"Le Petit Marocain","cb344696449"
"La France ","cb32777293c"
"Journal politique et littéraire de Toulouse et de la Haute Garonne ","cb32802237d"
"Le Nouvelliste de Bretagne ","cb32826997k"
"Le Journal du Maroc","cb32800981b"
"Le Moniteur de la Martinique ","cb344185573"
"Gazette du commerce  ","cb32781047d"
"Revue de viticulture ","cb32858093t"
"Le Mobacher","cb32817397z"
"La France chevaline ","cb32777480k"
"Gazette des étrangers ","cb32780811c"
"L'Écho saintongeais ","cb32763125f"
"Journal de Saint Denis ","cb32798821t"
"Petit matin","cb328368218"
"Le Corsaire ","cb34448436g"
"Le Commerce ","cb32745361x"
"Freie Presse ","cb42485891n"
"Le Progrès ","cb32843710t"
"Al 'Saadat¨ ","cb32863837j"
"Il Pensiero di Nizza ","cb328349870"
"L'Echo de France ","cb32759978g"
"Journal officiel de Madagascar et dépendances","cb34425284n"
"L'Auvergnat de Paris ","cb32707389z"
"Le Petit Africain ","cb32835429p"
"Courrier de Tlemcen","cb32750814s"
"Le Journal de Shanghai ","cb327989155"
"L'Abeille de Fontainebleau ","cb32680641k"
"Journal officiel de la Martinique ","cb34418558f"
"Le Réveil de Mascara","cb32854208b"
"Le Courrier des spectacles","cb327510949"
"Le Radical de Marseille","cb32847191z"
"Le Progrès de Sétif ","cb328441034"
"La Presse libre ","cb32842626p"
"Bonsoir  ","cb327149773"
"L'École et la vie ","cb327643942"
"Le Petit Bourguignon ","cb32896389r"
"La Revue hebdomadaire ","cb34350607j"
"Le Grand national ","cb327835776"
"La Croix de l'Aube ","cb32753010x"
"Le Peuple ","cb32838755s"
"Le Nouvelliste de Bellac ","cb32826992v"
"L'Express républicain de Saône et","cb32772388v"
"L'Impartial ","cb327888866"
"Le Réveil du Cantal ","cb344254339"
"Archives israélites de France ","cb327014664"
"En avant ","cb34493109k"
"Le Bien public ","cb34528438x"
"Le Phare d'Alexandrie","cb328390104"
"Les Annales coloniales ","cb32693410p"
"Le Petit fanal ","cb32836359k"
"L'Ami du peuple ","cb326915721"
"Thúc Nghiêp Dân","cb32877449m"
"Le Petit Clermontois ","cb32835983v"
"Hagenauer Zeitung","cb344460555"
"Le Figaro ","cb344484501"
"L'Assemblée nationale ","cb32703350z"
"Le Dépêche d'Indochine","cb32755945j"
"Bulletin des annonces légales obligatoires à la charge des sociétés financières  ","cb34427997d"
"Colmarer neueste Nachrichten","cb344400938"
"Journal de Confolens ","cb32797341t"
"Journal de l'Empire ","cb32797692j"
"The Daily messenger ","cb32753899q"
"La Tribune de Madagascar et dépendances ","cb328810180"
"L'Indépendant de Seine et","cb32789706p"
"La Démocratie algérienne ","cb32755419m"
"L'Écho annamite ","cb327595938"
"Gazette de France ","cb41265434t"
"L'Avenir des Hautes Pyrénées","cb32708594b"
"Journal de Fourmies ","cb327974266"
"Le Journal de Paris ","cb327986814"
"La Clef du cabinet des souverains ","cb32743377t"
"L'Hermine ","cb32786492j"
"L'Indépendant de Mascara ","cb32789662w"
"L'Avenir républicain ","cb32708977v"
"Le Génie civil ","cb34348662d"
"La Civilisation ","cb32743108f"
"La Champagne ","cb32739848v"
"Le Journal amusant ","cb327966940"
"Le Jour ","cb32796617j"
"L'École émancipée ","cb34360662w"
"Gazette du Midi ","cb32781107f"
"Le Quotidien ","cb32846929h"
"Le Mémorial ","cb32813769v"
"Le Supplément ","cb32873886z"
"Trung hoa nhat bao","cb328821233"
"L'Univers israélite  ","cb344300007"
"Gebweiler Kreisblatt ","cb32896215x"
"La Gazette d'Annonay ","cb32780169r"
"L'Écho du Sahara","cb32762505p"
"Le Populaire d'Indochine","cb328412192"
"Ce soir ","cb32738400h"
"L'Observateur français ","cb32827828q"
"Le Sport ","cb328718467"
"Le Monde illustré ","cb32818319d"
"La Dépêche de l'Aube ","cb327559686"
"Le Témoignage ","cb32876618n"
"Le Libertaire ","cb34447276x"
"La Croix de l'Aveyron ","cb32753012m"
"La Revue politique et littéraire ","cb32861147f"
"Riom journal ","cb32862011d"
"Le Réveil du Nord ","cb344247556"
"Le Drapeau blanc ","cb327588450"
"Le Courrier de Bourges ","cb327502086"
"Le Journal des transports ","cb328005112"
"La Dépêche oranaise ","cb32756124m"
"Le Tintamarre ","cb32877684p"
"Le Madécasse ","cb328104904"
"Le Parti ouvrier ","cb32833469f"
"Le Moniteur parisien ","cb328195432"
"L'Argus ","cb34348230p"
"Le Radical de l'Allier ","cb32847160p"
"Journal de Guebwiller ","cb41947606d"
"Le Ralliement ","cb32847751c"
"La Tafna ","cb32875625p"
"Le Républicain sud oranais ","cb32852788q"
"Dien Tin","cb32757297b"
"Le Journal du soir ","cb328011356"
"La Dépêche du Puy de","cb32756088k"
"Le Nouvelliste ","cb32826965z"
"Weltbote","cb43614924k"
"Le Cri du peuple ","cb32752488q"
"Feuille de Provins ","cb32774629n"
"L'Éclaireur de l'Ain ","cb327639427"
"Les Jeunes ","cb344198366"
"L'Éclaireur de l'arrondissement de Coulommiers ","cb32763950v"
"Gazette de Lyon ","cb327805106"
"L'Écho de l'arrondissement de Bar sur","cb327600750"
"Le Clairon ","cb327431371"
"Oran républicain","cb32829423c"
"La Démocratie pacifique ","cb32755585p"
"Le Combat ","cb327444880"
"Le Travailleur socialiste de l'Yonne ","cb32880363d"
"Le Moniteur officiel des établissements français dans l'Inde ","cb32819526g"
"L'Avenir d'Arcachon ","cb327080521"
"Le National ","cb32822285p"
"Rouge Midi ","cb328629785"
"Gazette du Bas Languedoc ","cb32781005g"
"Journal officiel de l'île de La Réunion","cb32802046t"
"La Semaine religieuse du diocèse d'Alby","cb328670468"
"Le Réveil bônois","cb328538093"
"Journal de Ruffec ","cb327988105"
"Le Ralliement ","cb328477203"
"Paris Dakar ","cb34503400m"
"Le Journal des brasseurs","cb327992938"
"Le Voleur illustré ","cb32892001q"
"Le Réveil de Sétif ","cb328543105"
"L'Industriel de Saint Germain","cb32791263d"
"L'Avenir de Tlemcen ","cb327085187"
"La Fronde ","cb327788531"
"L'Écho de la montagne ","cb34520116v"
"La Croix de la Charente","cb327530327"
"Journal des dames et des modes","cb32799510k"
"Le Globe ","cb327828335"
"La Réforme ","cb32850005s"
"L'Étoile ","cb32770151g"
"L'Espérance ","cb32768861f"
"L'Union nationale ","cb32884372b"
"La Croix de Saintonge et d'Aunis ","cb327531106"
"Lisette ","cb32808162s"
"Les Ailes ","cb326846379"
"L'Émancipateur ","cb32766316r"
"Le Zeramna ","cb32895007h"
"The Paris Times ","cb32833013q"
"L'Indépendant de Mostaganem ","cb32789668z"
"Le Réveil de l'Aisne ","cb32854011p"
"Le Petit Havre ","cb32836500g"
"L'Industriel alsacien ","cb32791266f"
"Bulletin quotidien de la Chambre de commerce ","cb32732906h"
"La France ","cb411796707"
"Le Nouvelliste d'Alsace ","cb34422391g"
"Journal officiel des Etablissements français de l'Océanie ","cb328021223"
"Recueil des actes administratifs de la Préfecture du département de la Seine","cb34413006m"
"Le Glaneur ","cb34399769c"
"Journal des finances ","cb343487991"
"La Petite Bourgogne ","cb328377248"
"Gazette ","cb32780022t"
"Affiches de Strasbourg ","cb326832280"
"Le Journal de Madagascar ","cb327984342"
"Le Réveil blayais ","cb32853808r"
"Le Libéral","cb32806487g"
"La Croix des Alpes et de Provence","cb427648231"
"La Croix du littoral ","cb32753180c"
"L'Aéro ","cb32682874k"
"La Patrie créole ","cb328338028"
"Bulletin religieux de l'archidiocèse de Rouen","cb32732967q"
"Combat ","cb34501455d"
"Petit Tlemcenien","cb32837604c"
"Annonces","cb32695181v"
"Le Progrès de la Marne ","cb32844021s"
"Courrier des hôtels et Guide du commerce réunis ","cb32751020r"
"Courrier du Berry ","cb410619802"
"Journal de la Manche et de la Basse Normandie ","cb32798129n"
"L'Avenir de Seine et","cb32708499s"
"Le Progrès de Bel Abbès ","cb328438808"
"Journal des débats et des décrets","cb327995159"
"L'Appel au peuple ","cb32700348p"
"Journal des hommes libres de tous les pays","cb450927295"
"Le Petit Kabyle ","cb32836696m"
"Le Franc tireur ","cb32777201w"
"Les Courses ","cb32751806d"
"Libération ","cb32806572q"
