annee,mois,jour,total_n
1998,1,1,28126
1998,1,2,28866
1998,1,3,25077
1998,1,5,32387
1998,1,6,34250
1998,1,7,34298
1998,1,8,38654
1998,1,9,36476
1998,1,10,34731
1998,1,12,44945
1998,1,13,37942
1998,1,14,34550
1998,1,15,39415
1998,1,16,35110
1998,1,17,31761
1998,1,19,35479
1998,1,20,36056
1998,1,21,36095
1998,1,22,37546
1998,1,23,36844
1998,1,24,34483
1998,1,26,38867
1998,1,27,43626
1998,1,28,35241
1998,1,29,42553
1998,1,30,36249
1998,1,31,31636
1998,2,2,32453
1998,2,3,35211
1998,2,4,33026
1998,2,5,42215
1998,2,6,42126
1998,2,7,33804
1998,2,9,38062
1998,2,10,39234
1998,2,11,33505
1998,2,12,42339
1998,2,13,36030
1998,2,14,33173
1998,2,16,34998
1998,2,17,38929
1998,2,18,35076
1998,2,19,40427
1998,2,20,34691
1998,2,21,32353
1998,2,23,33125
1998,2,24,39111
1998,2,25,35551
1998,2,26,37112
1998,2,27,36335
1998,2,28,33816
1998,3,2,38348
1998,3,3,35816
1998,3,4,34448
1998,3,5,37668
1998,3,6,40848
1998,3,7,40323
1998,3,9,37528
1998,3,10,36762
1998,3,11,37796
1998,3,12,43023
1998,3,13,37137
1998,3,14,27973
1998,3,16,29765
1998,3,17,36194
1998,3,18,34156
1998,3,19,53337
1998,3,20,32744
1998,3,21,32701
1998,3,23,38803
1998,3,24,37149
1998,3,25,38928
1998,3,26,43291
1998,3,27,37136
1998,3,28,35778
1998,3,30,37892
1998,3,31,40390
1998,4,1,31169
1998,4,2,41692
1998,4,3,39209
1998,4,5,32390
1998,4,6,39535
1998,4,7,35239
1998,4,8,41711
1998,4,9,32919
1998,4,10,29816
1998,4,12,26645
1998,4,13,31717
1998,4,14,31482
1998,4,15,554
1998,4,16,35250
1998,4,17,32325
1998,4,18,27825
1998,4,19,983
1998,4,20,32734
1998,4,21,33751
1998,4,22,36069
1998,4,23,35344
1998,4,24,33106
1998,4,25,36182
1998,4,27,35107
1998,4,28,34611
1998,4,29,45297
1998,4,30,46253
1998,5,2,27111
1998,5,4,44333
1998,5,5,35321
1998,5,6,36994
1998,5,7,45175
