"ark","titre"
"cb34529843v","
Acier"
"cb32684431p","
Agriculture nouvelle (L')"
"cb32701198x","
Archives commerciales de la France"
"cb32715244f","
Boucherie (La)"
"cb343781708","
Bulletin de la Société de l'industrie minérale"
"cb32723245h","
Bulletin de la papeterie"
"cb32726649q","
Bulletin des soies et des soieries de Lyon"
"cb327397922","
Bulletin mensuel (Chambre syndicale du commerce et de l'industrie des tissus [...]"
"cb343782351","
Céramique, la verrerie (La)"
"cb34378237q","
Céramique, verrerie, émaillerie"
"cb34417959n","
Cidrerie française (La)"
"cb327500795","
Courrier commercial (Le)"
"cb343782429","
Cuir technique (Le)"
"cb32760446h","
Écho de la librairie (L')"
"cb327605412","
Echo de la parfumerie (L')"
"cb40080437k","
Écho des imprimeurs et des libraires (L')"
"cb34368225h","
Écho des mines et de la métallurgie (L')"
"cb327669392","
Enclume (L')"
"cb42511822k","
Exposition universelle de 1878 illustrée (L')"
"cb32772271v","
Exposition universelle illustrée (L')"
"cb327741565","
Fer (Le)"
"cb327768588","
Fourrure (La) "
"cb34348662d","
Génie civil (Le)"
"cb327819038","
Génie industriel (Le)"
"cb32784764n","
Guide de l'épicier et du commerçant (Le)"
"cb328000737","
Journal des Mines et de la métallurgie"
"cb44509221k","
Journal des chiffons, de l'effilochage et de la papeterie"
"cb32800189w","
Journal des papetiers en gros et en détail, des imprimeurs [...]"
"cb328014560","
Journal illustré des expositions internationales [...]"
"cb328023517","
Journal spécial de la typographie, imprimerie, gravure, fonderie [...]"
"cb32811823b","
Marques internationales (Les)"
"cb32818678r","
Moniteur de l'Exposition universelle de 1867 (Le)"
"cb34542240w","
Moniteur des métaux ouvrés et de la métallurgie en général"
"cb328227523","
Négociant (Le)"
"cb32831811r","
Panthéon de l'industrie (Le)"
"cb328574883","
Revue de la bijouterie, joaillerie, orfèvrerie"
"cb410434488","
Revue des vins et liqueurs et des produits alimentaires pour l'exportation"
"cb32860055j","
Revue illustrée de l'Exposition universelle"
"cb328601387","
Revue industrielle des matières textiles"
"cb32860202h","
Revue internationale de l'étalage "
"cb32860732t","
Revue métallurgique (La)"
"cb32861220p","
Revue pratique de l'électricité"
"cb32885513m","
Universelle exposition de 1889 illustrée… (L')"
