n,annee,mois,jour
28413,1862,1,30
27917,1862,1,31
27051,1862,2,1
25730,1862,2,2
25448,1862,2,3
25274,1862,2,4
24844,1862,2,5
24358,1862,2,6
25489,1862,2,7
25640,1862,2,8
28839,1862,2,9
27833,1862,2,10
22806,1862,2,11
25512,1862,2,12
24128,1862,2,13
25800,1862,2,14
24699,1862,2,15
25185,1862,2,16
25545,1862,2,17
22206,1862,2,18
26016,1862,2,19
26280,1862,2,20
26343,1862,2,21
27353,1862,2,22
24619,1862,2,23
26658,1862,2,24
20584,1862,2,25
25693,1862,2,26
28570,1862,2,27
27553,1862,2,28
24164,1862,3,1
29824,1862,3,2
28209,1862,3,3
25121,1862,3,4
27117,1862,3,5
22524,1862,3,7
26951,1862,3,8
28842,1862,3,10
22980,1862,3,11
23396,1862,3,12
26779,1862,3,13
28938,1862,3,14
26153,1862,3,15
26132,1862,3,16
28220,1862,3,17
24511,1862,3,18
27068,1862,3,19
28668,1862,3,20
29850,1862,3,21
28290,1862,3,22
24575,1862,3,23
23987,1862,3,24
23237,1862,3,25
24443,1862,3,26
24883,1862,3,27
27604,1862,3,28
25878,1862,3,29
21451,1862,3,30
24859,1862,3,31
23795,1862,4,1
25114,1862,4,2
26205,1862,4,3
26894,1862,4,4
28546,1862,4,5
23100,1862,4,6
22055,1862,4,7
23874,1862,4,8
28102,1862,4,9
27916,1862,4,10
27126,1862,4,11
25520,1862,4,12
26596,1862,4,13
26911,1862,4,14
25251,1862,4,15
23391,1862,4,16
25835,1862,4,17
25076,1862,4,18
24844,1862,4,19
21677,1862,4,20
21926,1862,4,21
24013,1862,4,22
25239,1862,4,23
25318,1862,4,24
24838,1862,4,25
25463,1862,4,26
24395,1862,4,27
24323,1862,4,28
22677,1862,4,29
25058,1862,4,30
27466,1862,5,1
26478,1862,5,2
26903,1862,5,3
22917,1862,5,4
27110,1862,5,6
29106,1862,5,8
26397,1862,5,10
27370,1862,5,11
23563,1862,5,12
24226,1862,5,13
24728,1862,5,14
24973,1862,5,15
24996,1862,5,16
23582,1862,5,17
25185,1862,5,18
23698,1862,5,19
25729,1862,5,20
26462,1862,5,21
25227,1862,5,22
26029,1862,5,23
25120,1862,5,24
26186,1862,5,25
26159,1862,5,26
25565,1862,5,27
23463,1862,5,28
24297,1862,5,29
20506,1862,5,30
20307,1862,5,31
23430,1862,6,1
22535,1862,6,2
24916,1862,6,3
25094,1862,6,4
26433,1862,6,5
23777,1862,6,6
25874,1862,6,7
27162,1862,6,8
23017,1862,6,9
25585,1862,6,10
23895,1862,6,11
26307,1862,6,12
25513,1862,6,13
25635,1862,6,14
25027,1862,6,15
24907,1862,6,16
25568,1862,6,17
