n,annee,mois
9522,2004,12
511,2005,4
1107,2005,5
652,2005,6
763,2005,7
1445,2005,8
10562,2005,9
41487,2005,10
49473,2005,11
61203,2005,12
143877,2006,1
1548486,2006,2
1398840,2006,3
1362752,2006,4
1514607,2006,5
1548520,2006,6
1210882,2006,7
1052918,2006,8
1440928,2006,9
1514067,2006,10
1552883,2006,11
1417604,2006,12
1716490,2007,1
1449074,2007,2
1945844,2007,3
1860641,2007,4
2431128,2007,5
2305434,2007,6
1845689,2007,7
2046240,2007,8
3097438,2007,9
2875516,2007,10
2760090,2007,11
2272221,2007,12
2620139,2008,1
2764897,2008,2
2766049,2008,3
2675666,2008,4
2627465,2008,5
2737874,2008,6
2398973,2008,7
2457033,2008,8
2694671,2008,9
3204114,2008,10
2957376,2008,11
2646476,2008,12
3209723,2009,1
3019759,2009,2
3311657,2009,3
3211594,2009,4
2961924,2009,5
3244373,2009,6
2867559,2009,7
2408997,2009,8
2893404,2009,9
3101144,2009,10
2923176,2009,11
2968701,2009,12
3433112,2010,1
3403253,2010,2
3608280,2010,3
3468241,2010,4
3115778,2010,5
3194992,2010,6
2827958,2010,7
2666075,2010,8
3039888,2010,9
3133948,2010,10
3094130,2010,11
2865208,2010,12
3248887,2011,1
2955091,2011,2
3526146,2011,3
2989319,2011,4
3344396,2011,5
3064935,2011,6
2995290,2011,7
2717621,2011,8
3247786,2011,9
3280194,2011,10
3250566,2011,11
2814251,2011,12
3237434,2012,1
2965891,2012,2
3370551,2012,3
3163696,2012,4
3201005,2012,5
3190019,2012,6
2933954,2012,7
2526451,2012,8
2905481,2012,9
3317852,2012,10
3134973,2012,11
2816430,2012,12
3061584,2013,1
3028330,2013,2
3099219,2013,3
3142897,2013,4
3063287,2013,5
2990779,2013,6
2738398,2013,7
2531096,2013,8
2963965,2013,9
3218556,2013,10
3073977,2013,11
2802455,2013,12
3058879,2014,1
2903860,2014,2
3219849,2014,3
3143320,2014,4
2979965,2014,5
3122666,2014,6
3067797,2014,7
2686072,2014,8
3146456,2014,9
3390113,2014,10
3240060,2014,11
3176163,2014,12
3380216,2015,1
3120867,2015,2
3492014,2015,3
3222611,2015,4
3198054,2015,5
3440054,2015,6
2916144,2015,7
2700596,2015,8
3419559,2015,9
3276047,2015,10
3165229,2015,11
2940328,2015,12
3174321,2016,1
3286513,2016,2
3347966,2016,3
3277024,2016,4
3285395,2016,5
3562908,2016,6
2968838,2016,7
2990338,2016,8
3496175,2016,9
3412888,2016,10
3552976,2016,11
3202436,2016,12
3484297,2017,1
3104916,2017,2
3696045,2017,3
3279331,2017,4
3502700,2017,5
3550347,2017,6
3147199,2017,7
2858690,2017,8
3300721,2017,9
3572268,2017,10
3447755,2017,11
3065453,2017,12
3525148,2018,1
3306542,2018,2
3618321,2018,3
3326916,2018,4
3502394,2018,5
3750181,2018,6
3462084,2018,7
2865623,2018,8
3497969,2018,9
3798153,2018,10
3670571,2018,11
3114554,2018,12
3762525,2019,1
3654538,2019,2
4011713,2019,3
3801709,2019,4
3893970,2019,5
3711648,2019,6
3312267,2019,7
2683799,2019,8
3706621,2019,9
3844990,2019,10
3546230,2019,11
3108581,2019,12
3605636,2020,1
3381110,2020,2
3585169,2020,3
3512005,2020,4
3519763,2020,5
3680667,2020,6
3456938,2020,7
2780273,2020,8
3867093,2020,9
3988136,2020,10
3950180,2020,11
3690728,2020,12
3682208,2021,1
3409422,2021,2
3950391,2021,3
3736961,2021,4
3667640,2021,5
3852447,2021,6
3384266,2021,7
2837013,2021,8
3807895,2021,9
3951858,2021,10
3804390,2021,11
3457728,2021,12
3838479,2022,1
3722852,2022,2
4096719,2022,3
3667149,2022,4
3744553,2022,5
3684975,2022,6
3278198,2022,7
2990174,2022,8
3802944,2022,9
3723905,2022,10
3631150,2022,11
3269065,2022,12
3641020,2023,1
3625664,2023,2
4004464,2023,3
3444632,2023,4
3697932,2023,5
3703662,2023,6
3100666,2023,7
2940769,2023,8
3690539,2023,9
3790194,2023,10
3666253,2023,11
3323388,2023,12
3760765,2024,1
3695958,2024,2
