Nom_commune,Code_postal
meslay du maine,53
metz,57
meudon,92
meymac,19
meyrueis,48
miramas,13
miribel les echelles,38
moissac,82
monaco,98
mons,17
mons,16
mons,30
mons,31
mons,34
mons,83
mons,63
mont bernanchon,62
mont de marsan,40
montaigu,39
montaigu,2
montargis,45
montauban,82
montbard,21
montbeliard,25
montbrison,42
montceau les mines,71
montdidier,57
montdidier,80
montelimar,26
montendre,17
montereau,45
montevrain,77
monthois,8
montlucon,3
montmedy,55
montpellier,34
montreal,89
montreal,11
montreal,7
montreal,32
montreuil,93
montreuil,62
montreuil,85
montreuil,28
montreux,54
montrouge,92
morlaix,29
mortagne,88
mouchan,32
moulins,3
moulins,35
moulins,2
moutiers,73
moutiers,28
moutiers,35
moutiers,54
mulhausen,67
mulhouse,68
munster,68
munster,57
nancy,54
nanterre,92
nantes,44
nantua,1
narbonne,11
naves,3
naves,19
naves,81
naves,59
nerondes,18
neufchateau,88
neuilly,58
neuilly,27
neuilly sur seine,92
nevers,58
nice,6
niederbronn les bains,67
nimes,30
niort,79
noeux les mines,62
nogent sur marne,94
nogent sur seine,10
noisy le sec,93
noumea,98
noyon,60
orange,84
orchies,59
orleans,45
orly,94
orsay,91
orthez,64
oulchy le chateau,2
oullins,69
oyonnax,1
pacy sur eure,27
paimboeuf,44
pamiers,9
pantin,93
papeete,98
paray le monial,71
paris,75
parthenay,79
pau,64
perigueux,24
peronne,71
peronne,80
perpignan,66
petit couronne,76
phalempin,59
phalsbourg,57
pierrefitte,79
pierrefitte,23
pierrefitte,88
pierrefitte,19
pierrelatte,26
pierrelaye,95
pissos,40
pithiviers,45
pointe a pitre,97
poissy,78
poitiers,86
poligny,5
poligny,10
poligny,77
poligny,39
pont a mousson,54
pontarlier,25
pontivy,56
pontoise,95
pontorson,50
pornic,44
port louis,56
port louis,97
pougues les eaux,58
preuilly,18
privas,7
provins,77
puteaux,92
puy guillaume,63
quemper guezennec,22
quiberon,56
quimper,29
quimperle,29
rambervillers,88
rambouillet,78
rauzan,33
reims,51
remiremont,88
rennes,35
rethel,8
ribeauville,2
ribeauville,68
riom,63
riquewihr,68
rive de gier,42
rixheim,68
roanne,42
roche la moliere,42
rochechouart,87
rochecorbon,37
rochefort,73
rochefort,17
rocroi,8
rodez,12
roissy en france,95
romans,1
romans,79
romans sur isere,26
roubaix,59
rouen,76
royan,17
royat,63
rueil malmaison,92
ruffec,16
ruffec,36
ruoms,7
sable sur sarthe,72
saintes,17
salernes,83
salies,81
salon de provence,13
samois sur seine,77
samoreau,77
sarreguemines,57
sarrogna,39
saumur,49
sauveterre de guyenne,33
saverne,67
savigny,69
savigny,50
savigny,52
savigny,74
savigny,88
sceaux,92
scrignac,29
sedan,8
seez,73
selestat,67
semur en auxois,21
senlis,62
senlis,60
sens,89
servaville salmonville,76
sete,34
sevres,92
seyssel,74
seyssel,1
sillery,51
sin le noble,59
sisteron,4
soissons,2
sotteville les rouen,76
souillac,46
st etienne,42
st gaudens,31
st germain,10
st germain,70
st germain,86
st germain,7
st germain,54
st jean de maurienne,73
st maixent,72
st roch,37
st victoret,13
stenay,55
strasbourg,67
suisse,57
suresnes,92
tarare,69
tarascon sur ariege,9
tarbes,65
tazilly,58
thann,68
thiers,63
thiviers,24
thonon les bains,74
thouars,79
tilly sur seulles,14
tonneins,47
tonnerre,89
toul,54
toulon,83
toulouse,31
tourcoing,59
tournon,73
tournus,71
tours,37
trans en provence,83
trevou treguignec,22
trevoux,1
trouville sur mer,14
troyes,10
truchtersheim,67
tulle,19
ussel,19
ussel,15
ussel,46
uzes,30
valence,82
valence,26
valence,16
valenciennes,59
vallauris,6
valognes,50
valreas,84
vals,9
vannes,56
vanves,92
vence,6
vendome,41
venise,25
verdun,9
verdun,55
verneuil,16
verneuil,51
verneuil,18
verneuil,58
vernon,7
vernon,27
vernon,86
vernou sur brenne,37
versailles,78
vervins,2
vesoul,70
vichy,3
vienne,38
vierzon,18
villedieu,15
villedieu,21
villedieu,84
villefranche,32
villefranche de rouergue,12
villefranche sur saone,69
villejuif,94
villeneuve de berg,7
villeneuve sur lot,47
villers cotterets,2
villers le lac,25
villerupt,54
villeurbanne,69
villiers le bel,95
vincennes,94
vire,71
viry,39
viry,71
viry,74
vitry le francois,51
vitry sur seine,94
voiron,38
vouvray,37
vouziers,8
wasquehal,59
wassy,52
wintzenheim,68
yssingeaux,43
