"ark","titre"
"cb32684109p","
Agent dramatique (L') : bulletin de Paris, des départemens et de l'étranger"
"cb32684110w","
Agent dramatique (L') : journal de publicité théâtrale hebdomadaire"
"cb32701844x","
Argus (L') "
"cb32702630x","
Art lyrique de Lyon (L')"
"cb32702632m","
Art lyrique et le Music-hall (L')"
"cb327026438","
Art musical (L')"
"cb32702956f","
Artistica (Marseille)"
"cb32706166h","
Athénée comique ( L')"
"cb32707778d","
Avant-scène (L')"
"cb32714630m","
Bon répertoire (Le)"
"cb32715822s","
Bravo"
"cb327161076","
Brise du soir (La)"
"cb32735061w","
Café-concert (Le) "
"cb327378680","
Casino (Le) "
"cb327382557","
Causerie (La)"
"cb34427442r","
Chat noir (Le)"
"cb32743262h","
Claque (La)"
"cb32743741x","
Cluny (Le)"
"cb327447686","
Comédie (La)"
"cb32744787g","
Comédie humaine (La)"
"cb32745939d","
Comoedia"
"cb32749002j","
Correspondance théâtrale (La) "
"cb327493627","
Costume au théâtre et à la ville (Le) "
"cb344484563","
Coulisses (Les)"
"cb327499381","
Coureur des spectacles (Le)"
"cb327567577","
Deutsche Wegleiter für Paris (Der)"
"cb327570655","
Diable boiteux (Le) : journal des spectacles, des moeurs et de la littérature "
"cb32757066h","
Diable boiteux (Le) : journal des théâtres littéraire et illustré paraissant le dimanche"
"cb32757415q","
Dilettante (Le)"
"cb32757459b","
Dimanche (Le)"
"cb32761858v","
Écho des théâtres (L')"
"cb32761911g","
Écho des trouvères (L') "
"cb32761986c","
Echo du boulevard (L')"
"cb32762586h","
Écho du théâtre (L') "
"cb327628014","
Écho lyrique (L')"
"cb32763212c","
Écho théâtral de Roubaix (L')"
"cb32763670n","
Éclair (L') "
"cb327668958","
En scène"
"cb32767513h","
Entr'acte (L') : revue-programme : théâtre, littérature, arts"
"cb32767465g","
Entr'acte... (L')"
"cb32767471d","
Entracte (L') : gazette populaire des théâtres d'Angers, Saumur et Cholet "
"cb327675214","
Entracte du gastronome (L')"
"cb32769869f","
Éteignoir (L')"
"cb32771216g","
Europe-artiste (L')"
"cb32771718j","
Éventail (L')"
"cb32773164j","
Fantasia-Programme"
"cb32775186b","
Figaro du théâtre (Le) "
"cb32776174k","
Folies-Bergère (Les)"
"cb32776890r","
Foyer (Le) "
"cb327768944","
Foyer (Le) : journal du théâtre"
"cb32777069z","
Franc-juge (Le)"
"cb327781831","
France théâtrale (La) "
"cb32779092z","
Funambules programme "
