n,annee
2962,1701
81585,1704
889,1711
26291,1713
536,1714
42881,1715
27333,1719
23122,1722
27640,1725
38336,1726
64856,1727
728,1732
15701,1734
17029,1740
801,1741
722,1743
14822,1746
11754,1747
255894,1748
3892,1749
91630,1751
136708,1753
116,1754
360,1756
12770,1757
8020,1758
7308,1759
82938,1760
534,1761
21252,1762
20155,1763
53660,1764
1842,1765
8387,1766
7409,1767
16377,1768
8449,1771
2758,1772
666,1773
7794,1777
11146,1780
2969,1781
67827,1782
2331,1784
30152,1785
6235,1786
27524,1787
103123,1788
15159,1789
207919,1790
1218,1791
1911,1792
20834,1794
19380,1795
36179,1796
72765,1797
44967,1798
5749,1799
2727,1800
120050,1802
2092,1805
32281,1806
113608,1807
7850,1808
224,1810
40408,1812
14201,1813
4977,1814
25962,1815
27151,1816
480,1817
80775,1818
3690,1819
39788,1820
12867,1821
2870,1822
84375,1823
48415,1824
1226,1825
45790,1826
10107,1827
14698,1828
61668,1829
23303,1830
40016,1831
165757,1832
89161,1833
103550,1834
78347,1835
65753,1836
36715,1837
700845,1838
383224,1839
170251,1840
157613,1841
99183,1842
256263,1843
337124,1844
263450,1845
86044,1846
108165,1847
139723,1848
63265,1849
134915,1850
26549,1851
324341,1852
548234,1853
90417,1854
145738,1855
187838,1856
237065,1857
299571,1858
239112,1859
159590,1860
238143,1861
264661,1862
248156,1863
226754,1864
184562,1865
116904,1866
48161,1867
278104,1868
271280,1869
214609,1870
214514,1871
110616,1872
337348,1873
398375,1874
353766,1875
308487,1876
247175,1877
168547,1878
444565,1879
475119,1880
209439,1881
158396,1882
307334,1883
235041,1884
294824,1885
77708,1886
231185,1887
94010,1888
183946,1889
303922,1890
126607,1891
311321,1892
285539,1893
206317,1894
256524,1895
284585,1896
405070,1897
181600,1898
329020,1899
187061,1900
356184,1901
192430,1902
299058,1903
369210,1904
611896,1905
213459,1906
436088,1907
510545,1908
293416,1909
200532,1910
450376,1911
369305,1912
382467,1913
162272,1914
154011,1915
281587,1916
143276,1917
88470,1918
817038,1919
309558,1920
552796,1921
799235,1922
591934,1923
718836,1924
972283,1925
836176,1926
799918,1927
1164281,1928
1035491,1929
1180949,1930
1273271,1931
1285984,1932
1181206,1933
1162034,1934
1177913,1935
1853664,1936
1433083,1937
959067,1938
1466184,1939
914062,1940
790109,1941
611596,1942
1066396,1943
798038,1944
1534953,1945
1043444,1946
1463135,1947
1521224,1948
1775970,1949
1953048,1950
2437243,1951
2510117,1952
2038505,1953
1666725,1954
1660548,1955
1855947,1956
2318962,1957
2031208,1958
2196902,1959
2966897,1960
2400427,1961
2538376,1962
2872521,1963
2625468,1964
2341134,1965
3659007,1966
3546477,1967
4142482,1968
4138432,1969
4274837,1970
4185902,1971
4404298,1972
5025461,1973
5523960,1974
5528487,1975
5933743,1976
6913050,1977
7624214,1978
7963304,1979
8220606,1980
9442825,1981
9913243,1982
9786939,1983
10655454,1984
10979714,1985
12342764,1986
11984401,1987
14695867,1988
15850844,1989
16905055,1990
15498597,1991
18440433,1992
18532036,1993
20676690,1994
23058515,1995
23503380,1996
24653066,1997
29012152,1998
28180574,1999
28841606,2000
32067776,2001
34934664,2002
38043100,2003
39163355,2004
45305550,2005
50601015,2006
55249374,2007
58631156,2008
74581251,2009
84761850,2010
104791648,2011
117815869,2012
135190967,2013
134950864,2014
119701637,2015
74920491,2016
65183435,2017
60882564,2018
59931926,2019
48748435,2020
47937345,2021
31154837,2022
16091729,2023
6224995,2024
45649,2025
