"date","is_quotidien","n"
"1781","Quotidien",729
"1782","Autre périodicité",155
"1782","Quotidien",519
"1783","Autre périodicité",115
"1783","Quotidien",711
"1784","Autre périodicité",84
"1784","Quotidien",511
"1785","Autre périodicité",108
"1785","Quotidien",520
"1786","Autre périodicité",140
"1786","Quotidien",518
"1787","Autre périodicité",195
"1787","Quotidien",529
"1788","Autre périodicité",161
"1788","Quotidien",650
"1789","Autre périodicité",716
"1789","Quotidien",1751
"1790","Autre périodicité",531
"1790","Quotidien",3937
"1791","Autre périodicité",936
"1791","Quotidien",5222
"1792","Autre périodicité",687
"1792","Quotidien",4044
"1793","Autre périodicité",760
"1793","Quotidien",3460
"1794","Autre périodicité",795
"1794","Quotidien",3067
"1795","Autre périodicité",555
"1795","Quotidien",2036
"1796","Autre périodicité",1043
"1796","Quotidien",2523
"1797","Autre périodicité",677
"1797","Quotidien",3350
"1798","Autre périodicité",382
"1798","Quotidien",2736
"1799","Autre périodicité",510
"1799","Quotidien",2359
"1800","Autre périodicité",549
"1800","Quotidien",1742
"1801","Autre périodicité",261
"1801","Quotidien",1768
"1802","Autre périodicité",320
"1802","Quotidien",2455
"1803","Autre périodicité",273
"1803","Quotidien",2196
"1804","Autre périodicité",434
"1804","Quotidien",2280
"1805","Autre périodicité",282
"1805","Quotidien",2088
"1806","Autre périodicité",258
"1806","Quotidien",2114
"1807","Autre périodicité",440
"1807","Quotidien",2048
"1808","Autre périodicité",396
"1808","Quotidien",1828
"1809","Autre périodicité",337
"1809","Quotidien",2180
"1810","Autre périodicité",276
"1810","Quotidien",1938
"1811","Autre périodicité",240
"1811","Quotidien",1989
"1812","Autre périodicité",264
"1812","Quotidien",1926
"1813","Autre périodicité",310
"1813","Quotidien",2002
"1814","Autre périodicité",542
"1814","Quotidien",2101
"1815","Autre périodicité",536
"1815","Quotidien",2180
"1816","Autre périodicité",453
"1816","Quotidien",2670
"1817","Autre périodicité",267
"1817","Quotidien",2821
"1818","Autre périodicité",471
"1818","Quotidien",2848
"1819","Autre périodicité",760
"1819","Quotidien",3064
"1820","Autre périodicité",773
"1820","Quotidien",3305
"1821","Autre périodicité",477
"1821","Quotidien",4133
"1822","Autre périodicité",593
"1822","Quotidien",4565
"1823","Autre périodicité",894
"1823","Quotidien",4104
"1824","Autre périodicité",912
"1824","Quotidien",3907
"1825","Autre périodicité",404
"1825","Quotidien",4007
"1826","Autre périodicité",1129
"1826","Quotidien",4325
"1827","Autre périodicité",762
"1827","Quotidien",3887
"1828","Autre périodicité",907
"1828","Quotidien",4619
"1829","Autre périodicité",1128
"1829","Quotidien",5099
"1830","Autre périodicité",1153
"1830","Quotidien",5200
"1831","Autre périodicité",916
"1831","Quotidien",4666
"1832","Autre périodicité",515
"1832","Quotidien",4935
"1833","Autre périodicité",1027
"1833","Quotidien",5604
"1834","Autre périodicité",782
"1834","Quotidien",5744
"1835","Autre périodicité",1056
"1835","Quotidien",5840
"1836","Autre périodicité",1122
"1836","Quotidien",6322
"1837","Autre périodicité",872
"1837","Quotidien",7403
"1838","Autre périodicité",977
"1838","Quotidien",6790
"1839","Autre périodicité",1013
"1839","Quotidien",6188
"1840","Autre périodicité",897
"1840","Quotidien",6011
"1841","Autre périodicité",1034
"1841","Quotidien",6374
"1842","Autre périodicité",881
"1842","Quotidien",6331
