"date","rights","n"
"1780","document sous droits",4
"1781","document libre de droits",416
"1782","document libre de droits",397
"1782","document sous droits",5
"1783","document libre de droits",404
"1784","document libre de droits",443
"1784","document sous droits",4
"1785","document libre de droits",448
"1785","document sous droits",3
"1786","document libre de droits",413
"1786","document sous droits",9
"1787","document libre de droits",534
"1787","document sous droits",30
"1788","document libre de droits",484
"1788","document sous droits",142
"1789","document libre de droits",847
"1789","document sous droits",672
"1790","document libre de droits",984
"1790","document sous droits",664
"1791","document libre de droits",662
"1791","document sous droits",495
"1792","document libre de droits",597
"1792","document sous droits",327
"1793","document libre de droits",944
"1793","document sous droits",235
"1794","document libre de droits",600
"1794","document sous droits",194
"1795","document libre de droits",422
"1795","document sous droits",179
"1796","document libre de droits",370
"1796","document sous droits",130
"1797","document libre de droits",653
"1797","document sous droits",206
"1798","document libre de droits",624
"1798","document sous droits",170
"1799","document libre de droits",558
"1799","document sous droits",210
"1800","document libre de droits",484
"1800","document sous droits",27
"1801","document libre de droits",591
"1801","document sous droits",16
"1802","document libre de droits",687
"1802","document sous droits",15
"1803","document libre de droits",652
"1803","document sous droits",4
"1804","document libre de droits",583
"1805","document libre de droits",452
"1805","document sous droits",1
"1806","document libre de droits",517
"1806","document sous droits",2
"1807","document libre de droits",445
"1807","document sous droits",2
"1808","document libre de droits",416
"1808","document sous droits",3
"1809","document libre de droits",313
"1810","document libre de droits",506
"1810","document sous droits",2
"1811","document libre de droits",595
"1812","document libre de droits",594
"1813","document libre de droits",563
"1814","document libre de droits",966
"1814","document sous droits",2
"1815","document libre de droits",1225
"1815","document sous droits",3
"1816","document libre de droits",1013
"1817","document libre de droits",1008
"1817","document sous droits",5
"1818","document libre de droits",1169
"1818","document sous droits",6
"1819","document libre de droits",1061
"1819","document sous droits",3
"1820","document libre de droits",1256
"1820","document sous droits",7
"1821","document libre de droits",1518
"1821","document sous droits",3
"1822","document libre de droits",1218
"1822","document sous droits",2
"1823","document libre de droits",1247
"1823","document sous droits",1
"1824","document libre de droits",1535
"1824","document sous droits",9
"1825","document libre de droits",1497
"1825","document sous droits",4
"1826","document libre de droits",1409
"1826","document sous droits",2
"1827","document libre de droits",1329
"1827","document sous droits",1
"1828","document libre de droits",1461
"1829","document libre de droits",1591
"1829","document sous droits",1
"1830","document libre de droits",1783
"1831","document libre de droits",1467
"1831","document sous droits",1
"1832","document libre de droits",1400
"1832","document sous droits",4
"1833","document libre de droits",1391
"1833","document sous droits",1
"1834","document libre de droits",1481
"1834","document sous droits",5
"1835","document libre de droits",1314
"1836","document libre de droits",1382
"1836","document sous droits",3
"1837","document libre de droits",1374
"1838","document libre de droits",1629
"1838","document sous droits",1
"1839","document libre de droits",1650
"1840","document libre de droits",1685
"1841","document libre de droits",1741
"1842","document libre de droits",1879
"1843","document libre de droits",1680
"1843","document sous droits",2
"1844","document libre de droits",1828
"1844","document sous droits",3
"1845","document libre de droits",1895
"1845","document sous droits",1
"1846","document libre de droits",1721
"1846","document sous droits",1
"1847","document libre de droits",1827
"1847","document sous droits",23
"1848","document libre de droits",2648
"1849","document libre de droits",1846
"1849","document sous droits",1
"1850","document libre de droits",1942
"1851","document libre de droits",1901
"1852","document libre de droits",1955
"1852","document sous droits",1
"1853","document libre de droits",2448
"1853","document sous droits",1
"1854","document libre de droits",2464
"1854","document sous droits",1
"1855","document libre de droits",2207
"1855","document sous droits",1
"1856","document libre de droits",2367
"1857","document libre de droits",2294
"1858","document libre de droits",2405
"1859","document libre de droits",2478
"1860","document libre de droits",2822
"1861","document libre de droits",2831
"1862","document libre de droits",2823
"1863","document libre de droits",2814
"1863","document sous droits",1
"1864","document libre de droits",2675
"1865","document libre de droits",3002
"1866","document libre de droits",3110
"1867","document libre de droits",3285
"1867","document sous droits",1
"1868","document libre de droits",3161
"1868","document sous droits",2
"1869","document libre de droits",3145
"1870","document libre de droits",2642
"1871","document libre de droits",2802
"1872","document libre de droits",3156
"1872","document sous droits",2
"1873","document libre de droits",2821
"1874","document libre de droits",2973
"1875","document libre de droits",3233
"1875","document sous droits",25
"1876","document libre de droits",3157
"1876","document sous droits",1
"1877","document libre de droits",3250
"1878","document libre de droits",2978
"1879","document libre de droits",3115
"1879","document sous droits",7
"1880","document libre de droits",3187
"1881","document libre de droits",3014
"1881","document sous droits",2
"1882","document libre de droits",2758
"1882","document sous droits",2
"1883","document libre de droits",2953
"1883","document sous droits",1
"1884","document libre de droits",2953
"1884","document sous droits",5
"1885","document libre de droits",2875
"1885","document sous droits",2
"1886","document libre de droits",2924
"1887","document libre de droits",2732
"1887","document sous droits",3
"1888","document libre de droits",2977
"1888","document sous droits",3
"1889","document libre de droits",3139
"1889","document sous droits",3
"1890","document libre de droits",2855
"1890","document sous droits",20
"1891","document libre de droits",2680
"1891","document sous droits",1
"1892","document libre de droits",2686
"1892","document sous droits",1
"1893","document libre de droits",2527
"1893","document sous droits",2
"1894","document libre de droits",2822
"1894","document sous droits",1
"1895","document libre de droits",2546
"1895","document sous droits",4
