"ark","titre"
"cb32708262w","
Avenir de l'Ouest (L')"
"cb32752828z","
Croisade française (La)"
"cb327821217","
Gerbe du Maine (La)"
"cb32834073t","
Patriote du dimanche (Le)"
"cb32835048v","
Perche illustré (Le)"
"cb328476397","
Raison (La)"
"cb328612660","
Revue-programme (La)"
