"date","base"
"2004",84
"2005",423
"2006",39425
"2007",80771
"2008",127899
"2009",159342
"2010",179649
"2011",173275
"2012",170808
"2013",160434
"2014",138657
"2015",130884
"2016",126664
"2017",123529
"2018",123774
"2019",127576
"2020",111596
"2021",104147
"2022",90994
