"date","principales_sources","n"
"1759","Bibliothèque nationale de France",47
"1760","Autre",3
"1760","Bibliothèque nationale de France",180
"1761","Autre",4
"1761","Bibliothèque nationale de France",149
"1762","Autre",3
"1762","Bibliothèque nationale de France",209
"1763","Autre",2
"1763","Bibliothèque nationale de France",435
"1764","Autre",3
"1764","Bibliothèque nationale de France",336
"1765","Autre",4
"1765","Bibliothèque nationale de France",389
"1766","Autre",4
"1766","Bibliothèque nationale de France",360
"1767","Autre",3
"1767","Bibliothèque nationale de France",348
"1768","Autre",4
"1768","Bibliothèque nationale de France",346
"1769","Autre",6
"1769","Bibliothèque nationale de France",345
"1770","Autre",4
"1770","Bibliothèque nationale de France",404
"1771","Autre",5
"1771","Bibliothèque nationale de France",407
"1772","Autre",5
"1772","Bibliothèque nationale de France",298
"1773","Autre",71
"1773","Bibliothèque nationale de France",420
"1774","Autre",66
"1774","Bibliothèque nationale de France",594
"1775","Autre",102
"1775","Bibliothèque nationale de France",529
"1776","Autre",70
"1776","Bibliothèque nationale de France",410
"1777","Autre",61
"1777","Bibliothèque nationale de France",834
"1778","Autre",62
"1778","Bibliothèque nationale de France",842
"1779","Autre",59
"1779","Bibliothèque nationale de France",884
"1780","Autre",62
"1780","Bibliothèque nationale de France",768
"1781","Autre",62
"1781","Bibliothèque nationale de France",808
"1782","Autre",14
"1782","Bibliothèque nationale de France",635
"1783","Autre",12
"1783","Bibliothèque nationale de France",791
"1784","Autre",13
"1784","Bibliothèque nationale de France",570
"1785","Autre",14
"1785","Bibliothèque nationale de France",599
"1786","Autre",12
"1786","Bibliothèque Carré d'art / Nîmes",1
"1786","Bibliothèque nationale de France",621
"1787","Autre",12
"1787","Bibliothèque Carré d'art / Nîmes",1
"1787","Bibliothèque nationale de France",658
"1788","Autre",11
"1788","Bibliothèque Carré d'art / Nîmes",1
"1788","Bibliothèque nationale de France",782
"1789","Autre",17
"1789","Bibliothèque Carré d'art / Nîmes",1
"1789","Bibliothèque nationale de France",2420
"1790","Autre",16
"1790","Bibliothèque Carré d'art / Nîmes",2
"1790","Bibliothèque nationale de France",4405
"1791","Autre",62
"1791","Bibliothèque nationale de France",5974
"1792","Autre",9
"1792","Bibliothèque nationale de France",4682
"1793","Autre",26
"1793","Bibliothèque nationale de France",4174
"1794","Autre",34
"1794","Bibliothèque nationale de France",3668
"1794","Bibliothèque nationale et universitaire de Strasbourg",1
"1795","Autre",3
"1795","Bibliothèque nationale de France",2574
"1796","Autre",3
"1796","Bibliothèque nationale de France",3541
"1797","Autre",18
"1797","Bibliothèque nationale de France",3978
"1798","Autre",22
"1798","Bibliothèque nationale de France",3053
"1799","Autre",77
"1799","Bibliothèque nationale de France",2683
"1799","Bibliothèque nationale et universitaire de Strasbourg",2
"1800","Autre",36
"1800","Banque de France",1
"1800","Bibliothèque nationale de France",2137
"1800","Bibliothèque nationale et universitaire de Strasbourg",12
"1801","Autre",42
"1801","Banque de France",1
"1801","Bibliothèque nationale de France",1908
"1801","Bibliothèque nationale et universitaire de Strasbourg",4
"1802","Autre",47
"1802","Banque de France",243
"1802","Bibliothèque nationale de France",2408
"1802","Bibliothèque nationale et universitaire de Strasbourg",2
"1803","Autre",44
"1803","Banque de France",307
"1803","Bibliothèque nationale de France",2027
"1803","Bibliothèque nationale et universitaire de Strasbourg",9
"1804","Autre",98
"1804","Banque de France",305
"1804","Bibliothèque nationale de France",2190
"1804","Bibliothèque nationale et universitaire de Strasbourg",3
"1805","Autre",84
"1805","Banque de France",307
"1805","Bibliothèque nationale de France",1888
"1805","Bibliothèque nationale et universitaire de Strasbourg",6
"1806","Autre",89
"1806","Banque de France",307
"1806","Bibliothèque nationale de France",1932
"1807","Autre",102
"1807","Banque de France",310
"1807","Bibliothèque Carré d'art / Nîmes",52
"1807","Bibliothèque nationale de France",1951
"1807","Bibliothèque nationale et universitaire de Strasbourg",2
"1807","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1808","Autre",124
"1808","Banque de France",259
"1808","Bibliothèque Carré d'art / Nîmes",53
"1808","Bibliothèque nationale de France",1718
"1808","Bibliothèque nationale et universitaire de Strasbourg",2
"1809","Autre",121
"1809","Banque de France",307
"1809","Bibliothèque Carré d'art / Nîmes",53
"1809","Bibliothèque nationale de France",1970
"1810","Autre",138
"1810","Banque de France",307
"1810","Bibliothèque Carré d'art / Nîmes",57
"1810","Bibliothèque nationale de France",1657
"1811","Autre",48
"1811","Banque de France",305
"1811","Bibliothèque Carré d'art / Nîmes",55
"1811","Bibliothèque nationale de France",1770
"1812","Autre",31
"1812","Banque de France",309
