"date","principales_sources","n"
"1878","Bibliothèque et Archives de l'Assemblée nationale",129
"1878","Bibliothèque nationale de France",22565
"1878","Bibliothèque nationale et universitaire de Strasbourg",5
"1878","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",2
"1879","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",338
"1879","Autre",402
"1879","Banque de France",307
"1879","Bibliothèque Carré d'art / Nîmes",384
"1879","Bibliothèque du Ministère des Affaires étrangères",4
"1879","Bibliothèque du Sénat",249
"1879","Bibliothèque et Archives de l'Assemblée nationale",119
"1879","Bibliothèque nationale de France",23613
"1879","Bibliothèque nationale et universitaire de Strasbourg",7
"1879","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",160
"1880","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",346
"1880","Autre",445
"1880","Banque de France",309
"1880","Bibliothèque Carré d'art / Nîmes",413
"1880","Bibliothèque du Ministère des Affaires étrangères",26
"1880","Bibliothèque du Sénat",283
"1880","Bibliothèque et Archives de l'Assemblée nationale",143
"1880","Bibliothèque nationale de France",25718
"1880","Bibliothèque nationale et universitaire de Strasbourg",8
"1880","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",130
"1881","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",334
"1881","Autre",480
"1881","Banque de France",306
"1881","Bibliothèque Carré d'art / Nîmes",410
"1881","Bibliothèque du Ministère des Affaires étrangères",48
"1881","Bibliothèque du Sénat",229
"1881","Bibliothèque et Archives de l'Assemblée nationale",266
"1881","Bibliothèque nationale de France",27305
"1881","Bibliothèque nationale et universitaire de Strasbourg",9
"1881","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",160
"1882","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",658
"1882","Autre",485
"1882","Banque de France",306
"1882","Bibliothèque Carré d'art / Nîmes",418
"1882","Bibliothèque du Ministère des Affaires étrangères",45
"1882","Bibliothèque du Sénat",214
"1882","Bibliothèque et Archives de l'Assemblée nationale",403
"1882","Bibliothèque nationale de France",30880
"1882","Bibliothèque nationale et universitaire de Strasbourg",11
"1882","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",221
"1883","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",659
"1883","Autre",436
"1883","Banque de France",307
"1883","Bibliothèque Carré d'art / Nîmes",417
"1883","Bibliothèque du Ministère des Affaires étrangères",21
"1883","Bibliothèque du Sénat",234
"1883","Bibliothèque et Archives de l'Assemblée nationale",305
"1883","Bibliothèque nationale de France",30152
"1883","Bibliothèque nationale et universitaire de Strasbourg",19
"1883","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",591
"1884","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",686
"1884","Autre",358
"1884","Banque de France",308
"1884","Bibliothèque Carré d'art / Nîmes",415
"1884","Bibliothèque du Ministère des Affaires étrangères",4
"1884","Bibliothèque du Sénat",292
"1884","Bibliothèque et Archives de l'Assemblée nationale",336
"1884","Bibliothèque nationale de France",30581
"1884","Bibliothèque nationale et universitaire de Strasbourg",22
"1884","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",450
"1885","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",400
"1885","Autre",411
"1885","Banque de France",309
"1885","Bibliothèque Carré d'art / Nîmes",412
"1885","Bibliothèque du Ministère des Affaires étrangères",3
"1885","Bibliothèque du Sénat",327
"1885","Bibliothèque et Archives de l'Assemblée nationale",253
"1885","Bibliothèque nationale de France",31368
"1885","Bibliothèque nationale et universitaire de Strasbourg",7
"1885","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",541
"1886","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",385
"1886","Autre",598
"1886","Banque de France",307
"1886","Bibliothèque Carré d'art / Nîmes",427
"1886","Bibliothèque du Ministère des Affaires étrangères",4
"1886","Bibliothèque du Sénat",196
"1886","Bibliothèque et Archives de l'Assemblée nationale",241
"1886","Bibliothèque municipale de Brest",42
"1886","Bibliothèque nationale de France",32090
"1886","Bibliothèque nationale et universitaire de Strasbourg",6
"1886","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",480
"1887","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",436
"1887","Autre",517
"1887","Banque de France",306
"1887","Bibliothèque Carré d'art / Nîmes",261
"1887","Bibliothèque du Ministère des Affaires étrangères",5
"1887","Bibliothèque du Sénat",168
"1887","Bibliothèque et Archives de l'Assemblée nationale",207
"1887","Bibliothèque municipale de Brest",363
"1887","Bibliothèque nationale de France",32922
"1887","Bibliothèque nationale et universitaire de Strasbourg",8
"1887","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",662
"1888","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",392
"1888","Autre",613
"1888","Banque de France",306
"1888","Bibliothèque Carré d'art / Nîmes",61
"1888","Bibliothèque du Ministère des Affaires étrangères",4
"1888","Bibliothèque du Sénat",265
"1888","Bibliothèque et Archives de l'Assemblée nationale",319
"1888","Bibliothèque municipale de Brest",359
"1888","Bibliothèque nationale de France",34290
"1888","Bibliothèque nationale et universitaire de Strasbourg",6
"1888","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",561
"1889","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",401
"1889","Autre",519
"1889","Banque de France",307
"1889","Bibliothèque Carré d'art / Nîmes",66
"1889","Bibliothèque du Ministère des Affaires étrangères",4
"1889","Bibliothèque du Sénat",205
"1889","Bibliothèque et Archives de l'Assemblée nationale",244
"1889","Bibliothèque municipale de Brest",358
"1889","Bibliothèque nationale de France",37192
"1889","Bibliothèque nationale et universitaire de Strasbourg",6
"1889","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",529
"1890","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",399
"1890","Autre",590
"1890","Banque de France",306
"1890","Bibliothèque Carré d'art / Nîmes",49
"1890","Bibliothèque du Ministère des Affaires étrangères",5
"1890","Bibliothèque du Sénat",201
"1890","Bibliothèque et Archives de l'Assemblée nationale",258
"1890","Bibliothèque municipale de Brest",357
"1890","Bibliothèque nationale de France",37130
"1890","Bibliothèque nationale et universitaire de Strasbourg",5
"1890","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",521
"1891","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",435
"1891","Autre",676
"1891","Banque de France",307
"1891","Bibliothèque Carré d'art / Nîmes",37
"1891","Bibliothèque du Ministère des Affaires étrangères",5
"1891","Bibliothèque du Sénat",206
"1891","Bibliothèque et Archives de l'Assemblée nationale",293
"1891","Bibliothèque municipale de Brest",355
"1891","Bibliothèque nationale de France",37509
"1891","Bibliothèque nationale et universitaire de Strasbourg",10
"1891","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",467
"1892","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",484
"1892","Autre",608
"1892","Banque de France",308
"1892","Bibliothèque Carré d'art / Nîmes",42
"1892","Bibliothèque du Ministère des Affaires étrangères",2
"1892","Bibliothèque du Sénat",197
"1892","Bibliothèque et Archives de l'Assemblée nationale",230
"1892","Bibliothèque municipale de Brest",357
"1892","Bibliothèque nationale de France",38613
"1892","Bibliothèque nationale et universitaire de Strasbourg",6
"1892","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",436
"1893","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",495
"1893","Autre",849
"1893","Banque de France",305
"1893","Bibliothèque Carré d'art / Nîmes",30
"1893","Bibliothèque du Ministère des Affaires étrangères",56
"1893","Bibliothèque du Sénat",221
"1893","Bibliothèque et Archives de l'Assemblée nationale",282
"1893","Bibliothèque municipale de Brest",359
"1893","Bibliothèque nationale de France",39481
"1893","Bibliothèque nationale et universitaire de Strasbourg",4
"1893","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",471
"1894","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",518
"1894","Autre",914
"1894","Banque de France",306
"1894","Bibliothèque Carré d'art / Nîmes",78
"1894","Bibliothèque du Ministère des Affaires étrangères",4
"1894","Bibliothèque du Sénat",201
"1894","Bibliothèque et Archives de l'Assemblée nationale",247
"1894","Bibliothèque municipale de Brest",360
"1894","Bibliothèque nationale de France",40509
"1894","Bibliothèque nationale et universitaire de Strasbourg",7
"1894","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",477
"1895","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",523
"1895","Autre",924
"1895","Banque de France",448
"1895","Bibliothèque Carré d'art / Nîmes",89
"1895","Bibliothèque du Ministère des Affaires étrangères",3
"1895","Bibliothèque du Sénat",201
"1895","Bibliothèque et Archives de l'Assemblée nationale",275
"1895","Bibliothèque municipale de Brest",357
"1895","Bibliothèque nationale de France",40929
"1895","Bibliothèque nationale et universitaire de Strasbourg",6
"1895","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",503
"1896","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",450
"1896","Autre",889
"1896","Banque de France",306
"1896","Bibliothèque Carré d'art / Nîmes",65
"1896","Bibliothèque du Ministère des Affaires étrangères",2
"1896","Bibliothèque du Sénat",174
"1896","Bibliothèque et Archives de l'Assemblée nationale",309
"1896","Bibliothèque municipale de Brest",358
"1896","Bibliothèque nationale de France",40833
"1896","Bibliothèque nationale et universitaire de Strasbourg",6
"1896","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",357
"1897","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",387
"1897","Autre",1102
"1897","Banque de France",451
"1897","Bibliothèque Carré d'art / Nîmes",57
"1897","Bibliothèque du Ministère des Affaires étrangères",21
"1897","Bibliothèque du Sénat",214
"1897","Bibliothèque et Archives de l'Assemblée nationale",299
"1897","Bibliothèque municipale de Brest",361
"1897","Bibliothèque nationale de France",40385
"1897","Bibliothèque nationale et universitaire de Strasbourg",8
"1897","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",567
"1898","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",395
"1898","Autre",1102
"1898","Banque de France",451
"1898","Bibliothèque Carré d'art / Nîmes",55
"1898","Bibliothèque du Ministère des Affaires étrangères",22
"1898","Bibliothèque du Sénat",164
"1898","Bibliothèque et Archives de l'Assemblée nationale",244
"1898","Bibliothèque municipale de Brest",360
"1898","Bibliothèque nationale de France",40834
"1898","Bibliothèque nationale et universitaire de Strasbourg",7
"1898","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",552
"1899","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",443
"1899","Autre",1123
"1899","Banque de France",305
"1899","Bibliothèque Carré d'art / Nîmes",58
"1899","Bibliothèque du Ministère des Affaires étrangères",4
"1899","Bibliothèque du Sénat",132
"1899","Bibliothèque et Archives de l'Assemblée nationale",223
"1899","Bibliothèque municipale de Brest",360
"1899","Bibliothèque nationale de France",40528
"1899","Bibliothèque nationale et universitaire de Strasbourg",8
"1899","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",424
"1900","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",425
"1900","Autre",1046
"1900","Banque de France",458
"1900","Bibliothèque Carré d'art / Nîmes",60
"1900","Bibliothèque du Ministère des Affaires étrangères",3
"1900","Bibliothèque du Sénat",160
"1900","Bibliothèque et Archives de l'Assemblée nationale",244
"1900","Bibliothèque municipale de Brest",362
"1900","Bibliothèque nationale de France",40963
"1900","Bibliothèque nationale et universitaire de Strasbourg",45
"1900","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",522
"1901","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",355
"1901","Autre",1035
"1901","Banque de France",304
"1901","Bibliothèque Carré d'art / Nîmes",57
"1901","Bibliothèque du Ministère des Affaires étrangères",3
"1901","Bibliothèque du Sénat",407
"1901","Bibliothèque et Archives de l'Assemblée nationale",225
"1901","Bibliothèque municipale de Brest",364
"1901","Bibliothèque nationale de France",41582
"1901","Bibliothèque nationale et universitaire de Strasbourg",59
"1901","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",415
"1902","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",330
"1902","Autre",1266
"1902","Banque de France",608
"1902","Bibliothèque Carré d'art / Nîmes",62
"1902","Bibliothèque du Ministère des Affaires étrangères",4
"1902","Bibliothèque du Sénat",158
"1902","Bibliothèque et Archives de l'Assemblée nationale",204
"1902","Bibliothèque municipale de Brest",367
"1902","Bibliothèque nationale de France",42273
"1902","Bibliothèque nationale et universitaire de Strasbourg",59
"1902","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",498
"1903","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",327
"1903","Autre",1184
"1903","Banque de France",608
"1903","Bibliothèque Carré d'art / Nîmes",60
"1903","Bibliothèque du Ministère des Affaires étrangères",3
"1903","Bibliothèque du Sénat",191
"1903","Bibliothèque et Archives de l'Assemblée nationale",263
"1903","Bibliothèque municipale de Brest",366
"1903","Bibliothèque nationale de France",42999
"1903","Bibliothèque nationale et universitaire de Strasbourg",59
"1903","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",448
"1904","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",337
"1904","Autre",1186
"1904","Banque de France",509
"1904","Bibliothèque Carré d'art / Nîmes",60
"1904","Bibliothèque du Ministère des Affaires étrangères",4
"1904","Bibliothèque du Sénat",165
"1904","Bibliothèque et Archives de l'Assemblée nationale",265
"1904","Bibliothèque municipale de Brest",366
"1904","Bibliothèque nationale de France",42987
"1904","Bibliothèque nationale et universitaire de Strasbourg",60
"1904","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",516
"1905","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",246
"1905","Autre",1278
"1905","Banque de France",604
"1905","Bibliothèque Carré d'art / Nîmes",59
"1905","Bibliothèque du Ministère des Affaires étrangères",3
"1905","Bibliothèque du Sénat",209
"1905","Bibliothèque et Archives de l'Assemblée nationale",266
"1905","Bibliothèque municipale de Brest",365
"1905","Bibliothèque nationale de France",41335
"1905","Bibliothèque nationale et universitaire de Strasbourg",58
"1905","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",415
"1906","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",322
"1906","Autre",1210
"1906","Banque de France",607
"1906","Bibliothèque Carré d'art / Nîmes",73
"1906","Bibliothèque du Ministère des Affaires étrangères",3
"1906","Bibliothèque du Sénat",159
"1906","Bibliothèque et Archives de l'Assemblée nationale",224
"1906","Bibliothèque municipale de Brest",433
"1906","Bibliothèque nationale de France",41604
"1906","Bibliothèque nationale et universitaire de Strasbourg",60
"1906","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",423
"1907","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",330
"1907","Autre",1267
"1907","Banque de France",303
"1907","Bibliothèque Carré d'art / Nîmes",74
"1907","Bibliothèque du Ministère des Affaires étrangères",3
"1907","Bibliothèque du Sénat",181
"1907","Bibliothèque et Archives de l'Assemblée nationale",247
"1907","Bibliothèque municipale de Brest",365
"1907","Bibliothèque nationale de France",41110
"1907","Bibliothèque nationale et universitaire de Strasbourg",70
"1907","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",361
"1908","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",330
"1908","Autre",1267
"1908","Banque de France",460
"1908","Bibliothèque Carré d'art / Nîmes",71
"1908","Bibliothèque du Ministère des Affaires étrangères",4
"1908","Bibliothèque du Sénat",169
"1908","Bibliothèque et Archives de l'Assemblée nationale",249
"1908","Bibliothèque municipale de Brest",366
"1908","Bibliothèque nationale de France",40012
"1908","Bibliothèque nationale et universitaire de Strasbourg",74
"1908","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",184
"1909","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",334
"1909","Autre",1273
"1909","Banque de France",605
"1909","Bibliothèque Carré d'art / Nîmes",73
"1909","Bibliothèque du Ministère des Affaires étrangères",42
"1909","Bibliothèque du Sénat",175
"1909","Bibliothèque et Archives de l'Assemblée nationale",340
"1909","Bibliothèque municipale de Brest",365
"1909","Bibliothèque nationale de France",37735
"1909","Bibliothèque nationale et universitaire de Strasbourg",62
"1909","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",304
"1910","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",330
"1910","Autre",1313
"1910","Banque de France",604
"1910","Bibliothèque Carré d'art / Nîmes",71
"1910","Bibliothèque du Ministère des Affaires étrangères",3
"1910","Bibliothèque du Sénat",545
"1910","Bibliothèque et Archives de l'Assemblée nationale",240
"1910","Bibliothèque municipale de Brest",364
"1910","Bibliothèque nationale de France",37834
"1910","Bibliothèque nationale et universitaire de Strasbourg",88
"1910","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",484
"1911","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",330
"1911","Autre",1432
"1911","Banque de France",604
"1911","Bibliothèque Carré d'art / Nîmes",58
"1911","Bibliothèque du Ministère des Affaires étrangères",2
"1911","Bibliothèque du Sénat",599
"1911","Bibliothèque et Archives de l'Assemblée nationale",290
"1911","Bibliothèque municipale de Brest",365
"1911","Bibliothèque nationale de France",38374
"1911","Bibliothèque nationale et universitaire de Strasbourg",53
"1911","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",389
"1912","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",175
"1912","Autre",1413
"1912","Banque de France",303
"1912","Bibliothèque Carré d'art / Nîmes",56
"1912","Bibliothèque du Ministère des Affaires étrangères",6
"1912","Bibliothèque du Sénat",634
"1912","Bibliothèque et Archives de l'Assemblée nationale",223
"1912","Bibliothèque municipale de Brest",366
"1912","Bibliothèque nationale de France",39532
"1912","Bibliothèque nationale et universitaire de Strasbourg",45
"1912","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",530
"1913","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",328
"1913","Autre",1541
"1913","Banque de France",451
"1913","Bibliothèque Carré d'art / Nîmes",61
"1913","Bibliothèque du Ministère des Affaires étrangères",4
"1913","Bibliothèque du Sénat",712
"1913","Bibliothèque et Archives de l'Assemblée nationale",268
"1913","Bibliothèque municipale de Brest",558
"1913","Bibliothèque nationale de France",40598
"1913","Bibliothèque nationale et universitaire de Strasbourg",73
"1913","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",243
"1914","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",328
"1914","Autre",2011
"1914","Banque de France",389
"1914","Bibliothèque Carré d'art / Nîmes",56
"1914","Bibliothèque du Ministère des Affaires étrangères",26
"1914","Bibliothèque du Sénat",481
"1914","Bibliothèque et Archives de l'Assemblée nationale",610
"1914","Bibliothèque municipale de Brest",365
"1914","Bibliothèque nationale de France",34845
"1914","Bibliothèque nationale et universitaire de Strasbourg",96
"1914","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",444
"1915","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",317
"1915","Autre",2086
"1915","Banque de France",286
"1915","Bibliothèque Carré d'art / Nîmes",1
"1915","Bibliothèque du Ministère des Affaires étrangères",34
"1915","Bibliothèque du Sénat",263
"1915","Bibliothèque et Archives de l'Assemblée nationale",1350
"1915","Bibliothèque municipale de Brest",555
"1915","Bibliothèque nationale de France",27679
"1915","Bibliothèque nationale et universitaire de Strasbourg",27
"1915","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",440
"1916","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",318
"1916","Autre",2384
"1916","Banque de France",162
"1916","Bibliothèque Carré d'art / Nîmes",1
"1916","Bibliothèque du Ministère des Affaires étrangères",629
"1916","Bibliothèque du Sénat",632
"1916","Bibliothèque et Archives de l'Assemblée nationale",1464
"1916","Bibliothèque municipale de Brest",732
"1916","Bibliothèque nationale de France",29863
"1916","Bibliothèque nationale et universitaire de Strasbourg",9
"1916","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",442
"1917","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",316
"1917","Autre",2411
"1917","Banque de France",282
"1917","Bibliothèque Carré d'art / Nîmes",1
"1917","Bibliothèque du Ministère des Affaires étrangères",742
"1917","Bibliothèque du Sénat",637
"1917","Bibliothèque et Archives de l'Assemblée nationale",1616
"1917","Bibliothèque municipale de Brest",726
"1917","Bibliothèque nationale de France",29916
"1917","Bibliothèque nationale et universitaire de Strasbourg",2
"1917","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",475
"1918","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",316
"1918","Autre",2020
"1918","Banque de France",281
"1918","Bibliothèque Carré d'art / Nîmes",1
"1918","Bibliothèque du Ministère des Affaires étrangères",742
"1918","Bibliothèque du Sénat",534
"1918","Bibliothèque et Archives de l'Assemblée nationale",1612
"1918","Bibliothèque municipale de Brest",364
"1918","Bibliothèque nationale de France",29859
"1918","Bibliothèque nationale et universitaire de Strasbourg",4
"1918","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",370
"1919","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",316
"1919","Autre",1687
"1919","Banque de France",287
"1919","Bibliothèque Carré d'art / Nîmes",98
"1919","Bibliothèque du Ministère des Affaires étrangères",689
"1919","Bibliothèque du Sénat",992
"1919","Bibliothèque et Archives de l'Assemblée nationale",2087
"1919","Bibliothèque municipale de Brest",634
"1919","Bibliothèque nationale de France",32453
"1919","Bibliothèque nationale et universitaire de Strasbourg",61
"1919","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",487
"1920","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",321
"1920","Autre",1647
"1920","Banque de France",274
"1920","Bibliothèque Carré d'art / Nîmes",343
"1920","Bibliothèque du Ministère des Affaires étrangères",653
"1920","Bibliothèque du Sénat",829
"1920","Bibliothèque et Archives de l'Assemblée nationale",273
"1920","Bibliothèque municipale de Brest",365
"1920","Bibliothèque nationale de France",32726
"1920","Bibliothèque nationale et universitaire de Strasbourg",72
"1920","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",529
"1921","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",317
"1921","Autre",1862
"1921","Banque de France",276
"1921","Bibliothèque Carré d'art / Nîmes",320
"1921","Bibliothèque du Ministère des Affaires étrangères",635
"1921","Bibliothèque du Sénat",1135
"1921","Bibliothèque et Archives de l'Assemblée nationale",280
"1921","Bibliothèque municipale de Brest",365
"1921","Bibliothèque nationale de France",33902
"1921","Bibliothèque nationale et universitaire de Strasbourg",183
"1921","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",452
"1922","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",316
"1922","Autre",1676
"1922","Banque de France",275
"1922","Bibliothèque Carré d'art / Nîmes",140
"1922","Bibliothèque du Ministère des Affaires étrangères",613
"1922","Bibliothèque du Sénat",1036
"1922","Bibliothèque et Archives de l'Assemblée nationale",272
"1922","Bibliothèque municipale de Brest",368
"1922","Bibliothèque nationale de France",33966
"1922","Bibliothèque nationale et universitaire de Strasbourg",215
"1922","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",426
"1923","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",316
"1923","Autre",1639
"1923","Banque de France",276
"1923","Bibliothèque Carré d'art / Nîmes",43
"1923","Bibliothèque du Ministère des Affaires étrangères",594
"1923","Bibliothèque du Sénat",1107
"1923","Bibliothèque et Archives de l'Assemblée nationale",260
"1923","Bibliothèque municipale de Brest",417
"1923","Bibliothèque nationale de France",35444
"1923","Bibliothèque nationale et universitaire de Strasbourg",559
"1923","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",492
"1924","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",316
"1924","Autre",1491
"1924","Banque de France",270
"1924","Bibliothèque Carré d'art / Nîmes",45
"1924","Bibliothèque du Ministère des Affaires étrangères",461
"1924","Bibliothèque du Sénat",946
"1924","Bibliothèque et Archives de l'Assemblée nationale",290
"1924","Bibliothèque municipale de Brest",419
"1924","Bibliothèque nationale de France",35004
"1924","Bibliothèque nationale et universitaire de Strasbourg",924
"1924","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",174
"1925","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",316
"1925","Autre",1518
"1925","Banque de France",272
"1925","Bibliothèque Carré d'art / Nîmes",32
"1925","Bibliothèque du Ministère des Affaires étrangères",474
"1925","Bibliothèque du Sénat",834
"1925","Bibliothèque et Archives de l'Assemblée nationale",260
"1925","Bibliothèque municipale de Brest",417
"1925","Bibliothèque nationale de France",34530
"1925","Bibliothèque nationale et universitaire de Strasbourg",1024
"1925","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",90
"1926","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",317
"1926","Autre",1494
"1926","Bibliothèque Carré d'art / Nîmes",30
"1926","Bibliothèque du Ministère des Affaires étrangères",472
"1926","Bibliothèque du Sénat",915
"1926","Bibliothèque et Archives de l'Assemblée nationale",236
"1926","Bibliothèque municipale de Brest",365
"1926","Bibliothèque nationale de France",33897
"1926","Bibliothèque nationale et universitaire de Strasbourg",990
"1926","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",442
"1927","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",323
"1927","Autre",1484
"1927","Banque de France",1
"1927","Bibliothèque Carré d'art / Nîmes",28
"1927","Bibliothèque du Ministère des Affaires étrangères",480
"1927","Bibliothèque du Sénat",918
"1927","Bibliothèque et Archives de l'Assemblée nationale",215
"1927","Bibliothèque municipale de Brest",364
"1927","Bibliothèque nationale de France",34062
"1927","Bibliothèque nationale et universitaire de Strasbourg",781
"1927","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",486
"1928","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",317
"1928","Autre",1560
"1928","Banque de France",1
"1928","Bibliothèque Carré d'art / Nîmes",30
"1928","Bibliothèque du Ministère des Affaires étrangères",468
"1928","Bibliothèque du Sénat",980
"1928","Bibliothèque et Archives de l'Assemblée nationale",185
"1928","Bibliothèque municipale de Brest",366
"1928","Bibliothèque nationale de France",34692
"1928","Bibliothèque nationale et universitaire de Strasbourg",692
"1928","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",375
"1929","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",317
"1929","Autre",1693
"1929","Banque de France",1
"1929","Bibliothèque Carré d'art / Nîmes",29
"1929","Bibliothèque du Ministère des Affaires étrangères",476
"1929","Bibliothèque du Sénat",967
"1929","Bibliothèque et Archives de l'Assemblée nationale",225
"1929","Bibliothèque municipale de Brest",365
