"ark","titre"
"cb32869208r","
  Bulletin de la Société amicale des peintres et des sculpteurs français "
"cb32701238b","
Archives de l'art français "
"cb344224656","
Art (L')"
"cb32702433d","
Art belge (L')"
"cb34348232c","
Art et décoration"
"cb32702564z","
Art et les artistes ( L')"
"cb327026391","
Art moderne (L')"
"cb327026616","
Art pour tous (L') "
"cb343612621","
Artiste (L')"
"cb32718615p","
Bulletin de l'Alliance des arts"
"cb34428772r","
Bulletin officiel de l'Union des femmes peintres, sculpteurs, graveurs..."
"cb327349060","
Cabinet de l'amateur et de l'antiquaire ( Le )"
"cb32741504p","
Chronique artistique"
"cb34421972m","
Chronique des arts et de la curiosité (La) "
"cb410292520","
Collectionneur universel (Le) "
"cb32747250g","
Conseiller des artistes (Le) "
"cb32750326d","
Courrier de l'art"
"cb32761316j","
Écho des beaux-arts (L')"
"cb34428092f","
Esprit nouveau (L')"
"cb32770193d","
Étoile artistique (L')"
"cb32771216g","
Europe artiste (L')"
"cb32773144x","
Fantaisie artistique (La) "
"cb344483753","
Gaulois artistique (Le)"
"cb343486585","
Gazette des beaux-arts"
"cb327810075","
Gazette du bâtiment"
"cb32788743n","
Image (L') : revue artistique et littéraire ornée de figures sur bois"
"cb40367915f","
Japon Artistique (Le )"
"cb32799197c","
Journal des Arts (Le)"
"cb34437598v","
Journal des amateurs d'objets d'art et de curiosité"
"cb391813444","
Journal des artistes"
"cb391783647","
Journal des beaux-arts"
"cb327992651","
Journal des beaux-arts et de la littérature"
"cb32818188p","
Monde artiste (Le)"
"cb328193305","
Moniteur du dessin (Le)"
"cb32821000p","
Musée universel"
"cb328263899","
Nouvelles archives de l'art français"
"cb32828169m","
Oeuvre d'art (L') "
"cb328305361","
Ouest-artiste"
"cb32831673r","
Pan"
"cb32834788s","
Peinture (La)"
"cb328451815","
Provence artiste (La)"
"cb34357019k","
Renaissance (La)"
"cb32850820w","
Renaissance esthétique (La)"
"cb328563668","
Revue artistique"
"cb32857192h","
Revue de l'art ancien et moderne (La)"
"cb32858171s","
Revue des arts décoratifs "
"cb32864449p","
Salon (Le)"
