n,annee,mois
208269,2000,10
1803505,2000,11
1624616,2000,12
1846855,2001,1
1756088,2001,2
1726919,2001,3
1358678,2001,4
1588021,2001,5
1487527,2001,6
1498927,2001,7
1300444,2001,8
1650062,2001,9
1929027,2001,10
1844650,2001,11
1778451,2001,12
1769736,2002,1
1686684,2002,2
1851140,2002,3
1689994,2002,4
1848238,2002,5
1794455,2002,6
1575398,2002,7
1285364,2002,8
1755588,2002,9
1885947,2002,10
1482663,2002,11
1378672,2002,12
1468867,2003,1
1381064,2003,2
1562966,2003,3
1387377,2003,4
1433190,2003,5
1339562,2003,6
1235950,2003,7
1153781,2003,8
1321143,2003,9
1510524,2003,10
1419030,2003,11
1393936,2003,12
1371341,2004,1
1402860,2004,2
1510509,2004,3
1364442,2004,4
1431229,2004,5
1339483,2004,6
1172859,2004,7
1143135,2004,8
1312831,2004,9
1402903,2004,10
1472030,2004,11
1393194,2004,12
1440727,2005,1
1332499,2005,2
1453590,2005,3
1523275,2005,4
1508857,2005,5
1422921,2005,6
1293466,2005,7
1152735,2005,8
1494344,2005,9
1484174,2005,10
1493381,2005,11
1429851,2005,12
1531513,2006,1
1386825,2006,2
1466637,2006,3
1322097,2006,4
1545435,2006,5
1424300,2006,6
1187407,2006,7
1086990,2006,8
1413070,2006,9
1497862,2006,10
1500315,2006,11
1322056,2006,12
1608967,2007,1
1444249,2007,2
1574348,2007,3
1448312,2007,4
1533169,2007,5
1416106,2007,6
1292244,2007,7
431825,2007,8
1483796,2007,9
580930,2007,10
226847,2007,11
222955,2007,12
237903,2008,1
216245,2008,2
227856,2008,3
218711,2008,4
225895,2008,5
232862,2008,6
1141295,2008,7
1609750,2008,8
1825088,2008,9
1935334,2008,10
1871026,2008,11
1842336,2008,12
1776002,2009,1
1637222,2009,2
1768719,2009,3
1754655,2009,4
1692213,2009,5
1694209,2009,6
1536155,2009,7
1329867,2009,8
1762560,2009,9
1766928,2009,10
1688244,2009,11
1670788,2009,12
1787418,2010,1
1643169,2010,2
1861464,2010,3
1738384,2010,4
1794953,2010,5
1826571,2010,6
1612898,2010,7
1418501,2010,8
1771647,2010,9
1781447,2010,10
1893669,2010,11
1818307,2010,12
1916462,2011,1
1782594,2011,2
2018739,2011,3
1773266,2011,4
1586508,2011,5
1499692,2011,6
1513105,2011,7
1616603,2011,8
2040719,2011,9
2033956,2011,10
2087982,2011,11
2126753,2011,12
2146435,2012,1
2054625,2012,2
2304698,2012,3
2282480,2012,4
2282755,2012,5
2248318,2012,6
1849035,2012,7
1762899,2012,8
2025831,2012,9
2127871,2012,10
2099294,2012,11
1916052,2012,12
2005368,2013,1
1859515,2013,2
2013154,2013,3
1907296,2013,4
1867610,2013,5
1959886,2013,6
1954210,2013,7
1890088,2013,8
1999288,2013,9
2056081,2013,10
2007965,2013,11
1985865,2013,12
861305,2014,1
872276,2014,2
1356280,2014,3
1334904,2014,4
1612368,2014,5
1809487,2014,6
1699102,2014,7
1646134,2014,8
1562843,2014,9
1682170,2014,10
1582091,2014,11
1718026,2014,12
2150364,2015,1
1533353,2015,2
1808773,2015,3
1637030,2015,4
1972344,2015,5
1779241,2015,6
1750129,2015,7
1908721,2015,8
1805388,2015,9
1709155,2015,10
1872847,2015,11
1912393,2015,12
1849340,2016,1
1612303,2016,2
1328146,2016,3
1188429,2016,4
1378436,2016,5
1858043,2016,6
1867508,2016,7
1670040,2016,8
1662573,2016,9
1530401,2016,10
1947527,2016,11
1893335,2016,12
1500084,2017,1
1738833,2017,2
1853762,2017,3
1784465,2017,4
1933121,2017,5
1990992,2017,6
1652716,2017,7
1456727,2017,8
1725080,2017,9
1959505,2017,10
1944085,2017,11
1746762,2017,12
1966743,2018,1
1828202,2018,2
2040045,2018,3
1928690,2018,4
2131164,2018,5
2216228,2018,6
2041103,2018,7
1639336,2018,8
1980934,2018,9
2077135,2018,10
2151755,2018,11
1913238,2018,12
2155398,2019,1
2015904,2019,2
2100762,2019,3
2022584,2019,4
2210447,2019,5
2173514,2019,6
1980409,2019,7
1648321,2019,8
2158996,2019,9
2190918,2019,10
2241057,2019,11
2168415,2019,12
2506620,2020,1
2313601,2020,2
2776739,2020,3
2392805,2020,4
2482071,2020,5
2428519,2020,6
2201056,2020,7
1941860,2020,8
2437538,2020,9
2372485,2020,10
2322694,2020,11
2233540,2020,12
2451591,2021,1
2240539,2021,2
2575270,2021,3
2430162,2021,4
2603115,2021,5
2788990,2021,6
2460075,2021,7
2173953,2021,8
2538878,2021,9
2653297,2021,10
2402486,2021,11
2233258,2021,12
2454177,2022,1
2378735,2022,2
2500348,2022,3
2351477,2022,4
2333364,2022,5
2464174,2022,6
2164370,2022,7
1876703,2022,8
2256499,2022,9
2274782,2022,10
2327434,2022,11
2185652,2022,12
2272446,2023,1
2058595,2023,2
2315405,2023,3
2118259,2023,4
2340792,2023,5
2526998,2023,6
2237294,2023,7
3908287,2023,8
4775499,2023,9
5150846,2023,10
4994178,2023,11
4687620,2023,12
5300250,2024,1
5265076,2024,2
5786496,2024,3
5517646,2024,4
5976652,2024,5
5913464,2024,6
1988829,2024,7
