"ark","titre"
"cb32707866p","
Avenir (L'). Saint-Malo"
"cb32708262w","
Avenir de l'Ouest (L')"
"cb327446667","
Combattant d'Ille-et-Vilaine (Le)"
"cb327553347","
Démocrate malouin (Le)"
"cb327559179","
Dépêche bretonne (La)"
"cb34523922q","
Gazette de Bretagne"
"cb32790214z","
Indicateur (L')"
"cb328298851","
Organe du peuple (L')"
"cb32830550k","
Ouest-Éclair (L'). Edition de Rennes"
"cb32832031d","
Paramé mondain"
"cb328401302","
Plages d’Emeraude"
