n,annee,mois,jour
4779,1790,8,31
1677,1790,9,1
4362,1790,9,2
5452,1790,9,3
1650,1790,9,4
2805,1790,9,5
2057,1790,9,6
4961,1790,9,7
1411,1790,9,8
4941,1790,9,9
3203,1790,9,10
3886,1790,9,11
1068,1790,9,12
1652,1790,9,13
3712,1790,9,14
1966,1790,9,15
6871,1790,9,16
4909,1790,9,18
1388,1790,9,19
4407,1790,9,20
3348,1790,9,21
3591,1790,9,22
5490,1790,9,23
3791,1790,9,24
2528,1790,9,25
1591,1790,9,26
3462,1790,9,27
3839,1790,9,28
2066,1790,9,29
3806,1790,9,30
3478,1790,10,1
3789,1790,10,2
1166,1790,10,3
6771,1790,10,4
2471,1790,10,5
4752,1790,10,6
926,1790,10,7
5336,1790,10,8
3389,1790,10,9
6999,1790,10,11
1853,1790,10,12
6021,1790,10,13
3503,1790,10,14
2058,1790,10,15
3085,1790,10,16
1428,1790,10,18
9844,1790,10,19
5078,1790,10,21
3185,1790,10,23
3441,1790,10,25
4289,1790,10,26
1624,1790,10,27
3964,1790,10,28
2325,1790,10,29
6194,1790,10,30
2449,1790,11,1
4619,1790,11,2
4615,1790,11,4
3072,1790,11,5
8020,1790,11,6
2293,1790,11,8
8329,1790,11,9
4053,1790,11,11
10645,1790,11,13
2298,1790,11,15
5416,1790,11,16
1206,1790,11,17
4916,1790,11,18
1510,1790,11,19
3061,1790,11,20
3034,1790,11,21
1480,1790,11,22
6110,1790,11,23
3630,1790,11,25
4903,1790,11,26
3726,1790,11,27
1536,1790,11,28
5757,1790,11,29
4340,1790,11,30
2200,1790,12,1
4852,1790,12,2
2940,1790,12,3
5355,1790,12,4
1698,1790,12,5
6326,1790,12,6
5388,1790,12,7
5173,1790,12,9
4815,1790,12,11
3350,1790,12,13
3701,1790,12,14
1059,1790,12,15
5501,1790,12,16
6189,1790,12,18
4273,1790,12,20
2529,1791,1,29
2066,1791,1,30
1070,1791,1,31
8439,1791,2,1
4035,1791,2,3
7324,1791,2,5
1641,1791,2,7
5975,1791,2,8
3469,1791,2,10
1692,1791,2,11
3314,1791,2,12
1171,1791,2,13
8248,1791,2,14
1888,1791,2,15
4133,1791,2,17
3228,1791,2,19
4356,1791,2,21
8699,1791,2,22
4814,1791,2,24
5433,1791,2,25
6676,1791,2,26
5274,1791,2,28
2841,1791,3,1
3892,1791,3,2
5885,1791,3,3
5736,1791,3,5
5212,1791,3,7
9182,1791,3,9
3232,1791,3,10
1673,1791,3,11
2792,1791,3,12
1472,1791,3,13
2161,1791,3,14
7527,1791,3,15
4458,1791,3,17
1569,1791,3,18
4792,1791,3,19
1266,1791,3,20
3038,1791,3,21
6403,1791,3,22
8498,1791,3,23
1914,1791,3,24
810,1791,3,25
5953,1791,3,26
4970,1791,3,28
2660,1791,3,29
1547,1791,3,30
4375,1791,3,31
1589,1791,4,1
4347,1791,4,2
1988,1791,4,4
10317,1791,4,5
2534,1791,4,7
1941,1791,4,8
3937,1791,4,9
2499,1791,4,11
3214,1791,4,12
3274,1791,4,14
2063,1791,4,15
3279,1791,4,16
1274,1791,4,17
4396,1791,4,18
4052,1791,4,19
2641,1791,4,21
1572,1791,4,22
3314,1791,4,23
2241,1791,4,26
1293,1791,4,27
4817,1791,4,28
3497,1791,4,29
6561,1791,4,30
1680,1791,5,1
3313,1791,5,2
4504,1791,5,3
1470,1791,5,4
6448,1791,5,5
4614,1791,5,7
1973,1791,5,9
3523,1791,5,10
2526,1791,5,11
1754,1791,5,12
3252,1791,5,13
6542,1791,5,14
4376,1791,5,16
8078,1791,5,17
6147,1791,5,19
2952,1791,5,20
5953,1791,5,21
2752,1791,5,23
3804,1791,5,24
7941,1791,5,26
5827,1791,5,28
9683,1791,5,30
1107,1791,5,31
3194,1791,6,1
3030,1791,6,3
5505,1791,6,4
4654,1791,6,6
2063,1791,6,7
6763,1791,6,9
5533,1791,6,11
1452,1791,6,14
3078,1791,6,15
4458,1791,6,16
1370,1791,6,17
4194,1791,6,18
5890,1791,6,20
19810,1791,6,21
26805,1791,6,22
5227,1791,6,24
7351,1791,6,27
3318,1791,6,28
3539,1791,6,30
3312,1791,7,1
8108,1791,7,2
4407,1791,7,4
4433,1791,7,5
5851,1791,7,7
2873,1791,7,9
2126,1791,7,10
5366,1791,7,11
7096,1791,7,12
8258,1791,7,14
6687,1791,7,16
3591,1791,7,18
5666,1791,7,19
8341,1791,7,21
6795,1791,7,23
3186,1791,7,25
6985,1791,7,26
3609,1791,7,27
5151,1791,7,28
8110,1791,7,30
1923,1791,8,1
8196,1791,8,2
6580,1791,8,4
4383,1791,8,6
4509,1791,8,8
10110,1791,8,9
5744,1791,8,11
4141,1791,8,12
4279,1791,8,13
3052,1791,8,14
2250,1791,8,15
5130,1791,8,16
3344,1791,8,18
3415,1791,8,19
5284,1791,8,20
3569,1791,8,22
2742,1791,8,23
2855,1791,8,24
2693,1791,8,25
3138,1791,8,26
5999,1791,8,27
3682,1791,8,29
3377,1791,8,30
6525,1791,8,31
3550,1791,9,1
2231,1791,9,2
1591,1791,9,3
3277,1791,9,4
4656,1791,9,5
1852,1791,9,7
801,1791,9,8
4333,1791,9,9
1581,1791,9,10
1796,1791,9,12
3639,1791,9,13
1487,1791,9,14
6022,1791,9,15
5034,1791,9,17
2487,1791,9,19
17129,1791,9,20
4013,1791,9,21
4338,1791,9,22
4131,1791,9,24
1759,1791,9,25
8311,1791,9,26
7983,1791,9,27
5426,1791,9,28
14604,1791,9,29
1012,1791,10,1
2851,1791,10,2
825,1791,10,3
1598,1791,10,4
3425,1791,10,5
4870,1791,10,6
3559,1791,10,7
4425,1791,10,8
3111,1791,10,9
3106,1791,10,10
3746,1791,10,11
3781,1791,10,12
3530,1791,10,13
2889,1791,10,14
3230,1791,10,15
2250,1791,10,16
1868,1791,10,17
3270,1791,10,18
3372,1791,10,19
4227,1791,10,20
5416,1791,10,21
2960,1791,10,22
3349,1791,10,23
3858,1791,10,24
4669,1791,10,25
4555,1791,10,26
4067,1791,10,27
3477,1791,10,28
3940,1791,10,30
4672,1791,10,31
2168,1791,11,1
2698,1791,11,2
3569,1791,11,3
3849,1791,11,4
2767,1791,11,5
3034,1791,11,6
3261,1791,11,7
4436,1791,11,8
3484,1791,11,9
3611,1791,11,10
5162,1791,11,11
5694,1791,11,12
1920,1791,11,13
3390,1791,11,14
1171,1791,11,15
4339,1791,11,16
5327,1791,11,17
3283,1791,11,18
6356,1791,11,19
3462,1791,11,21
5674,1791,11,22
8421,1791,11,24
6209,1791,11,26
6853,1791,11,28
3605,1791,11,29
6592,1791,12,1
9193,1791,12,3
9475,1791,12,5
6631,1791,12,7
5628,1791,12,8
8214,1791,12,10
4311,1791,12,12
8438,1791,12,13
5301,1791,12,14
3629,1791,12,15
4138,1791,12,17
1471,1791,12,19
6808,1791,12,20
5596,1791,12,22
5736,1791,12,24
7012,1791,12,26
2896,1791,12,27
9075,1791,12,29
5653,1791,12,31
2143,1792,1,1
3411,1792,1,2
7184,1792,1,3
5896,1792,1,5
7627,1792,1,7
4313,1792,1,9
12770,1792,1,10
6198,1792,1,12
8295,1792,1,14
3382,1792,1,16
8610,1792,1,17
8940,1792,1,19
7675,1792,1,21
2827,1792,1,23
10164,1792,1,24
4915,1792,1,26
6840,1792,1,28
5315,1792,1,30
1546,1792,1,31
8843,1792,2,1
4180,1792,2,3
7491,1792,2,4
7327,1792,2,6
3781,1792,2,7
7902,1792,2,9
6626,1792,2,11
6230,1792,2,13
7089,1792,2,14
2992,1792,2,15
10452,1792,2,17
4799,1792,2,18
4282,1792,2,20
5458,1792,2,21
7313,1792,2,22
6427,1792,2,24
5768,1792,2,26
3048,1792,2,27
6690,1792,2,28
1161,1792,2,29
5861,1792,3,1
1542,1792,3,2
4399,1792,3,3
9253,1792,3,5
4362,1792,3,6
7443,1792,3,8
9236,1792,3,10
11580,1792,3,12
1983,1792,3,14
5786,1792,3,15
5749,1792,3,17
7008,1792,3,19
3866,1792,3,20
4686,1792,3,21
2626,1792,3,22
3613,1792,3,23
1877,1792,3,24
7539,1792,3,26
4376,1792,3,27
6929,1792,3,28
5319,1792,3,29
5494,1792,3,30
1852,1792,3,31
1865,1792,4,1
7857,1792,4,2
3828,1792,4,3
2207,1792,4,4
3282,1792,4,5
4346,1792,4,6
1705,1792,4,7
4208,1792,4,9
6317,1792,4,10
4825,1792,4,11
4721,1792,4,12
5330,1792,4,13
4433,1792,4,14
7099,1792,4,16
3306,1792,4,17
3297,1792,4,18
4082,1792,4,19
6116,1792,4,20
1724,1792,4,21
6799,1792,4,23
2229,1792,4,24
5637,1792,4,25
5959,1792,4,27
2240,1792,4,28
5434,1792,4,30
7411,1792,5,1
5605,1792,5,2
7012,1792,5,3
5697,1792,5,4
3102,1792,5,5
8839,1792,5,7
3440,1792,5,8
6495,1792,5,9
16579,1792,5,11
2018,1792,5,12
4905,1792,5,13
3737,1792,5,14
3194,1792,5,15
2220,1792,5,16
5615,1792,5,17
12094,1792,5,19
7308,1792,5,21
6523,1792,5,22
2735,1792,5,23
5028,1792,5,25
2922,1792,5,26
12174,1792,5,28
6169,1792,5,29
4790,1792,5,30
1233,1792,5,31
7922,1792,6,1
6980,1792,6,2
6733,1792,6,5
4808,1792,6,6
2061,1792,6,8
8871,1792,6,9
6684,1792,6,11
5742,1792,6,12
4928,1792,6,13
10777,1792,6,15
1750,1792,6,16
6175,1792,6,18
5434,1792,6,19
8418,1792,6,20
3555,1792,6,21
3433,1792,6,22
4556,1792,6,23
6571,1792,6,25
3479,1792,6,26
4540,1792,6,27
8116,1792,6,29
2199,1792,6,30
1819,1792,7,1
4820,1792,7,2
5983,1792,7,3
3937,1792,7,4
5654,1792,7,5
4808,1792,7,6
4256,1792,7,7
2904,1792,7,8
4505,1792,7,9
4520,1792,7,10
4547,1792,7,11
4440,1792,7,12
4588,1792,7,13
2191,1792,7,14
4398,1792,7,15
3463,1792,7,16
4227,1792,7,18
5789,1792,7,19
5995,1792,7,20
4878,1792,7,21
4826,1792,7,22
8224,1792,7,23
4605,1792,7,24
4350,1792,7,25
5788,1792,7,26
3394,1792,7,27
5761,1792,7,28
7333,1792,7,30
2004,1792,7,31
5312,1792,8,1
6360,1792,8,2
4138,1792,8,3
4105,1792,8,4
4392,1792,8,6
6318,1792,8,7
11737,1792,8,9
8536,1792,8,10
13238,1792,8,11
6235,1792,8,14
6577,1792,8,16
11047,1792,8,19
3778,1792,8,21
3486,1792,8,22
8598,1792,8,23
5698,1792,8,24
4841,1792,8,25
4588,1792,8,26
14446,1792,8,27
4839,1792,8,28
8921,1792,8,29
6613,1792,8,30
2061,1792,8,31
7513,1792,9,1
3532,1792,9,2
6616,1792,9,3
9315,1792,9,4
6964,1792,9,5
4453,1792,9,6
4796,1792,9,7
4024,1792,9,8
4239,1792,9,9
4277,1792,9,10
3427,1792,9,11
5473,1792,9,12
4932,1792,9,13
5423,1792,9,14
4545,1792,9,15
6415,1792,9,16
8225,1792,9,17
5878,1792,9,18
5076,1792,9,19
7255,1792,9,20
12916,1792,9,21
2145,1792,9,22
3877,1792,9,23
8031,1792,9,24
7769,1792,9,25
6724,1792,9,26
5951,1792,9,27
3866,1792,9,29
10800,1792,9,30
4237,1792,10,2
4375,1792,10,3
10628,1792,10,4
10242,1792,10,6
4868,1792,10,8
12456,1792,10,9
7087,1792,10,11
6921,1792,10,12
6586,1792,10,13
3333,1792,10,14
4534,1792,10,15
6467,1792,10,16
4240,1792,10,17
11560,1792,10,18
3789,1792,10,20
4208,1792,10,21
6277,1792,10,22
4256,1792,10,23
6806,1792,10,24
5370,1792,10,25
5506,1792,10,26
4690,1792,10,27
4171,1792,10,28
10689,1792,10,29
9961,1792,10,30
3901,1792,11,1
4714,1792,11,2
3205,1792,11,3
6849,1792,11,4
9457,1792,11,5
3377,1792,11,7
4170,1792,11,8
7287,1792,11,9
6622,1792,11,10
4529,1792,11,11
2960,1792,11,12
7369,1792,11,13
3478,1792,11,14
9794,1792,11,15
1816,1792,11,17
2052,1792,11,18
2904,1792,11,19
4047,1792,11,20
5132,1792,11,21
5652,1792,11,22
6478,1792,11,23
3163,1792,11,24
1367,1792,11,25
3516,1792,11,26
12784,1792,11,27
9132,1792,11,29
2989,1792,11,30
5822,1792,12,1
9986,1792,12,2
7475,1792,12,3
5135,1792,12,4
6254,1792,12,5
10205,1792,12,7
4265,1792,12,9
7467,1792,12,10
4673,1792,12,11
3824,1792,12,12
5023,1792,12,13
4628,1792,12,15
9549,1792,12,16
9206,1792,12,18
13411,1792,12,19
4013,1792,12,21
3319,1792,12,22
1887,1792,12,23
3210,1792,12,24
2344,1792,12,25
10703,1792,12,26
14765,1792,12,27
4640,1792,12,29
4690,1792,12,30
5396,1792,12,31
3287,1793,1,1
13740,1793,1,2
6719,1793,1,3
13178,1793,1,4
2519,1793,1,6
5449,1793,1,7
3047,1793,1,9
2229,1793,1,10
4258,1793,1,11
3076,1793,1,12
4280,1793,1,13
6407,1793,1,14
15265,1793,1,15
9958,1793,1,16
5489,1793,1,18
5819,1793,1,19
7342,1793,1,21
8688,1793,1,23
4607,1793,1,25
2098,1793,1,27
3918,1793,1,28
3593,1793,1,29
5967,1793,1,30
4807,1793,1,31
5864,1793,2,1
3239,1793,2,2
2800,1793,2,3
2835,1793,2,4
3318,1793,2,5
3443,1793,2,6
3141,1793,2,7
4401,1793,2,8
4151,1793,2,9
2008,1793,2,10
6603,1793,2,11
6304,1793,2,12
6575,1793,2,14
10436,1793,2,16
5011,1793,2,17
3538,1793,2,19
2114,1793,2,20
7516,1793,2,21
3361,1793,2,23
1869,1793,2,24
8804,1793,2,25
9338,1793,2,27
15822,1793,2,28
4435,1793,3,1
2353,1793,3,2
3261,1793,3,3
3232,1793,3,4
4363,1793,3,5
4406,1793,3,6
4330,1793,3,7
4794,1793,3,8
3847,1793,3,9
4272,1793,3,10
4539,1793,3,12
4389,1793,3,13
2154,1793,3,14
3581,1793,3,15
1923,1793,3,16
2520,1793,3,17
8333,1793,3,18
4887,1793,3,19
6630,1793,3,21
2514,1793,3,23
3302,1793,3,24
2116,1793,3,25
5030,1793,3,26
4608,1793,3,27
13922,1793,3,28
3492,1793,3,30
2454,1793,3,31
8742,1793,4,1
6961,1793,4,2
9434,1793,4,3
6850,1793,4,4
3322,1793,4,5
4239,1793,4,6
2496,1793,4,7
3180,1793,4,8
3399,1793,4,9
7477,1793,4,10
3169,1793,4,11
7142,1793,4,12
8247,1793,4,13
4535,1793,4,15
5495,1793,4,16
