"date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"2001",122,1770184,6.89193891708433e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2002",194,1900556,0.000102075392674565,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2003",171,1825910,9.36519324610742e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2004",224,2083172,0.000107528326993642,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2005",265,2256089,0.000117459905172181,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2006",273,2769769,9.85641762905138e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2007",261,3040359,8.58451255262948e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2008",284,2999492,9.46826996037996e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2009",365,3095816,0.000117901063887518,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2010",235,2672047,8.7947554814717e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2011",254,2873770,8.83856397693622e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2012",310,2805546,0.000110495425845807,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2013",300,2810142,0.000106756171040467,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2014",346,3128183,0.000110607339787986,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2015",213,2790556,7.63288749625523e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2016",208,3167141,6.56743731965201e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2017",201,3145501,6.390079036694e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2018",193,2928584,6.59021561273298e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2019",167,2861528,5.83604284144695e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2020",69,1542953,4.47194438197405e-05,"pute","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1930",0,395169,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1931",0,567702,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1932",0,630510,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1933",0,343091,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1934",2,316438,6.32035343416404e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1935",0,430811,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1936",0,487740,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1937",0,447100,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1938",0,284495,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1939",0,422047,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1940",1,597200,1.67448091091762e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1941",1,599707,1.66748095319881e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1942",1,580044,1.72400714428561e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1943",0,488102,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1944",0,508797,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1945",0,503277,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1946",0,589716,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1947",0,689535,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1948",1,713281,1.40197201383466e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1949",1,636809,1.57032956506582e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1950",1,807587,1.23825668318088e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1951",1,722358,1.38435512585172e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1952",0,619390,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1953",0,693162,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1954",1,727417,1.37472728847415e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1955",1,841036,1.18900974512387e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1956",0,750880,0,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1957",2,841485,2.37675062538251e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1958",2,766840,2.60810599342757e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1959",2,632746,3.16082598704694e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
