"ark","titre"
"cb326817920","
Action cinématographique (L')"
"cb32686513h","
Almanach (Ciné-miroir)"
"cb32701903m","
Argus du cinéma (L')"
"cb327270468","
Bulletin du cinéma à la campagne"
"cb437768513","
Bulletin officiel du CLCF"
"cb327422899","
Ciné-France"
"cb32742299m","
Ciné-journal"
"cb32742304c","
Ciné-mondial"
"cb32742344m","
Cinéa"
"cb327423825","
Cinéma chez soi (Le)"
"cb32742387w","
Cinéma éducation"
"cb32742410k","
Cinémagazine"
"cb32742416n","
Cinémato"
"cb34428386b","
Cinématographie française (La)"
"cb34420609s","
Cinéopse (Le)"
"cb34440142n","
Cinévie"
"cb32750934p","
Courrier des cinémas (Le)"
"cb387540898","
Critique cinématographique (La)"
"cb344206073","
Écran (L')"
"cb32764924j","
Ecran français (L')"
"cb32775271k","
Film (Le)"
"cb344474247","
Film complet (Le)"
"cb327840145","
Griffe cinématographique (La)"
"cb32786168v","
Hebdo-film"
"cb327887429","
Image (L') : magazine hebdomadaire"
"cb32812944t","
Meilleurs cinémas et les meilleurs spectacles de Paris... (Les)"
"cb328329656","
Paris spectacles"
"cb32832473f","
Paris-Films"
"cb32832311m","
Paris-cinéma"
"cb32839445w","
Phono-cinéma-revue"
