"ark","titre"
"cb32682663c","
Adam "
"cb327024969","
Art du coiffeur (L')"
"cb327024113","
Art. Goût. Beauté"
"cb327110605","
Belles modes de Paris (Les)"
"cb327349107","
Cabinet des modes"
"cb327349436","
Cachet de Paris (Le)"
"cb327370187","
Canastilla infantil (La)"
"cb45736932j","
Chapeaux"
"cb32740151v","
Chapeaux d'été"
"cb327401526","
Chapeaux d'hiver"
"cb32740154w","
Chapeaux de la femme chic (Les )"
"cb34483171s","
Chemisier et l'élégance masculine (Le )"
"cb32751897j","
Couturière parisienne (La )"
"cb32760509k","
Echo de la mode (L')"
"cb32760512g","
Echo de la mode française"
"cb32765738x","
Elan de la mode (L')"
"cb32766036j","
Elégances féminines"
"cb32766043t","
Elegancias"
"cb343485686","
Elle"
"cb32770469c","
Etre belle"
"cb387350355","
Figaro-modes (Le)"
"cb327768588","
Fourrure (La) "
"cb327795523","
Gallery of fashion"
"cb32783608n","
Grand tailleur (Le)"
"cb32801529c","
Homme du monde (L')"
"cb344212255","
Jardin des modes nouvelles"
"cb45735636v","
Joie des modes (La )"
"cb344436197","
Journal des coiffeurs (Le )"
"cb32799510k","
Journal des dames et des modes"
"cb32800020n","
Journal des marchandes de modes (Le)"
"cb32701783j","
Las argentinas"
"cb32896302v","
Magasin des modes nouvelles, françaises et anglaises"
"cb343488519","
Marie-Claire"
"cb40216887k","
Mercure galant (1678)"
"cb32815027g","
Messager des dames (Le)"
"cb32817434b","
Mode (La)"
"cb32817450k","
Mode chic (La )"
"cb328174690","
Mode du jour (La)"
"cb328174857","
Mode et beauté"
"cb34444965g","
Mode et la maison (La)"
"cb328175082","
Mode nationale (La)"
"cb32817516p","
Mode-palace"
"cb32817646w","
Modes (Les)"
"cb328196858","
Monsieur"
"cb32825817k","
Nouveauté"
"cb457366185","
Nouvelle collection les Patrons favoris "
"cb32832429z","
Paris élégant "
"cb328326850","
Paris mode"
"cb32832164n","
Paris-Alger magazine"
"cb32833196h","
Parisiennes (Les)"
"cb45736272v","
Patrons Minerve (Les )"
"cb457367320","
Patrons favoris (Les )"
"cb32842899f","
Primerose"
"cb32861223q","
Revue pratique de la mode et de la coupe parisienne"
"cb34444962f","
Sylphide (La)"
"cb328754134","
Tableau général du goût, des modes et costumes de Paris"
"cb328779370","
Toilettes parisiennes"
"cb32883762w","
Union des modes (L') "
"cb343833568","
Vogue "
