"ark","titre"
"cb32755179n","
Démocrate (Le)"
"cb32770986b","
Étudiant (L')"
"cb34498713p","
Pays de Montbéliard (Le)"
"cb32837463b","
Petit semeur (Le)"
"cb34410582c","
Supplément illustré du Petit comtois"
"cb32888022x","
Vers l'avenir"
