"annee","count","base","mot","url","corpus","langue","bibli","date","search_mode","ratio"
1995,0,76705,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1995","Rap","Français","Genius",1995,"N-gramme",0
1996,0,38309,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1996","Rap","Français","Genius",1996,"N-gramme",0
1997,1,90065,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1997","Rap","Français","Genius",1997,"N-gramme",1.11030922111808e-05
1998,1,171315,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1998","Rap","Français","Genius",1998,"N-gramme",5.83720047865044e-06
1999,1,137568,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=1999","Rap","Français","Genius",1999,"N-gramme",7.26913235636194e-06
2000,0,126344,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2000","Rap","Français","Genius",2000,"N-gramme",0
2001,0,144074,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2001","Rap","Français","Genius",2001,"N-gramme",0
2002,3,159146,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2002","Rap","Français","Genius",2002,"N-gramme",1.8850615158408e-05
2003,16,152009,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2003","Rap","Français","Genius",2003,"N-gramme",0.000105256925576775
2004,10,204717,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2004","Rap","Français","Genius",2004,"N-gramme",4.88479217651685e-05
2005,16,264343,"du lourd","https://shiny.ens-paris-saclay.fr/guni/source_rap?mot=du%20lourd&year=2005","Rap","Français","Genius",2005,"N-gramme",6.05274208131102e-05
