"date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien","sdewey","sdewey_nom","sdewey2","sdewey_nom2"
"1890-1914","https://gallica.bnf.fr/ark:/12148/cb32883604f/date","Paris","Bulletin officiel ",9,"cb32883604f_date",6825,"1890-05-25","1909-01","1890-05-25","1909-01-31",FALSE,36,"Services sociaux","",""
"1903-1907","https://gallica.bnf.fr/ark:/12148/cb32730748d/date","Paris","Bulletin mensuel du Comité du commerce extérieur",9,"cb32730748d_date",1583,"1903-05","1907-08","1903-05-01","1907-08-31",FALSE,38,"Commerce communications transports","",""
"1918","https://gallica.bnf.fr/ark:/12148/cb32729757b/date","Sidi Bel Abbès","Bulletin mensuel de l'Ecole de Sonis",9,"cb32729757b_date",760,"1918-01","1920-01","1918-01-01","1920-01-31",FALSE,80,"Littérature Généralités","",""
"1899-1900","https://gallica.bnf.fr/ark:/12148/cb327295971/date","Paris","Bulletin mensuel de l'Association amicale des anciens élèves et du patronage de l'école publique de la rue d'Aligre",9,"cb327295971_date",364,"1899-11","1900-10","1899-11-01","1900-10-31",FALSE,37,"Éducation","",""
"1904-1905","https://gallica.bnf.fr/ark:/12148/cb32728256c/date","Paris","Bulletin du Syndicat des instituteurs privés ",9,"cb32728256c_date",NA,"1904-01","1911-04","1904-01-01","1911-04-31",FALSE,7,"Presse et édition","",""
"1902-1905","https://gallica.bnf.fr/ark:/12148/cb327308867/date","Carcassonne","Bulletin du Syndicat d'initiative de Carcassonne et de l'Aude ",9,"cb327308867_date",NA,"1903-04","1905-02","1903-04-01","1905-02-31",FALSE,0,"Savoir livre informatique","",""
"1891-1903","https://gallica.bnf.fr/ark:/12148/cb32727736w/date","Paris","Bulletin du Photo club de Paris ",9,"cb32727736w_date",3286,"1891","1899","1891-01-01","1899-12-31",FALSE,77,"Photographie","",""
"1911-1914","https://gallica.bnf.fr/ark:/12148/cb32884156j/date","Épinal","Bulletin du Groupe d'Épinal ",9,"cb32884156j_date",1399,"1911","1914-10","1911-01-01","1914-10-31",FALSE,35,"Administration publique","",""
"1913-1978","https://gallica.bnf.fr/ark:/12148/cb327272684/date","Paris","Bulletin du Comité des forêts",9,"cb327272684_date",851,"1913-12","1916-03","1913-12-01","1916-03-31",FALSE,60,"Techniques Généralités","",""
"18..-1941","https://gallica.bnf.fr/ark:/12148/cb343552456/date","Lille","Bulletin des séances de la Société des sciences",9,"cb343552456_date",7304,"1920","1939","1920-01-01","1939-12-31",FALSE,34,"Droit","",""
"1914-1922","https://gallica.bnf.fr/ark:/12148/cb343816945/date","Paris","Bulletin de la Société de pathologie végétale de France",9,"cb343816945_date",2952,"1914","1922-01","1914-01-01","1922-01-31",FALSE,58,"Botanique","",""
