"date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien","sdewey","sdewey_nom","sdewey2","sdewey_nom2"
"1814-1944","https://gallica.bnf.fr/ark:/12148/cb39294634r/date","Paris","Journal des débats politiques et littéraires",48168,"cb39294634r_date",47622,"1814-04-01","1944-08-19","1814-04-01","1944-08-19",TRUE,34,"Droit","",""
"1881-2015","https://gallica.bnf.fr/ark:/12148/cb34378481r/date","Paris","Journal officiel de la République française",45753,"cb34378481r_date",25565,"1881-01-01","1950-12-31","1881-01-01","1950-12-31",TRUE,34,"Droit","",""
"1814-1895","https://gallica.bnf.fr/ark:/12148/cb32779538j/date","Paris","Galignani's messenger",44776,"cb32779538j_date",29767,"1814-07-02","1895-12-31","1814-07-02","1895-12-31",TRUE,7,"Presse et édition","",""
"1789-1810","https://gallica.bnf.fr/ark:/12148/cb34452336z/date","Paris","Gazette nationale ou le Moniteur universel  ",40528,"cb34452336z_date",41086,"1789-01-01","1901-06-30","1789-01-01","1901-06-30",TRUE,944,"Histoire de France","",""
"1827-1944","https://gallica.bnf.fr/ark:/12148/cb328671932/date","Marseille","Le Sémaphore de Marseille ",35700,"cb328671932_date",42612,"1827-12-19","1944-08-19","1827-12-19","1944-08-19",TRUE,7,"Presse et édition","",""
"1836-1932","https://gallica.bnf.fr/ark:/12148/cb32868136g/date","Paris","Le Siècle ",33269,"cb32868136g_date",1612,"1836-06-23","1840-11-21","1836-06-23","1840-11-21",TRUE,7,"Presse et édition","",""
"1836-1952","https://gallica.bnf.fr/ark:/12148/cb34448033b/date","Paris","La Presse ",31498,"cb34448033b_date",36188,"1836-06-15","1935-07-15","1836-06-15","1935-07-15",TRUE,7,"Presse et édition","",""
"1844-1944","https://gallica.bnf.fr/ark:/12148/cb32839062c/date","Nantes","Phare de la Loire ",31473,"cb32839062c_date",33826,"1852-01-02","1944-08-13","1852-01-02","1944-08-13",TRUE,0,"Savoir livre informatique","",""
"1854","https://gallica.bnf.fr/ark:/12148/cb34355551z/date","Paris","Le Figaro ",30751,"cb34355551z_date",35335,"1854-04-02","1950-12-30","1854-04-02","1950-12-30",TRUE,7,"Presse et édition","",""
"1819-1914","https://gallica.bnf.fr/ark:/12148/cb32747578p/date","Paris","Le Constitutionnel ",30393,"cb32747578p_date",34778,"1819-05-02","1914-07-21","1819-05-02","1914-07-21",TRUE,7,"Presse et édition","",""
"1861-1942","https://gallica.bnf.fr/ark:/12148/cb34431794k/date","Paris","Le Temps ",30301,"cb34431794k_date",29803,"1861-04-25","1942-11-30","1861-04-25","1942-11-30",TRUE,7,"Presse et édition","",""
"1841-1937","https://gallica.bnf.fr/ark:/12148/cb32833792s/date","Paris","La Patrie ",29677,"cb32833792s_date",35211,"1841-01-01","1937-05-29","1841-01-01","1937-05-29",TRUE,7,"Presse et édition","",""
"1863-1944","https://gallica.bnf.fr/ark:/12148/cb32895690j/date","Paris, Clermont Ferrand, Pau","Le Petit journal ",29518,"cb32895690j_date",29792,"1863-01-31","1944-08-26","1863-01-31","1944-08-26",TRUE,NA,NA,"",""
"1835-1938","https://gallica.bnf.fr/ark:/12148/cb34447993f/date","Paris","Le Droit ",27831,"cb34447993f_date",37631,"1835-12-01","1938-12-12","1835-12-01","1938-12-12",TRUE,34,"Droit","",""
"1868-1944","https://gallica.bnf.fr/ark:/12148/cb32836813n/date","Marseille","Le Petit Marseillais ",27248,"cb32836813n_date",27900,"1868-03-22","1944-08-11","1868-03-22","1944-08-11",TRUE,7,"Presse et édition","",""
"1854-1930","https://gallica.bnf.fr/ark:/12148/cb32813853r/date","Saint Étienne","Mémorial de la Loire et de la Haute Loire ",27139,"cb32813853r_date",28092,"1854-01-01","1930-12-01","1854-01-01","1930-12-01",TRUE,7,"Presse et édition","",""
"1840-1947","https://gallica.bnf.fr/ark:/12148/cb34366345x/date","Chalon sur Saône","Le Courrier de Saône et",26677,"cb34366345x_date",36442,"1840-09-05","1940-06-15","1840-09-05","1940-06-15",TRUE,7,"Presse et édition","",""
"1865-1940","https://gallica.bnf.fr/ark:/12148/cb328066631/date","Paris","La Liberté  ",26238,"cb328066631_date",27358,"1865-07-16","1940-06-11","1865-07-16","1940-06-11",TRUE,7,"Presse et édition","",""
"1869-1944","https://gallica.bnf.fr/ark:/12148/cb32844000t/date","Dijon, Nuits[ Saint Georges], Dijon","Le Progrès de la Côte d'Or ",26235,"cb32844000t_date",27626,"1869-01-14","1944-09-04","1869-01-14","1944-09-04",TRUE,7,"Presse et édition","",""
"1872-1944","https://gallica.bnf.fr/ark:/12148/cb328378921/date","Bordeaux","La Petite Gironde ",25642,"cb328378921_date",26424,"1872-04-11","1944-08-16","1872-04-11","1944-08-16",TRUE,7,"Presse et édition","",""
"1832-1892","https://gallica.bnf.fr/ark:/12148/cb32715573v/date","Paris","Cours authentique ",25567,"cb32715573v_date",33237,"1802-01-01","1892-12-31","1802-01-01","1892-12-31",TRUE,33,"Économie","",""
"1832-1937","https://gallica.bnf.fr/ark:/12148/cb34452332k/date","Paris","Le Charivari ",25526,"cb34452332k_date",378,"1832","1833-01-13","1832-01-01","1833-01-13",TRUE,7,"Presse et édition","",""
"1819-1928","https://gallica.bnf.fr/ark:/12148/cb32800711m/date","Bourges, Bourges, Bourges, Bourges, Bourges","Journal du Cher ",24502,"cb32800711m_date",39705,"1819-07-03","1928-03-18","1819-07-03","1928-03-18",TRUE,7,"Presse et édition","",""
"1876-1944","https://gallica.bnf.fr/ark:/12148/cb34419111x/date","Paris","Le Petit Parisien ",24477,"cb34419111x_date",24777,"1876-10-15","1944-08-17","1876-10-15","1944-08-17",TRUE,7,"Presse et édition","",""
"1870-1944","https://gallica.bnf.fr/ark:/12148/cb327558876/date","Toulouse","La Dépêche ",24460,"cb327558876_date",25339,"1875-04-04","1944-08-19","1875-04-04","1944-08-19",TRUE,7,"Presse et édition","",""
"1882-1985","https://gallica.bnf.fr/ark:/12148/cb343512457/date","Paris","Bulletin municipal officiel de la Ville de Paris",24278,"cb343512457_date",31976,"1882-07-12","1970-01-28","1882-07-12","1970-01-28",TRUE,35,"Administration publique","",""
"1869-1944","https://gallica.bnf.fr/ark:/12148/cb32844033s/date","Amiens","Le Progrès de la Somme ",24060,"cb32844033s_date",27499,"1869-05-16","1944-08-30","1869-05-16","1944-08-30",TRUE,0,"Savoir livre informatique","7","Presse et édition"
"1848-1915","https://gallica.bnf.fr/ark:/12148/cb32780296x/date","Paris","La Gazette de France ",23972,"cb32780296x_date",24560,"1848-07-02","1915-09-30","1848-07-02","1915-09-30",TRUE,7,"Presse et édition","",""
"1853-1935","https://gallica.bnf.fr/ark:/12148/cb32782567n/date","Bordeaux","La Gironde ",23398,"cb32782567n_date",27848,"1859-04-01","1935-06-30","1859-04-01","1935-06-30",TRUE,7,"Presse et édition","",""
"1862-1937","https://gallica.bnf.fr/ark:/12148/cb327773077/date","Paris","La France ",23041,"cb327773077_date",27482,"1862-08-09","1937-11-06","1862-08-09","1937-11-06",TRUE,7,"Presse et édition","",""
"1880-1944","https://gallica.bnf.fr/ark:/12148/cb32837257v/date","Marseille","Le Petit Provençal ",22517,"cb32837257v_date",23466,"1880-05-12","1944-08-11","1880-05-12","1944-08-11",TRUE,7,"Presse et édition","",""
"1884-1944","https://gallica.bnf.fr/ark:/12148/cb328123058/date","Paris","Le Matin ",22486,"cb328123058_date",22087,"1884-02-26","1944-08-17","1884-02-26","1944-08-17",TRUE,NA,NA,"",""
"1868-1929","https://gallica.bnf.fr/ark:/12148/cb32779904b/date","Paris","Le Gaulois ",22399,"cb32779904b_date",22182,"1868-07-05","1929-03-30","1868-07-05","1929-03-30",TRUE,7,"Presse et édition","",""
"1886-1944","https://gallica.bnf.fr/ark:/12148/cb32755951g/date","Brest","La Dépêche de Brest ",22379,"cb32755951g_date",21395,"1886","1944-07-31","1886-01-01","1944-07-31",TRUE,NA,NA,"",""
"1877-1938","https://gallica.bnf.fr/ark:/12148/cb328051026/date","Paris","La Lanterne ",22365,"cb328051026_date",18872,"1877-04-21","1928-12-22","1877-04-21","1928-12-22",TRUE,7,"Presse et édition","",""
"1880-1948","https://gallica.bnf.fr/ark:/12148/cb32793876w/date","Paris","L'Intransigeant ",22311,"cb32793876w_date",24913,"1880-07-15","1948-09-30","1880-07-15","1948-09-30",TRUE,7,"Presse et édition","",""
"1880-1968","https://gallica.bnf.fr/ark:/12148/cb343631418/date","Paris","La Croix ",22204,"cb343631418_date",25475,"1880-04-01","1949-12-31","1880-04-01","1949-12-31",TRUE,7,"Presse et édition","",""
"1777-1827","https://gallica.bnf.fr/ark:/12148/cb327986698/date","Paris, Paris, Paris","Journal de Paris  ",22163,"cb327986698_date",18441,"1777-01-01","1827-06-30","1777-01-01","1827-06-30",TRUE,7,"Presse et édition","",""
"1872-1941","https://gallica.bnf.fr/ark:/12148/cb32740226x/date","Angoulême","La Charente ",21721,"cb32740226x_date",25366,"1872-04-23","1941-10-05","1872-04-23","1941-10-05",TRUE,7,"Presse et édition","",""
"1881-1944","https://gallica.bnf.fr/ark:/12148/cb32837632m/date","Troyes","Le Petit Troyen ",21537,"cb32837632m_date",22930,"1881-11-11","1944-08-23","1881-11-11","1944-08-23",TRUE,7,"Presse et édition","",""
"1829-1923","https://gallica.bnf.fr/ark:/12148/cb328139024/date","Pau, Pau","Le Mémorial des Pyrénées ",21315,"cb328139024_date",33050,"1830-01-04","1920-07-01","1830-01-04","1920-07-01",TRUE,7,"Presse et édition","",""
"1867-1944","https://gallica.bnf.fr/ark:/12148/cb34416250c/date","Pau","L'Indépendant des Basses Pyrénées ",21174,"cb34416250c_date",27757,"1867","1942-12-31","1867-01-01","1942-12-31",TRUE,0,"Savoir livre informatique","",""
"1849-1914","https://gallica.bnf.fr/ark:/12148/cb328343740/date","Paris","Le Pays ",20819,"cb328343740_date",23936,"1849-01-01","1914-07-16","1849-01-01","1914-07-16",TRUE,7,"Presse et édition","",""
"1869-1933","https://gallica.bnf.fr/ark:/12148/cb328479063/date","Paris","Le Rappel ",20729,"cb328479063_date",23309,"1869-05-04","1933-02-27","1869-05-04","1933-02-27",TRUE,7,"Presse et édition","",""
"1887-1944","https://gallica.bnf.fr/ark:/12148/cb32777284d/date","Bordeaux","La France de Bordeaux et du Sud Ouest ",20502,"cb32777284d_date",20913,"1887-05-26","1944-08-28","1887-05-26","1944-08-28",TRUE,7,"Presse et édition","",""
"1883-1944","https://gallica.bnf.fr/ark:/12148/cb32836053p/date","Angers","Le Petit courrier ",20325,"cb32836053p_date",22342,"1883-06-10","1944-08-11","1883-06-10","1944-08-11",TRUE,7,"Presse et édition","",""
"1864-1935","https://gallica.bnf.fr/ark:/12148/cb32796461g/date","Paris","Le Jockey ",20300,"cb32796461g_date",27344,"1864-10-19","1939-09-01","1864-10-19","1939-09-01",TRUE,79,"Loisirs sports arts du spectacle","",""
"1884-1938","https://gallica.bnf.fr/ark:/12148/cb34429768r/date","Paris","L'Écho de Paris ",19696,"cb34429768r_date",19737,"1884-03-12","1938-03-27","1884-03-12","1938-03-27",TRUE,7,"Presse et édition","",""
"1871-1924","https://gallica.bnf.fr/ark:/12148/cb32853032d/date","Paris","La République française ",18794,"cb32853032d_date",22578,"1871-11-07","1933-09-01","1871-11-07","1933-09-01",TRUE,7,"Presse et édition","",""
"1892-1944","https://gallica.bnf.fr/ark:/12148/cb34473289x/date","Paris","Le Journal ",18752,"cb34473289x_date",18882,"1892-09-28","1944-06-10","1892-09-28","1944-06-10",TRUE,0,"Savoir livre informatique","",""
"1872-1966","https://gallica.bnf.fr/ark:/12148/cb32771670c/date","Paris","L'Evénement ",18732,"cb32771670c_date",34266,"1872-04-07","1966-01","1872-04-07","1966-01-31",TRUE,7,"Presse et édition","",""
"1869-1932","https://gallica.bnf.fr/ark:/12148/cb328705910/date","Paris","Le Soir ",18432,"cb328705910_date",23118,"1869-04-08","1932-07-25","1869-04-08","1932-07-25",TRUE,7,"Presse et édition","",""
"1871-1921","https://gallica.bnf.fr/ark:/12148/cb32757974m/date","Paris","Le XIXe siècle ",17672,"cb32757974m_date",18207,"1871-11-17","1921-09-23","1871-11-17","1921-09-23",TRUE,7,"Presse et édition","",""
"1890-1944","https://gallica.bnf.fr/ark:/12148/cb32783482h/date","Lille","Le Grand écho du Nord de la France",17584,"cb32783482h_date",19708,"1890-09-16","1944-09-01","1890-09-16","1944-09-01",TRUE,7,"Presse et édition","",""
"1880-1955","https://gallica.bnf.fr/ark:/12148/cb32809056t/date","Paris","La Loi ",17517,"cb32809056t_date",27419,"1880-12-01","1955-12-28","1880-12-01","1955-12-28",TRUE,34,"Droit","",""
"1867-1919","https://gallica.bnf.fr/ark:/12148/cb34520232c/date","Paris","L'Univers ",16906,"cb34520232c_date",19129,"1867-04-16","1919-08-31","1867-04-16","1919-08-31",TRUE,7,"Presse et édition","",""
"1891-1938","https://gallica.bnf.fr/ark:/12148/cb32772370s/date","Toulouse","L'Express du Midi ",16682,"cb32772370s_date",16925,"1891-09-29","1938-01-31","1891-09-29","1938-01-31",TRUE,NA,NA,"",""
"1881-1931","https://gallica.bnf.fr/ark:/12148/cb32847124t/date","Paris","Le Radical ",16547,"cb32847124t_date",18378,"1881-08-11","1931-12-06","1881-08-11","1931-12-06",TRUE,NA,NA,"",""
"1900-1944","https://gallica.bnf.fr/ark:/12148/cb327071375/date","Paris","L'Auto ",16415,"cb327071375_date",16011,"1900-10-16","1944-08-17","1900-10-16","1944-08-17",TRUE,79,"Loisirs sports arts du spectacle","",""
"1879-1940","https://gallica.bnf.fr/ark:/12148/cb32749493s/date","Paris","Cote de la Bourse et de la banque et le Messager de la Bourse réunis ",16411,"cb32749493s_date",22228,"1879-04-01","1940-02-09","1879-04-01","1940-02-09",TRUE,33,"Économie","",""
"1876-1938","https://gallica.bnf.fr/ark:/12148/cb345185020/date","Paris","La Petite République ",16303,"cb345185020_date",18649,"1876-04-13","1927-05-06","1876-04-13","1927-05-06",TRUE,7,"Presse et édition","",""
"1934","https://gallica.bnf.fr/ark:/12148/cb327941766/date","Constantinople","Istanboul",16283,"cb327941766_date",22233,"1875-08-16","1936-06-30","1875-08-16","1936-06-30",TRUE,0,"Savoir livre informatique","",""
"1899-1944","https://gallica.bnf.fr/ark:/12148/cb32830550k/date","Rennes","L'Ouest Éclair ",16216,"cb32830550k_date",16435,"1899-08-02","1944-08-01","1899-08-02","1944-08-01",TRUE,7,"Presse et édition","",""
"1841-1944","https://gallica.bnf.fr/ark:/12148/cb345241384/date","Toulouse","Journal de Toulouse ",16058,"cb345241384_date",16742,"1841-02-28","1886-12-31","1841-02-28","1886-12-31",TRUE,7,"Presse et édition","",""
"1869-1914","https://gallica.bnf.fr/ark:/12148/cb32837006d/date","Paris","Le Petit moniteur universel ",15926,"cb32837006d_date",16645,"1869-01-02","1914-07-31","1869-01-02","1914-07-31",TRUE,7,"Presse et édition","",""
"1832-1902","https://gallica.bnf.fr/ark:/12148/cb32888151s/date","Paris","Vert vert ",15863,"cb32888151s_date",22213,"1832-09-05","1893-06-30","1832-09-05","1893-06-30",TRUE,7,"Presse et édition","",""
"1797-1848","https://gallica.bnf.fr/ark:/12148/cb41265446t/date","Paris","Gazette de France ",15387,"cb41265446t_date",15621,"1805-09-23","1848-06-30","1805-09-23","1848-06-30",TRUE,7,"Presse et édition","",""
"1819-1914","https://gallica.bnf.fr/ark:/12148/cb32798346s/date","Saint Quentin","Journal de la ville de Saint Quentin et de l'arrondissement",15065,"cb32798346s_date",34751,"1819-07-05","1914-08-27","1819-07-05","1914-08-27",TRUE,7,"Presse et édition","",""
"1904","https://gallica.bnf.fr/ark:/12148/cb327877302/date","Paris, Saint Denis","L'Humanité ",14869,"cb327877302_date",17067,"1904-04-08","1950-12-30","1904-04-08","1950-12-30",TRUE,7,"Presse et édition","",""
"1876-1923","https://gallica.bnf.fr/ark:/12148/cb328358889/date","Paris","Le Petit caporal ",14849,"cb328358889_date",16954,"1876-12-02","1923-05-05","1876-12-02","1923-05-05",TRUE,7,"Presse et édition","",""
"1896-1944","https://gallica.bnf.fr/ark:/12148/cb32834057k/date","Pau","Le Patriote des Pyrénées ",14665,"cb32834057k_date",19856,"1890-04-06","1944-08-17","1890-04-06","1944-08-17",TRUE,NA,NA,"",""
"1873-1922","https://gallica.bnf.fr/ark:/12148/cb344447668/date","Paris","Le Soleil ",14624,"cb344447668_date",17939,"1873-02-28","1922-04-12","1873-02-28","1922-04-12",TRUE,7,"Presse et édition","",""
"184?-1963","https://gallica.bnf.fr/ark:/12148/cb32759772v/date","Oran","L'Écho d'Oran ",14598,"cb32759772v_date",31774,"1870-01-01","1956-12-30","1870-01-01","1956-12-30",TRUE,7,"Presse et édition","",""
"1866-1914","https://gallica.bnf.fr/ark:/12148/cb32837965d/date","Paris","La Petite presse ",14583,"cb32837965d_date",17622,"1866-04-16","1914-07-16","1866-04-16","1914-07-16",TRUE,7,"Presse et édition","",""
"1887-1935","https://gallica.bnf.fr/ark:/12148/cb391150993/date","Paris","The New York herald ",14508,"cb391150993_date",15335,"1888-01-01","1929-12-27","1888-01-01","1929-12-27",TRUE,7,"Presse et édition","",""
"1876-1940","https://gallica.bnf.fr/ark:/12148/cb41473216d/date","Versailles, Paris, Paris, Paris","Impressions ",14443,"cb41473216d_date",23316,"1876-03-08","1940-01-09","1876-03-08","1940-01-09",TRUE,32,"Science politique","",""
"1869-1924","https://gallica.bnf.fr/ark:/12148/cb32822280z/date","Paris","Le National  ",14371,"cb32822280z_date",20409,"1869-01-19","1924-12-06","1869-01-19","1924-12-06",TRUE,7,"Presse et édition","",""
"1901-1942","https://gallica.bnf.fr/ark:/12148/cb328809574/date","Troyes","La Tribune de l'Aube ",13895,"cb328809574_date",15233,"1901-03-01","1942-11-14","1901-03-01","1942-11-14",TRUE,7,"Presse et édition","",""
"1912-1961","https://gallica.bnf.fr/ark:/12148/cb327596899/date","Alger","L'Echo d'Alger ",13653,"cb327596899_date",14169,"1912-03-16","1950-12-31","1912-03-16","1950-12-31",TRUE,7,"Presse et édition","",""
"1847-1883","https://gallica.bnf.fr/ark:/12148/cb32882940w/date","Paris","L'Union ",13377,"cb32882940w_date",13367,"1847-02-07","1883-09-13","1847-02-07","1883-09-13",TRUE,7,"Presse et édition","",""
"1921","https://gallica.bnf.fr/ark:/12148/cb34348990g/date","Paris","Le Peuple ",13190,"cb34348990g_date",9489,"1921-01-04","1946-12-28","1921-01-04","1946-12-28",TRUE,33,"Économie","",""
"1908-1944","https://gallica.bnf.fr/ark:/12148/cb326819451/date","Paris","L'Action française ",12936,"cb326819451_date",13305,"1908-03-21","1944-08-24","1908-03-21","1944-08-24",TRUE,7,"Presse et édition","",""
"1892-19..","https://gallica.bnf.fr/ark:/12148/cb32745962x/date","Paris","Bulletin de la cote ",12900,"cb32745962x_date",12050,"1893-01-02","1925-12-31","1893-01-02","1925-12-31",TRUE,33,"Économie","",""
"1848-1944","https://gallica.bnf.fr/ark:/12148/cb32789598m/date","Saintes","L'Indépendant de la Charente Inférieure ",12855,"cb32789598m_date",35178,"1848-05-06","1944-08-29","1848-05-06","1944-08-29",TRUE,7,"Presse et édition","",""
"1893-1944","https://gallica.bnf.fr/ark:/12148/cb34420510q/date","Vierzon, Bourges","La Dépêche du Berry ",12821,"cb34420510q_date",18798,"1893-03-01","1944-08-19","1893-03-01","1944-08-19",TRUE,7,"Presse et édition","",""
"1886-1943","https://gallica.bnf.fr/ark:/12148/cb32710201z/date","Bastia","Bastia Journal ",12737,"cb32710201z_date",14134,"1886-04-20","1924-12-31","1886-04-20","1924-12-31",TRUE,NA,NA,"",""
"1908-1944","https://gallica.bnf.fr/ark:/12148/cb32815893g/date","Toulouse","Le Midi socialiste ",12712,"cb32815893g_date",13377,"1908","1944-08-16","1908-01-01","1944-08-16",TRUE,7,"Presse et édition","",""
"1879-1940","https://gallica.bnf.fr/ark:/12148/cb344298410/date","Paris","Gil Blas ",12656,"cb344298410_date",22023,"1879-11-19","1940-03-07","1879-11-19","1940-03-07",TRUE,7,"Presse et édition","",""
"1880-1976","https://gallica.bnf.fr/ark:/12148/cb32802914p/date","Paris","La Justice ",12088,"cb32802914p_date",22058,"1880-01-16","1940-06-08","1880-01-16","1940-06-08",TRUE,NA,NA,"",""
"1876-1914","https://gallica.bnf.fr/ark:/12148/cb327695777/date","Paris","L'Estafette ",12074,"cb327695777_date",13969,"1876-05-01","1914-07-31","1876-05-01","1914-07-31",TRUE,7,"Presse et édition","",""
"1889-1968","https://gallica.bnf.fr/ark:/12148/cb32753198f/date","Lille","La Croix du Nord ",11873,"cb32753198f_date",15765,"1907-11-01","1950-12-30","1907-11-01","1950-12-30",TRUE,32,"Science politique","",""
"1860-1896","https://gallica.bnf.fr/ark:/12148/cb345202222/date","Paris","Le Monde ",11834,"cb345202222_date",13385,"1860-02-18","1896-10-11","1860-02-18","1896-10-11",TRUE,7,"Presse et édition","",""
"1911-1944","https://gallica.bnf.fr/ark:/12148/cb32832672n/date","Paris","Paris midi ",11672,"cb32832672n_date",12243,"1911-02-07","1944-08-15","1911-02-07","1944-08-15",TRUE,7,"Presse et édition","",""
"1858-1940","https://gallica.bnf.fr/ark:/12148/cb32814929d/date","Paris","Le Messager de Paris",11649,"cb32814929d_date",14832,"1858-05-31","1899-01-08","1858-05-31","1899-01-08",TRUE,33,"Économie","",""
"1912-1944","https://gallica.bnf.fr/ark:/12148/cb41193642z/date","Rennes","L'Ouest Éclair ",11559,"cb41193642z_date",11777,"1912-03-10","1944-06-07","1912-03-10","1944-06-07",TRUE,7,"Presse et édition","",""
"1892-1924","https://gallica.bnf.fr/ark:/12148/cb328070581/date","Paris","La Libre parole ",11499,"cb328070581_date",11757,"1892-03-14","1924-05-23","1892-03-14","1924-05-23",TRUE,7,"Presse et édition","",""
"1878-1930","https://gallica.bnf.fr/ark:/12148/cb32892208p/date","Paris","Le Voltaire ",11346,"cb32892208p_date",18908,"1878-07-05","1930-04-12","1878-07-05","1930-04-12",TRUE,7,"Presse et édition","",""
"1881-1935","https://gallica.bnf.fr/ark:/12148/cb32832124d/date","Paris","Paris ",11343,"cb32832124d_date",19599,"1881-07-02","1935-03-01","1881-07-02","1935-03-01",TRUE,7,"Presse et édition","",""
"1815-1847","https://gallica.bnf.fr/ark:/12148/cb32846953c/date","Paris","La Quotidienne ",11288,"cb32846953c_date",11537,"1815-07-07","1847-02-06","1815-07-07","1847-02-06",TRUE,7,"Presse et édition","",""
"1840-1904","https://gallica.bnf.fr/ark:/12148/cb32750811r/date","Montauban","Courrier de Tarn et",11145,"cb32750811r_date",22703,"1842-01-01","1904-02-29","1842-01-01","1904-02-29",TRUE,0,"Savoir livre informatique","",""
"1829-1941","https://gallica.bnf.fr/ark:/12148/cb32763114s/date","La Rochelle","L'Écho rochelais ",11090,"cb32763114s_date",40957,"1829-07-03","1941-08-22","1829-07-03","1941-08-22",TRUE,7,"Presse et édition","",""
"1910-1943","https://gallica.bnf.fr/ark:/12148/cb32771891w/date","Paris","Excelsior ",10645,"cb32771891w_date",11900,"1910-11-16","1943-06-16","1910-11-16","1943-06-16",TRUE,7,"Presse et édition","",""
"1868-1921","https://gallica.bnf.fr/ark:/12148/cb32789920s/date","Reims","L'Indépendant rémois ",10466,"cb32789920s_date",10590,"1884-01-02","1912-12-31","1884-01-02","1912-12-31",TRUE,7,"Presse et édition","",""
"1886-1929","https://gallica.bnf.fr/ark:/12148/cb327073471/date","Paris","L'Autorité ",10405,"cb327073471_date",15906,"1886-02-25","1929-09-14","1886-02-25","1929-09-14",TRUE,7,"Presse et édition","",""
"1904-1944","https://gallica.bnf.fr/ark:/12148/cb34429265b/date","Paris, Clermont Ferrand","L'<U+008C>uvre ",10382,"cb34429265b_date",10569,"1915-09-10","1944-08-17","1915-09-10","1944-08-17",TRUE,7,"Presse et édition","",""
"1871-1914","https://gallica.bnf.fr/ark:/12148/cb32829748j/date","Paris","L'Ordre de Paris ",10346,"cb32829748j_date",15635,"1871-10-01","1914-07-23","1871-10-01","1914-07-23",TRUE,7,"Presse et édition","",""
"1902-1939","https://gallica.bnf.fr/ark:/12148/cb32837115n/date","Oran","Le Petit Oranais ",9925,"cb32837115n_date",13401,"1902-12-01","1939-08-10","1902-12-01","1939-08-10",TRUE,7,"Presse et édition","",""
"1915-1944","https://gallica.bnf.fr/ark:/12148/cb41193663x/date","Rennes","L'Ouest Éclair ",9875,"cb41193663x_date",10532,"1915-10-01","1944-08-01","1915-10-01","1944-08-01",TRUE,7,"Presse et édition","",""
"1878-1914","https://gallica.bnf.fr/ark:/12148/cb327513390/date","Paris","Le Courrier du soir ",9856,"cb327513390_date",13291,"1878-02-21","1914-07-14","1878-02-21","1914-07-14",TRUE,0,"Savoir livre informatique","7","Presse et édition"
"1819-1851","https://gallica.bnf.fr/ark:/12148/cb32749956z/date","Paris","Le Courrier ",9654,"cb32749956z_date",11579,"1819-07-01","1851-03-14","1819-07-01","1851-03-14",TRUE,5,"Périodiques","",""
"1893-1944","https://gallica.bnf.fr/ark:/12148/cb32780235q/date","Biarritz, Biarritz, Biarritz","La Gazette de Biarritz Bayonne et Saint",9536,"cb32780235q_date",17177,"1893-08-20","1940-08-31","1893-08-20","1940-08-31",TRUE,7,"Presse et édition","",""
"1884-19??","https://gallica.bnf.fr/ark:/12148/cb327087806/date","Hanoï","L'Avenir du Tonkin ",9485,"cb327087806_date",20637,"1884-12-15","1941-06-17","1884-12-15","1941-06-17",TRUE,7,"Presse et édition","",""
"1900","https://gallica.bnf.fr/ark:/12148/cb328263310/date","Alger","Les Nouvelles ",9437,"cb328263310_date",10921,"1902-01-01","1931-11-26","1902-01-01","1931-11-26",TRUE,0,"Savoir livre informatique","",""
"1877-1914","https://gallica.bnf.fr/ark:/12148/cb32772298w/date","Mulhouse","Express ",9424,"cb32772298w_date",11213,"1884-01-01","1914-09-14","1884-01-01","1914-09-14",TRUE,32,"Science politique","",""
"1831-1902","https://gallica.bnf.fr/ark:/12148/cb32767513h/date","Paris","L'Entr'acte ",9271,"cb32767513h_date",10505,"1871-06-23","1900-03-28","1871-06-23","1900-03-28",TRUE,79,"Loisirs sports arts du spectacle","",""
"1838-1939","https://gallica.bnf.fr/ark:/12148/cb327989004/date","Meaux","Journal de Seine et",9074,"cb327989004_date",36922,"1838-07-24","1939-08-26","1838-07-24","1939-08-26",TRUE,7,"Presse et édition","",""
"1859-1914","https://gallica.bnf.fr/ark:/12148/cb32829290z/date","Paris","L'Opinion nationale ",8922,"cb32829290z_date",20029,"1859-09-01","1914-07-04","1859-09-01","1914-07-04",TRUE,7,"Presse et édition","",""
"1907-1944","https://gallica.bnf.fr/ark:/12148/cb32745939d/date","Paris","Comoedia ",8769,"cb32745939d_date",13458,"1907-10-01","1944-08-05","1907-10-01","1944-08-05",TRUE,NA,NA,"",""
"1880-1944","https://gallica.bnf.fr/ark:/12148/cb327779830/date","Limoges, Paris, Paris","La France militaire ",8412,"cb327779830_date",18746,"1880-09-02","1931-12-31","1880-09-02","1931-12-31",TRUE,35,"Administration publique","",""
"1894-1942","https://gallica.bnf.fr/ark:/12148/cb32802121r/date","Pondichéry","Journal officiel des établissements français dans l'Inde",8368,"cb32802121r_date",17879,"1894-01-06","1942-12-20","1894-01-06","1942-12-20",TRUE,35,"Administration publique","",""
"1913-1957","https://gallica.bnf.fr/ark:/12148/cb32787196b/date","Paris","L'Homme libre ",8257,"cb32787196b_date",10962,"1913-05-05","1943-05-10","1913-05-05","1943-05-10",TRUE,NA,NA,"",""
"1831-1873","https://gallica.bnf.fr/ark:/12148/cb327512340/date","Nîmes","Le Courrier du Gard ",8093,"cb327512340_date",15230,"1831-10-04","1873-06-15","1831-10-04","1873-06-15",TRUE,7,"Presse et édition","",""
