n,annee,mois
327289,1809,2
369257,1809,3
382499,1809,4
419293,1809,5
388369,1809,6
393436,1809,7
364494,1809,8
391143,1809,9
362241,1809,10
349224,1809,11
373824,1809,12
342671,1810,1
350086,1810,2
401997,1810,3
355832,1810,4
357398,1810,5
358170,1810,6
376064,1810,7
373701,1810,8
370669,1810,9
341346,1810,10
346681,1810,11
363595,1810,12
431433,1811,1
410546,1811,2
471352,1811,3
433657,1811,4
483551,1811,5
414205,1811,6
485270,1811,7
487442,1811,8
478559,1811,9
483056,1811,10
441167,1811,11
467146,1811,12
464504,1812,1
460218,1812,2
480992,1812,3
473060,1812,4
455052,1812,5
473087,1812,6
508753,1812,7
470205,1812,8
467656,1812,9
474632,1812,10
429532,1812,11
471377,1812,12
448488,1813,1
453084,1813,2
545916,1813,3
522639,1813,4
526846,1813,5
516019,1813,6
538746,1813,7
498405,1813,8
510854,1813,9
510577,1813,10
441277,1813,11
464033,1813,12
538498,1814,1
546260,1814,2
665402,1814,3
648108,1814,4
636986,1814,5
585846,1814,6
443357,1814,7
497942,1814,8
496382,1814,9
533166,1814,10
501846,1814,11
517709,1814,12
514313,1815,1
475838,1815,2
547392,1815,3
532472,1815,4
511106,1815,5
537043,1815,6
555671,1815,7
547230,1815,8
553061,1815,9
515119,1815,10
495841,1815,11
544862,1815,12
564552,1816,1
565364,1816,2
632897,1816,3
604572,1816,4
631897,1816,5
629458,1816,6
620035,1816,7
652261,1816,8
598985,1816,9
633641,1816,10
593220,1816,11
604191,1816,12
644813,1817,1
620415,1817,2
724891,1817,3
660394,1817,4
714700,1817,5
626816,1817,6
629893,1817,7
620136,1817,8
564331,1817,9
617571,1817,10
610438,1817,11
604942,1817,12
641104,1818,1
669958,1818,2
729642,1818,3
758352,1818,4
737824,1818,5
686503,1818,6
669217,1818,7
662059,1818,8
652973,1818,9
650396,1818,10
616646,1818,11
679723,1818,12
717456,1819,1
662468,1819,2
804923,1819,3
744257,1819,4
741834,1819,5
724675,1819,6
748555,1819,7
733045,1819,8
738829,1819,9
750820,1819,10
692800,1819,11
723967,1819,12
628862,1820,1
672179,1820,2
750139,1820,3
722127,1820,4
718716,1820,5
739520,1820,6
790477,1820,7
719284,1820,8
697695,1820,9
723476,1820,10
708461,1820,11
763377,1820,12
715383,1821,1
737456,1821,2
897067,1821,3
796336,1821,4
831299,1821,5
862008,1821,6
798525,1821,7
805630,1821,8
818306,1821,9
815016,1821,10
781815,1821,11
857850,1821,12
748288,1822,1
709431,1822,2
833398,1822,3
816238,1822,4
882751,1822,5
877797,1822,6
890988,1822,7
912035,1822,8
821899,1822,9
896606,1822,10
858981,1822,11
917317,1822,12
792366,1823,1
746388,1823,2
883756,1823,3
847042,1823,4
832847,1823,5
795021,1823,6
868246,1823,7
825134,1823,8
767700,1823,9
826274,1823,10
771202,1823,11
839682,1823,12
993223,1824,1
1003286,1824,2
1098065,1824,3
987617,1824,4
1084287,1824,5
1023283,1824,6
1126297,1824,7
1056210,1824,8
1043966,1824,9
1123503,1824,10
1106501,1824,11
1196245,1824,12
988870,1825,1
965817,1825,2
1134744,1825,3
1117036,1825,4
1117800,1825,5
1116252,1825,6
1059854,1825,7
1049110,1825,8
1013693,1825,9
1073467,1825,10
1087052,1825,11
1152303,1825,12
1060645,1826,1
1034004,1826,2
1202993,1826,3
1178129,1826,4
1131061,1826,5
1117361,1826,6
1190954,1826,7
1180340,1826,8
1149319,1826,9
1192486,1826,10
1161199,1826,11
1272900,1826,12
1125857,1827,1
1038270,1827,2
1249299,1827,3
1160142,1827,4
1291432,1827,5
1229806,1827,6
1098647,1827,7
1081881,1827,8
1067836,1827,9
1066043,1827,10
1086060,1827,11
1127199,1827,12
1087991,1828,1
1116247,1828,2
1276287,1828,3
1133065,1828,4
1244615,1828,5
1136332,1828,6
1249610,1828,7
1236499,1828,8
1125698,1828,9
1201992,1828,10
1196796,1828,11
1234854,1828,12
1032037,1829,1
996233,1829,2
1128504,1829,3
1120852,1829,4
1232810,1829,5
1124798,1829,6
1093412,1829,7
1177173,1829,8
1130055,1829,9
1223854,1829,10
1104566,1829,11
1222450,1829,12
1206339,1830,1
1167991,1830,2
1371708,1830,3
1397060,1830,4
1426506,1830,5
1410862,1830,6
1374401,1830,7
1426090,1830,8
1372563,1830,9
1615939,1830,10
1436428,1830,11
1718979,1830,12
1524740,1831,1
1404743,1831,2
1695793,1831,3
1688174,1831,4
1647254,1831,5
1722698,1831,6
