n,annee,mois,jour
17260,1905,1,23
20655,1905,1,24
21327,1905,1,25
20306,1905,1,26
20479,1905,1,27
21395,1905,1,28
16911,1905,1,29
20842,1905,1,30
21120,1905,1,31
20322,1905,2,1
19586,1905,2,2
20360,1905,2,3
20944,1905,2,4
19841,1905,2,5
18158,1905,2,6
20547,1905,2,7
21338,1905,2,8
21238,1905,2,9
21247,1905,2,10
22194,1905,2,11
20557,1905,2,12
20650,1905,2,13
21184,1905,2,14
21739,1905,2,15
20578,1905,2,16
21000,1905,2,17
20457,1905,2,18
20243,1905,2,19
21644,1905,2,20
20308,1905,2,21
20756,1905,2,22
21104,1905,2,23
21316,1905,2,24
21082,1905,2,25
18370,1905,2,26
20755,1905,2,27
21021,1905,2,28
21240,1905,3,1
21343,1905,3,2
20341,1905,3,3
20530,1905,3,4
16344,1905,3,5
19844,1905,3,6
21056,1905,3,7
21471,1905,3,8
20376,1905,3,9
20952,1905,3,10
19726,1905,3,11
17356,1905,3,12
20346,1905,3,13
21333,1905,3,14
19804,1905,3,15
20103,1905,3,16
21160,1905,3,17
20879,1905,3,18
20951,1905,3,19
20796,1905,3,20
21567,1905,3,21
21484,1905,3,22
21741,1905,3,23
22549,1905,3,24
21519,1905,3,25
15951,1905,3,26
21912,1905,3,27
35000,1905,3,28
34799,1905,3,29
34127,1905,3,30
22008,1905,3,31
20451,1905,4,1
17532,1905,4,2
20575,1905,4,3
21767,1905,4,4
21976,1905,4,5
21280,1905,4,6
21287,1905,4,7
23476,1905,4,8
21637,1905,4,9
20849,1905,4,10
22129,1905,4,11
21764,1905,4,12
21207,1905,4,13
21804,1905,4,14
21892,1905,4,15
20416,1905,4,16
21329,1905,4,17
21671,1905,4,18
21093,1905,4,19
21605,1905,4,21
23690,1905,4,22
22127,1905,4,23
21472,1905,4,24
20170,1905,4,25
21358,1905,4,26
21177,1905,4,27
19081,1905,4,28
21412,1905,4,29
18024,1905,4,30
20089,1905,5,1
21515,1905,5,2
21151,1905,5,3
20859,1905,5,4
20096,1905,5,5
20786,1905,5,6
20254,1905,5,7
21585,1905,5,8
21507,1905,5,9
20765,1905,5,10
20766,1905,5,11
21057,1905,5,12
21184,1905,5,13
20390,1905,5,14
21474,1905,5,15
20708,1905,5,16
21141,1905,5,17
20555,1905,5,18
21336,1905,5,19
21465,1905,5,20
21259,1905,5,21
21460,1905,5,22
22023,1905,5,23
22322,1905,5,24
21434,1905,5,25
21294,1905,5,26
18352,1905,5,27
21003,1905,5,28
34287,1905,5,29
20912,1905,5,30
21149,1905,5,31
20311,1905,6,1
19765,1905,6,2
20275,1905,6,3
18467,1905,6,4
21408,1905,6,5
20459,1905,6,6
21800,1905,6,7
21742,1905,6,8
20920,1905,6,9
20468,1905,6,10
21465,1905,6,11
21339,1905,6,12
22662,1905,6,13
21596,1905,6,14
20549,1905,6,15
20910,1905,6,16
20379,1905,6,17
19468,1905,6,18
21318,1905,6,19
20047,1905,6,20
20791,1905,6,21
20394,1905,6,22
20591,1905,6,23
20874,1905,6,24
17764,1905,6,25
20841,1905,6,26
20992,1905,6,27
20733,1905,6,28
20473,1905,6,29
19206,1905,6,30
20253,1905,7,2
21419,1905,7,3
20587,1905,7,4
20241,1905,7,5
20874,1905,7,6
20752,1905,7,7
21209,1905,7,8
19282,1905,7,9
20084,1905,7,10
21120,1905,7,11
20882,1905,7,12
21664,1905,7,13
20599,1905,7,14
21184,1905,7,15
19762,1905,7,16
20926,1905,7,17
20690,1905,7,18
20647,1905,7,19
20582,1905,7,20
21441,1905,7,21
20603,1905,7,22
20634,1905,7,23
20892,1905,7,24
20616,1905,7,25
20856,1905,7,26
19687,1905,7,27
20301,1905,7,28
20653,1905,7,29
20239,1905,7,30
20027,1905,7,31
20758,1905,8,1
19972,1905,8,2
20567,1905,8,3
19741,1905,8,4
20781,1905,8,5
20182,1905,8,6
20423,1905,8,7
20253,1905,8,8
20006,1905,8,9
20950,1905,8,10
20619,1905,8,11
20443,1905,8,12
20669,1905,8,13
21511,1905,8,14
21347,1905,8,15
22058,1905,8,16
21603,1905,8,17
20953,1905,8,18
21221,1905,8,19
21267,1905,8,20
21255,1905,8,21
21082,1905,8,22
20980,1905,8,23
20372,1905,8,24
20317,1905,8,25
20746,1905,8,26
21158,1905,8,28
21703,1905,8,29
20650,1905,8,30
20813,1905,8,31
21395,1905,9,1
20793,1905,9,2
21629,1905,9,3
20626,1905,9,4
20656,1905,9,5
19853,1905,9,7
21032,1905,9,8
20222,1905,9,9
19802,1905,9,10
21598,1905,9,11
20511,1905,9,12
20504,1905,9,13
20703,1905,9,14
20605,1905,9,15
20507,1905,9,16
18056,1905,9,17
21062,1905,9,18
21063,1905,9,19
21153,1905,9,20
20390,1905,9,21
20336,1905,9,22
20651,1905,9,23
17208,1905,9,24
20195,1905,9,25
20071,1905,9,26
20693,1905,9,27
19456,1905,9,28
20274,1905,9,29
18490,1905,9,30
17354,1905,10,1
20354,1905,10,3
19961,1905,10,4
20347,1905,10,5
20391,1905,10,6
18666,1905,10,7
21494,1905,10,8
20452,1905,10,9
20964,1905,10,10
18667,1905,10,11
20598,1905,10,12
19953,1905,10,13
21709,1905,10,14
19255,1905,10,15
20900,1905,10,16
20737,1905,10,17
21636,1905,10,18
20991,1905,10,19
21906,1905,10,20
20314,1905,10,21
18969,1905,10,22
21369,1905,10,23
21334,1905,10,24
20894,1905,10,25
20740,1905,10,26
21351,1905,10,27
21005,1905,10,28
19601,1905,10,29
20896,1905,10,30
20607,1905,10,31
20658,1905,11,1
19880,1905,11,2
21082,1905,11,3
21730,1905,11,4
16950,1905,11,5
21107,1905,11,6
20561,1905,11,7
21232,1905,11,8
20973,1905,11,9
20100,1905,11,10
21546,1905,11,11
20816,1905,11,12
21357,1905,11,13
20284,1905,11,14
20198,1905,11,15
20400,1905,11,16
21103,1905,11,17
20998,1905,11,18
21332,1905,11,19
20476,1905,11,20
20050,1905,11,21
21155,1905,11,22
20267,1905,11,23
20769,1905,11,24
20262,1905,11,25
17253,1905,11,26
20605,1905,11,27
19985,1905,11,28
21452,1905,11,29
20956,1905,11,30
20292,1905,12,1
20049,1905,12,2
17809,1905,12,3
20257,1905,12,4
20411,1905,12,5
20567,1905,12,6
21163,1905,12,7
19870,1905,12,8
20008,1905,12,9
18305,1905,12,10
19979,1905,12,11
20684,1905,12,12
21451,1905,12,13
20876,1905,12,14
19946,1905,12,15
20156,1905,12,16
20187,1905,12,17
20676,1905,12,18
20921,1905,12,19
21289,1905,12,20
20763,1905,12,21
20266,1905,12,22
20083,1905,12,24
20930,1905,12,25
21013,1905,12,26
21689,1905,12,27
20964,1905,12,28
20345,1905,12,29
20743,1906,1,1
20782,1906,1,2
20792,1906,1,4
19028,1906,1,7
17878,1906,1,8
21033,1906,1,9
18694,1906,1,10
20972,1906,1,11
20473,1906,1,12
19858,1906,1,13
20984,1906,1,15
19550,1906,1,16
21000,1906,1,19
20402,1906,1,22
19745,1906,1,23
20463,1906,1,25
20868,1906,1,26
19433,1906,1,27
