n,annee,mois
70927,2008,3
57133,2008,4
45356,2008,5
57938,2008,6
126010,2008,7
72187,2008,8
163285,2008,9
131265,2008,10
121255,2008,11
168061,2008,12
110755,2009,1
114752,2009,2
128558,2009,3
113092,2009,4
125116,2009,5
111673,2009,6
98724,2009,7
73496,2009,8
97506,2009,9
98006,2009,10
128367,2009,11
137456,2009,12
121033,2010,1
97789,2010,2
99182,2010,3
106809,2010,4
132614,2010,5
122336,2010,6
138149,2010,7
82678,2010,8
123321,2010,9
148806,2010,10
119726,2010,11
125580,2010,12
115053,2011,1
84159,2011,2
88279,2011,3
161240,2011,4
215750,2011,5
166479,2011,6
189237,2011,7
165950,2011,8
160860,2011,9
204763,2011,10
196462,2011,11
166873,2011,12
226388,2012,1
183379,2012,2
190206,2012,3
198585,2012,4
146876,2012,5
216252,2012,6
196125,2012,7
144569,2012,8
183170,2012,9
185200,2012,10
181611,2012,11
161934,2012,12
187160,2013,1
173899,2013,2
176279,2013,3
224433,2013,4
207005,2013,5
184283,2013,6
248028,2013,7
154580,2013,8
233653,2013,9
243156,2013,10
211611,2013,11
187836,2013,12
249884,2014,1
257922,2014,2
280556,2014,3
249990,2014,4
261873,2014,5
245520,2014,6
282588,2014,7
246337,2014,8
272736,2014,9
319905,2014,10
260514,2014,11
292091,2014,12
347737,2015,1
266232,2015,2
323716,2015,3
292631,2015,4
301199,2015,5
326289,2015,6
333378,2015,7
222485,2015,8
363413,2015,9
350220,2015,10
376338,2015,11
399569,2015,12
318415,2016,1
350640,2016,2
380507,2016,3
332634,2016,4
341335,2016,5
372061,2016,6
336715,2016,7
244390,2016,8
306572,2016,9
387488,2016,10
371253,2016,11
401070,2016,12
381835,2017,1
368277,2017,2
431496,2017,3
412655,2017,4
379532,2017,5
336588,2017,6
364998,2017,7
294435,2017,8
332051,2017,9
411428,2017,10
296139,2017,11
335180,2017,12
314632,2018,1
336432,2018,2
436704,2018,3
365159,2018,4
351729,2018,5
384329,2018,6
311178,2018,7
290992,2018,8
304011,2018,9
392889,2018,10
481813,2018,11
381666,2018,12
452455,2019,1
421511,2019,2
528753,2019,3
501627,2019,4
562276,2019,5
458157,2019,6
485385,2019,7
383364,2019,8
516073,2019,9
617985,2019,10
469220,2019,11
473628,2019,12
463492,2020,1
469724,2020,2
618141,2020,3
601581,2020,4
548125,2020,5
555919,2020,6
503126,2020,7
368339,2020,8
558093,2020,9
589313,2020,10
600821,2020,11
631223,2020,12
522717,2021,1
477983,2021,2
600013,2021,3
512015,2021,4
502053,2021,5
561500,2021,6
520821,2021,7
426519,2021,8
506585,2021,9
557682,2021,10
515348,2021,11
537671,2021,12
503105,2022,1
516305,2022,2
715321,2022,3
628472,2022,4
498966,2022,5
512896,2022,6
490558,2022,7
411386,2022,8
505561,2022,9
577332,2022,10
534604,2022,11
538649,2022,12
557140,2023,1
481455,2023,2
547999,2023,3
527903,2023,4
514267,2023,5
527726,2023,6
536164,2023,7
499249,2023,8
511104,2023,9
680746,2023,10
631848,2023,11
571346,2023,12
536524,2024,1
529267,2024,2
506245,2024,3
