"ark","titre"
"cb32690493g","
Alsace (L')"
"cb327501098","
Courrier d'Alsace Lorraine (Le)"
"cb32766226s","
Elsass (Das)"
"cb36141070m","
Franc tireur alsacien (Le)"
"cb42593639w","
Franc-tireur (Der)"
"cb43782095r","
Humanité (L') (Alsace-Lorraine)"
"cb327956148","
Jeanne la Lorraine"
"cb43784621b","
Jungen voran ! (Strasbourg)"
"cb34424068m","
Mülhauser Tagblatt"
