n,annee,mois
51760,2008,3
41825,2008,4
33162,2008,5
43296,2008,6
92301,2008,7
52500,2008,8
120990,2008,9
97048,2008,10
88563,2008,11
123259,2008,12
81507,2009,1
85087,2009,2
95457,2009,3
82869,2009,4
91483,2009,5
83403,2009,6
72671,2009,7
53936,2009,8
72641,2009,9
72443,2009,10
95537,2009,11
101314,2009,12
88349,2010,1
72044,2010,2
72779,2010,3
79686,2010,4
98942,2010,5
90292,2010,6
101513,2010,7
61236,2010,8
90193,2010,9
108921,2010,10
88490,2010,11
92875,2010,12
84994,2011,1
61563,2011,2
64959,2011,3
120194,2011,4
160287,2011,5
123021,2011,6
140006,2011,7
122511,2011,8
116905,2011,9
148522,2011,10
144375,2011,11
121511,2011,12
165328,2012,1
133823,2012,2
138730,2012,3
144456,2012,4
107706,2012,5
158499,2012,6
145204,2012,7
105824,2012,8
134831,2012,9
137835,2012,10
135964,2012,11
121328,2012,12
139979,2013,1
128518,2013,2
132088,2013,3
167618,2013,4
154426,2013,5
138238,2013,6
186341,2013,7
116747,2013,8
175798,2013,9
181211,2013,10
158136,2013,11
140694,2013,12
184438,2014,1
191768,2014,2
207419,2014,3
187436,2014,4
195726,2014,5
184849,2014,6
212081,2014,7
184890,2014,8
203186,2014,9
238198,2014,10
196041,2014,11
219518,2014,12
260149,2015,1
201006,2015,2
242174,2015,3
220564,2015,4
226254,2015,5
246492,2015,6
250419,2015,7
167980,2015,8
271370,2015,9
261256,2015,10
282522,2015,11
298659,2015,12
240716,2016,1
263025,2016,2
285722,2016,3
249844,2016,4
255196,2016,5
279429,2016,6
253567,2016,7
182462,2016,8
231044,2016,9
291055,2016,10
279086,2016,11
301482,2016,12
287574,2017,1
275848,2017,2
323614,2017,3
309042,2017,4
286316,2017,5
254610,2017,6
275406,2017,7
222276,2017,8
252403,2017,9
310147,2017,10
222921,2017,11
252956,2017,12
237092,2018,1
254372,2018,2
330413,2018,3
277077,2018,4
267402,2018,5
291008,2018,6
235273,2018,7
220813,2018,8
229972,2018,9
296119,2018,10
361166,2018,11
286729,2018,12
342101,2019,1
318272,2019,2
397259,2019,3
378069,2019,4
424335,2019,5
347840,2019,6
367933,2019,7
288976,2019,8
392689,2019,9
467336,2019,10
350694,2019,11
359561,2019,12
350967,2020,1
351684,2020,2
463180,2020,3
455500,2020,4
415624,2020,5
420691,2020,6
380037,2020,7
277357,2020,8
419608,2020,9
445624,2020,10
454544,2020,11
476626,2020,12
394403,2021,1
361024,2021,2
453615,2021,3
386877,2021,4
378549,2021,5
421753,2021,6
394245,2021,7
318901,2021,8
381592,2021,9
421448,2021,10
388571,2021,11
405941,2021,12
379583,2022,1
390312,2022,2
538022,2022,3
473245,2022,4
374875,2022,5
387140,2022,6
372682,2022,7
310798,2022,8
382781,2022,9
437266,2022,10
404147,2022,11
410040,2022,12
425330,2023,1
363305,2023,2
412495,2023,3
397326,2023,4
388918,2023,5
399386,2023,6
404289,2023,7
377598,2023,8
386282,2023,9
516924,2023,10
479364,2023,11
433747,2023,12
407569,2024,1
400124,2024,2
382554,2024,3
