ark,titre
cb32846335s,44 Quarantequatre
cb43774189c,Action ouvrière
cb437742769,Adour libre
cb43774412m,Allo allo ici RadioCanard 
cb326920319,Amiens libre
cb43775128d,Aube combattante
cb327066150,Aube libre
cb43775216p,Aube nouvelle
cb32706656k,Aube sociale
cb327075885,Avant garde
cb43775345j,Avantgarde
cb437756608,Avantgarde
cb43775519j,Avantgarde
cb43775650z,Avantgarde
cb32707628k,Avantgarde
cb32707641s,Avantgarde
cb32707625j,Avantgarde
cb32707590q,Avantgarde
cb361400068,Avantgarde
cb327087043,Avenir du Havre
cb43910351c,Avenir normand
cb32708916n,Avenir normand
cb327089159,Avenir normand
cb43776054x,Bourgogne combattante
cb361410729,Bretagne enchaînée
cb43912806d,Bretagne ouvrière paysanne et maritime
cb32715966p,Bretagne ouvrière paysanne et maritime
cb36141067q,Bretagne rouge
cb327175991,Bulletin dinformation
cb32717565q,Bulletin dinformation
cb43776524c,Bulletin dinformation et déducation de la SeineInférieurequot
cb32725476t,Bulletin de 23h30
cb423331497,Bulletin de presse française
cb36141019v,Bulletin du Syndicat des instituteurs de lOisequot
cb327386618,Bulletin hebdomadaire de presse
cb437769056,Bulletin régional
cb32739872q,Champagne ouvrière et paysanne
cb32740769k,Cheminots dans la lutte
cb43778731p,Combat ouvrier
cb32755722b,Département
cb327559686,Dépêche de lAube
bpt6k8811598,Dépêche de la Haute Marne
cb32766316r,Émancipateur
cb32766300c,Émancipateur
cb43780228p,En avant 
cb43780116d,En avant
cb36140008z,En avant
cb32769046k,Espoir du Morbihan
cb32769043j,Espoir du jeune patriote normand
cb327700338,Etincelle
cb327700369,Etincelle
cb32770067k,Etincelle des BassesPyrénées et Landes
cb32771124t,EureetLoir ouvrier paysan
cb327740081,Femme dEureetLoir
cb43833643j,Femmes de Picardie
cb43780938x,Femmes de prisonniers et de déportés normands
cb327747335,Feuille libre
cb41454194r,Franctireur
cb32777210v,Franctireur normand et picard
cb327775173,France combattante des CôtesduNord
cb32777910s,France libre
cb327782134,France unie
cb327789132,Front 
cb32778914d,Front 
cb32778957p,Front national
cb32778945p,Front national
cb327557617,Front national
cb32778944b,Front national
cb327789492,Front national
cb32778960k,Front ouvrier
cb34438555t,Gironde populaire
cb32786562w,Heure H
cb32787734f,Humanité
cb327877333,Humanité
cb32787735s,Humanité
cb32787726t,Humanité
cb32787741q,Humanité
cb42333175s,Humanité
cb32787725g,Humanité
cb42456522m,Humanité
cb327877364,Humanité
cb32792999k,Intellectuel libre
cb43783048g,Jeanne Hachette
cb437838042,Jeune patriote dEureetLoir
cb43783823b,Jeune patriote de Bourgogne
cb32800183t,Journal des ouvriers du Creusot
cb32805205h,Lanterne
cb32806557t,Libérateur
cb345360198,Libération
cb32806623s,Liberator
cb36140473h,Liberté
cb32807014d,Libre Charente
cb344213003,Libre Poitou
cb43784883f,Lutte paysanne
cb43784916k,Marceau
cb344984057,Marne enseignante
cb43784977s,Marraines bretonnes
cb32811873w,Marseillaise du Berry
cb437851398,Ménagère de Bordeaux
cb437851932,Ménagère de lAisne
cb32815382f,Métallo
cb328219632,Nantes ouvrier
cb43785995z,Normandie
cb437860366,Normandie libre
cb437862760,Notre lutte
cb328262144,Nouvelle République du CentreOuest
cb32833905k,Patriote
cb328339016,Patriote
cb344234554,Patriote berrichon
cb32833947h,Patriote dEureetLoir
cb43787117f,Patriote de Dieppe et du pays de Bray
cb32834029b,Patriote de SaôneetLoire
cb32833977f,Patriote de lEure
cb32833978s,Patriote de lOise
cb345450077,Patriote de la HauteMarne
cb32834055w,Patriote des CôtesduNord
cb43787724c,Patriote nivernais
cb32834145v,Patriote normand
cb437878161,Pays gallo
cb328346128,Paysan patriote
cb32839673p,Picardie libre
cb32841212n,Populaire
cb32841723p,Pour lécole nouvelle
cb32847604k,Rail rouge
cb32847742d,Ralliement
cb32850115c,Réfractaire
cb328741132,Résistance
cb328532637,Résistance de Bordeaux amp du SudOuest
cb32853270h,Résistance en Picardie
cb32854479d,Réveil des métallos
cb32738665n,Revue de documentation des MUR
cb327386660,Revue des hebdomadaires
cb32863477p,Russie daujourdhui
cb328634828,Russie daujourdhui
cb43788850f,Russie daujourdhui
cb328688770,Socialisme et liberté
cb328768186,Terre
cb437893791,Terre
cb32876825g,Terre
cb43789329g,Terre
cb328768244,Terre
cb32879309k,Trait dunion
cb43789643v,Trait dunion
cb43839229b,Travailleur
cb32880162h,Travailleur de lOise
cb43839261t,Travailleur de lYonne
cb328803711,Travailleur syndiqué
cb36141016t,Union paysanne
cb32884529r,Union populaire
cb426119043,Unité de la Sarthe
cb32885107k,Unité ouvrière et paysanne de la Sarthe
cb328864901,Usine
cb32886691x,Vaincre 
cb437901487,Vaincre
cb328866959,Vaincre
cb32886701d,Vaincre
cb32886744p,Valenciennois patriote
cb32889243p,Vie ouvrière
cb32889245c,Vie ouvrière
cb43790359f,Vie ouvrière
cb32889246q,Vie ouvrière
cb328892472,Vie ouvrière
cb328908828,Voix de la Bourgogne
bpt6k8827233,Voix de la Bourgogne
cb328908859,Voix de la Charente
cb43790742t,Voix des femmes
cb32891191j,Voix des femmes de Bourgogne
cb32891194k,Voix des femmes de Normandie
cb32891195x,Voix des femmes de SaôneetLoire
cb32891192w,Voix des femmes de la CôtedOr
cb328911937,Voix des femmes de la Marne
cb328912580,Voix des jeunes
cb32891257n,Voix des jeunes
cb34354073n,Voix du peuple de Touraine
cb32891747q,Voix féminine
cb328917482,Voix féminine
cb328941709,Yonne
cb43839345v,Yonne libre
