"","date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"53","1814/05",66,636986,0.000103612952246988,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=5&fromYear=1814&toDay=31&toMonth=5&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"54","1814/06",58,585846,9.90021268387938e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=6&fromYear=1814&toDay=30&toMonth=6&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"55","1814/07",78,443357,0.000175930457847739,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=7&fromYear=1814&toDay=31&toMonth=7&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"56","1814/08",79,497942,0.000158653015813087,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=8&fromYear=1814&toDay=31&toMonth=8&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"57","1814/09",59,496382,0.000118860071477209,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=9&fromYear=1814&toDay=30&toMonth=9&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"58","1814/10",48,533166,9.00282463622962e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=10&fromYear=1814&toDay=31&toMonth=10&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"59","1814/11",87,501846,0.00017335995504597,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=11&fromYear=1814&toDay=30&toMonth=11&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"60","1814/12",69,517709,0.000133279506440877,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=12&fromYear=1814&toDay=31&toMonth=12&toYear=1814","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"61","1815/01",83,514313,0.000161380326765997,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=1&fromYear=1815&toDay=31&toMonth=1&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"62","1815/02",63,475838,0.00013239800100034,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=2&fromYear=1815&toDay=28&toMonth=2&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"63","1815/03",53,547392,9.68227522506723e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=3&fromYear=1815&toDay=31&toMonth=3&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"64","1815/04",126,532472,0.000236632160939918,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=4&fromYear=1815&toDay=30&toMonth=4&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"65","1815/05",100,511106,0.000195654130454348,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=5&fromYear=1815&toDay=31&toMonth=5&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"66","1815/06",115,537043,0.000214135553391442,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=6&fromYear=1815&toDay=30&toMonth=6&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"67","1815/07",89,555671,0.000160166717356133,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=7&fromYear=1815&toDay=31&toMonth=7&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"68","1815/08",68,547230,0.00012426219322771,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=8&fromYear=1815&toDay=31&toMonth=8&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"69","1815/09",75,553061,0.000135608911132768,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=9&fromYear=1815&toDay=30&toMonth=9&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"70","1815/10",61,515119,0.000118419239049618,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=10&fromYear=1815&toDay=31&toMonth=10&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
