"ark","titre"
"cb328757238","
Al Tali'a"
"cb32706764g","
Aujourd'hui, [n]-ième jour de la lutte du peuple français pour sa libération (Abidjan)"
"cb32709035p","
Avenir social (L') (PC tunisien)"
"cb327444718","
Combat (édition de l'Afrique du Nord)"
"cb32758006w","
Djibouti libre"
"cb327861247","
El 'Hayat"
"cb328065852","
Libération (Maroc)"
"cb32806671n","
Liberté (Port-Lyautey)"
"cb32809866b","
Lutte sociale (La)"
