n,annee
9829,1716
49770,1719
43833,1722
24554,1748
206034,1749
9462,1755
60423,1764
12255,1772
7988,1773
13610,1774
21978,1776
9666,1780
14762,1781
9532,1784
79659,1785
16234,1786
37930,1788
77967,1790
28253,1791
37192,1795
40569,1796
83638,1797
150486,1798
11456,1799
163492,1800
22179,1802
6391,1803
20717,1804
115247,1807
96138,1808
113703,1809
90858,1810
11986,1811
246750,1812
8310,1813
21043,1816
32319,1817
30296,1818
166301,1819
14934,1820
6742,1821
93841,1826
48419,1827
6178,1828
13022,1829
73282,1830
2284,1831
57914,1832
112920,1833
29985,1834
84375,1835
154387,1836
243200,1837
354741,1838
167168,1839
19861,1840
108866,1841
222320,1842
246409,1843
87727,1844
7485,1845
158878,1846
188437,1847
153667,1848
66428,1849
98287,1851
208164,1853
79790,1854
6982,1855
150336,1856
178675,1857
742186,1859
256902,1860
16441,1861
114760,1862
33184,1863
169359,1864
171423,1865
6783,1866
82222,1867
31458,1869
19696,1870
124449,1871
137222,1873
197633,1874
31665,1875
171667,1876
41076,1877
65192,1878
47124,1879
637109,1880
51229,1881
30910,1882
169894,1883
158989,1884
107748,1885
178649,1886
217458,1887
79816,1888
293104,1889
257741,1890
89174,1891
399913,1892
382483,1893
328979,1894
163241,1895
215094,1896
332852,1897
98959,1898
177291,1899
177242,1900
82619,1901
98449,1902
297741,1903
288638,1904
268508,1905
214946,1906
90050,1907
207718,1908
184894,1909
120265,1910
222974,1911
492558,1912
189629,1913
481440,1914
329032,1915
26232,1916
260108,1917
331090,1918
230038,1919
235839,1920
338721,1921
735576,1922
912228,1923
598895,1924
979133,1925
648770,1926
744985,1927
479257,1928
791480,1929
1077820,1930
1438103,1931
1258819,1932
797445,1933
1357841,1934
1254960,1935
1390815,1936
1309929,1937
1603953,1938
775224,1939
1138140,1940
772365,1941
370012,1942
518252,1943
153671,1944
634052,1945
1171935,1946
1005569,1947
949437,1948
1574070,1949
1852346,1950
1454103,1951
1322925,1952
1260509,1953
941946,1954
2267554,1955
1538525,1956
1321307,1957
1637030,1958
1750674,1959
1717773,1960
1805391,1961
2693101,1962
2006140,1963
1166394,1964
2377156,1965
2377207,1966
2594067,1967
2561676,1968
2495120,1969
2882001,1970
3003024,1971
3116307,1972
3226110,1973
3023594,1974
4510495,1975
4857069,1976
5751769,1977
6616265,1978
6495190,1979
7337514,1980
7626403,1981
7984686,1982
7895105,1983
10274094,1984
10411492,1985
8490676,1986
11900893,1987
12034508,1988
13007137,1989
16225726,1990
15215286,1991
19353152,1992
18263521,1993
20294854,1994
20464009,1995
27467070,1996
24277092,1997
26237865,1998
29279747,1999
33723801,2000
36036175,2001
38548471,2002
39364263,2003
44819132,2004
47712288,2005
53400331,2006
67355539,2007
71169125,2008
90806162,2009
98479601,2010
126094284,2011
146196012,2012
171888228,2013
174659368,2014
134851860,2015
62026386,2016
49290270,2017
42430941,2018
44761793,2019
38093073,2020
35939098,2021
29437103,2022
15894661,2023
7329526,2024
60749,2025
