annee,mois,jour,total_n
1998,1,1,16583
1998,1,2,17149
1998,1,3,15009
1998,1,5,19604
1998,1,6,20694
1998,1,7,20631
1998,1,8,23008
1998,1,9,21824
1998,1,10,20707
1998,1,12,24858
1998,1,13,22265
1998,1,14,20793
1998,1,15,23946
1998,1,16,21142
1998,1,17,19106
1998,1,19,21451
1998,1,20,21220
1998,1,21,21520
1998,1,22,22095
1998,1,23,21753
1998,1,24,20628
1998,1,26,23080
1998,1,27,25913
1998,1,28,20420
1998,1,29,25457
1998,1,30,21374
1998,1,31,18790
1998,2,2,19579
1998,2,3,21361
1998,2,4,19627
1998,2,5,24384
1998,2,6,24823
1998,2,7,20123
1998,2,9,21726
1998,2,10,22771
1998,2,11,19555
1998,2,12,24341
1998,2,13,21380
1998,2,14,19812
1998,2,16,20159
1998,2,17,22935
1998,2,18,20795
1998,2,19,23564
1998,2,20,20076
1998,2,21,18991
1998,2,23,18878
1998,2,24,23244
1998,2,25,21128
1998,2,26,22130
1998,2,27,21484
1998,2,28,19503
1998,3,2,22974
1998,3,3,21096
1998,3,4,20684
1998,3,5,22197
1998,3,6,24429
1998,3,7,23785
1998,3,9,22581
1998,3,10,21809
1998,3,11,22319
1998,3,12,25148
1998,3,13,21701
1998,3,14,16306
1998,3,16,17506
1998,3,17,21671
1998,3,18,20912
1998,3,19,31385
1998,3,20,19174
1998,3,21,19326
1998,3,23,22935
1998,3,24,21446
1998,3,25,22832
1998,3,26,25250
1998,3,27,22063
1998,3,28,21350
1998,3,30,22082
1998,3,31,23656
1998,4,1,17915
1998,4,2,23883
1998,4,3,23387
1998,4,5,18584
1998,4,6,23701
1998,4,7,20852
1998,4,8,24616
1998,4,9,19143
1998,4,10,17926
1998,4,12,15492
1998,4,13,18421
1998,4,14,18435
1998,4,15,270
1998,4,16,20899
1998,4,17,18798
1998,4,18,16068
1998,4,19,315
1998,4,20,18770
1998,4,21,19929
1998,4,22,21312
1998,4,23,20661
1998,4,24,19644
1998,4,25,21156
1998,4,27,20569
1998,4,28,20919
1998,4,29,26266
1998,4,30,26284
1998,5,2,15682
1998,5,4,26179
1998,5,5,21207
1998,5,6,21745
1998,5,7,25967
1998,5,8,19570
1998,5,9,21434
1998,5,11,16498
1998,5,12,20770
1998,5,13,31592
1998,5,14,26640
1998,5,15,24953
1998,5,17,25007
1998,5,18,22830
1998,5,19,18781
1998,5,20,23821
1998,5,21,19002
1998,5,22,15770
1998,5,23,7739
1998,5,24,2825
1998,5,25,18701
1998,5,26,18725
1998,5,27,20249
1998,5,28,22695
1998,5,29,25144
1998,5,30,15417
1998,6,1,15868
1998,6,2,18693
1998,6,3,18867
1998,6,4,21715
1998,6,5,21195
1998,6,6,17788
1998,6,8,19041
1998,6,9,30775
1998,6,10,19049
1998,6,11,24429
1998,6,12,19972
1998,6,13,17291
1998,6,15,22151
1998,6,16,20597
1998,6,17,21687
1998,6,18,20951
1998,6,19,20299
1998,6,20,18012
1998,6,22,19680
1998,6,23,21272
1998,6,24,20213
1998,6,25,22787
1998,6,26,21432
1998,6,27,19759
1998,6,29,21057
1998,6,30,23672
1998,7,1,19037
1998,7,2,21605
1998,7,3,21686
1998,7,4,17383
1998,7,6,19635
1998,7,7,17011
1998,7,8,18390
1998,7,9,22826
1998,7,10,18987
1998,7,11,16670
1998,7,13,18795
1998,7,14,18897
1998,7,15,16235
1998,7,16,15936
1998,7,17,15384
1998,7,18,15430
1998,7,20,17557
1998,7,21,15826
1998,7,22,16979
1998,7,23,13935
1998,7,24,15875
1998,7,25,14146
1998,7,27,14260
1998,7,28,16103
1998,7,29,16067
1998,7,30,16072
1998,7,31,16362
1998,8,1,14396
1998,8,3,14672
1998,8,4,12315
1998,8,5,13435
1998,8,6,14344
1998,8,7,12282
1998,8,8,13683
1998,8,10,14723
1998,8,11,12134
1998,8,12,13889
1998,8,13,12014
1998,8,14,13673
1998,8,15,13027
1998,8,17,15166
1998,8,18,13185
1998,8,19,14407
1998,8,20,14134
1998,8,21,14110
1998,8,22,11804
1998,8,24,14317
1998,8,25,14700
1998,8,26,15243
1998,8,27,20455
1998,8,28,15639
1998,8,29,18515
1998,8,31,15427
1998,9,1,15793
1998,9,2,16846
1998,9,3,23557
1998,9,4,14929
1998,9,5,17472
1998,9,7,20538
1998,9,8,19139
1998,9,9,18580
1998,9,10,21799
1998,9,11,17857
1998,9,12,19923
1998,9,14,22936
1998,9,15,20874
1998,9,16,21781
1998,9,17,23336
1998,9,18,19260
