"ark","titre"
"cb326822998","
Action socialiste (L')"
"cb32702573x","
Art et photo"
"cb32737522v","
Carillon stéphanois (Le)"
"cb327588799","
Drapeau rouge (Le)"
"cb327638768","
Éclaireur (L'). Supplément littéraire illustré"
"cb327908107","
Indicateur stéphanois (L')"
"cb344239158","
Loire républicaine (La). Supplément illustré du dimanche"
"cb32843995k","
Progrès de la cordonnerie (Le)"
"cb32862595n","
Roman gaulois (Le)"
"cb328674273","
Sentier (Le)"
"cb34428658x","
Tribune républicaine (La). Supplément illustré de la semaine "
