n,annee
297020,1704
237171,1716
80629,1718
213873,1719
80642,1722
258205,1724
97701,1725
61885,1733
107316,1743
333318,1749
27577,1756
32496,1759
304918,1760
361370,1762
62395,1763
20391,1764
403647,1767
81206,1768
262907,1771
61497,1774
13200,1777
19297,1778
81335,1779
59252,1781
210455,1782
45633,1783
29027,1785
50382,1787
253944,1788
338908,1790
43697,1791
121555,1792
78794,1794
57300,1795
96717,1796
130830,1798
9883,1799
3821,1800
180368,1801
32847,1804
20094,1805
297808,1808
40558,1810
165681,1811
170102,1814
293091,1815
75869,1817
107222,1818
8527,1819
295124,1820
178566,1822
180899,1824
124517,1825
253334,1826
280694,1827
18147,1830
58970,1831
105335,1832
116763,1833
110362,1834
470576,1835
272475,1836
54993,1837
443345,1838
492966,1839
292294,1840
396083,1841
225644,1842
760744,1843
390076,1844
132016,1845
1581848,1846
533239,1847
444348,1848
250970,1849
144848,1850
295549,1851
201176,1852
299352,1853
407398,1854
295942,1855
232295,1856
830764,1857
35163,1858
521329,1859
110695,1860
621423,1861
60496,1862
442083,1863
386048,1864
98174,1865
530270,1866
451525,1867
423858,1868
496498,1869
656407,1870
283939,1871
646874,1872
224455,1873
637267,1874
1179068,1875
619334,1876
1072767,1877
308157,1878
335815,1879
738432,1880
743377,1881
495861,1882
453843,1883
1272654,1884
421901,1885
752409,1886
798539,1887
422697,1888
927972,1889
319621,1890
895579,1891
349620,1892
784428,1893
908278,1894
562717,1895
373366,1896
445282,1897
433641,1898
930515,1899
1726801,1900
431579,1901
852641,1902
707532,1903
921482,1904
1139893,1905
846595,1906
1597750,1907
1823034,1908
728986,1909
1255756,1910
829313,1911
882965,1912
948734,1913
1188323,1914
686037,1915
522501,1916
511743,1917
824581,1918
814818,1919
2525235,1920
1855068,1921
2663905,1922
1000477,1923
1528992,1924
2044690,1925
1921638,1926
2712633,1927
1639426,1928
2117054,1929
1980446,1930
2030385,1931
2564861,1932
1848924,1933
3616868,1934
2384991,1935
3610040,1936
2969319,1937
2328228,1938
2417644,1939
2945371,1940
3793728,1941
3239680,1942
2123172,1943
1478442,1944
2437812,1945
3587107,1946
3881502,1947
2689044,1948
4352611,1949
2430807,1950
5095252,1951
3261362,1952
5787439,1953
5233956,1954
4530277,1955
3980245,1956
6594833,1957
4425862,1958
5787140,1959
5560773,1960
6672632,1961
5873484,1962
5343846,1963
7771553,1964
6448589,1965
7087605,1966
8106013,1967
7045248,1968
8545729,1969
6880501,1970
8763623,1971
8390661,1972
9167139,1973
7794444,1974
9725138,1975
10390193,1976
11515060,1977
11590528,1978
11761983,1979
12305330,1980
11807886,1981
13725187,1982
14982513,1983
14583228,1984
13892320,1985
16347104,1986
18664310,1987
22093864,1988
20126342,1989
23642473,1990
23390552,1991
24837009,1992
25223188,1993
28105308,1994
28273641,1995
28134707,1996
32227624,1997
34733892,1998
43649920,1999
45644951,2000
46750091,2001
48306721,2002
49077187,2003
59702336,2004
65534197,2005
72557762,2006
82885030,2007
72050199,2008
80121978,2009
96292643,2010
109818880,2011
129763446,2012
124198718,2013
133688518,2014
117516883,2015
80035387,2016
73048200,2017
79654992,2018
80759457,2019
72850582,2020
78618936,2021
54173462,2022
26773615,2023
15168673,2024
303046,2025
