"url","titre","csv","num"
"https://gallica.bnf.fr/html/und/presse-et-revues/pyrenees-orientales","Pyrénées-Orientales","liste_departement_pyrenees-orientales.csv",125
"https://gallica.bnf.fr/html/und/presse-et-revues/rhone","Rhône","liste_departement_rhone.csv",126
"https://gallica.bnf.fr/html/und/presse-et-revues/saone-et-loire","Saône-et-Loire","liste_departement_saone-et-loire.csv",127
"https://gallica.bnf.fr/html/und/presse-et-revues/sarthe","Sarthe","liste_departement_sarthe.csv",128
"https://gallica.bnf.fr/html/und/presse-et-revues/savoie","Savoie","liste_departement_savoie.csv",129
"https://gallica.bnf.fr/html/und/presse-et-revues/seine-et-marne","Seine-et-Marne","liste_departement_seine-et-marne.csv",130
"https://gallica.bnf.fr/html/und/presse-et-revues/seine-maritime","Seine-maritime","liste_departement_seine-maritime.csv",131
"https://gallica.bnf.fr/html/und/presse-et-revues/seine-saint-denis","Seine-Saint-Denis","liste_departement_seine-saint-denis.csv",132
"http://gallica.bnf.fr/html/und/france/presse-de-la-somme-0","Somme","liste_departement_somme.csv",133
"https://gallica.bnf.fr/html/und/presse-et-revues/tarn","Tarn","liste_departement_tarn.csv",134
"https://gallica.bnf.fr/html/und/presse-et-revues/tarn-et-garonne","Tarn-et-Garonne","liste_departement_tarn-et-garonne.csv",135
"https://gallica.bnf.fr/html/und/presse-et-revues/territoire-de-belfort","Territoire de Belfort","liste_departement_territoire-de-belfort.csv",136
"https://gallica.bnf.fr/html/und/presse-et-revues/val-doise","Val-d'Oise","liste_departement_val-d'oise.csv",137
"https://gallica.bnf.fr/html/und/presse-et-revues/val-de-marne","Val-de-Marne","liste_departement_val-de-marne.csv",138
"https://gallica.bnf.fr/html/und/presse-et-revues/var","Var","liste_departement_var.csv",139
"https://gallica.bnf.fr/html/und/presse-et-revues/vaucluse","Vaucluse","liste_departement_vaucluse.csv",140
"https://gallica.bnf.fr/html/und/presse-et-revues/vendee","Vendée","liste_departement_vendee.csv",141
"https://gallica.bnf.fr/html/und/presse-et-revues/vienne","Vienne","liste_departement_vienne.csv",142
"https://gallica.bnf.fr/html/und/presse-et-revues/vosges","Vosges","liste_departement_vosges.csv",143
"https://gallica.bnf.fr/html/und/presse-et-revues/yonne","Yonne","liste_departement_yonne.csv",144
"https://gallica.bnf.fr/html/und/presse-et-revues/yvelines","Yvelines","liste_departement_yvelines.csv",145
